id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,issues
1mWxlXeNAbnwcBbIQ3Tu9CeNns57OArOf,CC_DE_DE_VID_APROBACION_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,10124167,mp4,64a4a0fb3bc9108ee619912c42c62e1a,,,,2026-06-14T16:21:05.947Z,2026-06-14T16:21:05.947Z,NAME_NOT_CANONICAL
1sbZt7d6nWgG19nqQv0fPkwuImRWaCAec,CC_DE_DE_VID_APROBACION_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,9052984,mp4,29c563692164001dabb6023ddde4b7e7,,,,2026-06-14T16:21:11.125Z,2026-06-14T16:21:11.125Z,NAME_NOT_CANONICAL
1mPloUQBA9ZM3meRNF_RArApL2AKPxIej,CC_DE_DE_VID_APROBACION_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,9340625,mp4,087467f2d8b5ffd8f5e0cd996ca8f40e,,,,2026-06-14T16:21:15.749Z,2026-06-14T16:21:15.749Z,NAME_NOT_CANONICAL
1oFwMf9qTRBwDt_wcIRrxPbarYMb69w6S,CC_DE_DE_VID_APROBACION_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,7990331,mp4,d5cc5269b253772108fa96bc8c56f90d,,,,2026-06-14T16:21:19.717Z,2026-06-14T16:21:19.717Z,NAME_NOT_CANONICAL
1sbL58yZ7Qrh9VUsGKnr064cFXp4-K7sl,CC_DE_DE_VID_APROBACION_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,9535320,mp4,2d72ff0d59e00dce4a982a3559418f2a,,,,2026-06-14T16:21:24.017Z,2026-06-14T16:21:24.017Z,NAME_NOT_CANONICAL
1PfPzJUJpubjHXhdCDNmjghYszURUVEqr,CC_DE_DE_VID_APROBACION_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,1742257,mp4,11d2ef4c9bd38cd286c9e894b1294223,,,,2026-06-14T16:52:17.099Z,2026-06-14T16:52:17.099Z,NAME_NOT_CANONICAL
1lSB61NO0zhSw_cyV2qV1mf7RAPu2c1aI,CC_DE_DE_VID_APROBACION_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,1906321,mp4,5de716b3d58580ec5085eed1a1d8b43b,,,,2026-06-14T16:52:20.867Z,2026-06-14T16:52:20.867Z,NAME_NOT_CANONICAL
1rMeC_2ZCj-FPJnfUObAW8s7Ikqz44NIr,CC_DE_DE_VID_APROBACION_PV_008__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_APROBACION_PV_008__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,1710815,mp4,84deadb33c0639e4db8d7c84cc284369,,,,2026-06-14T16:52:24.534Z,2026-06-14T16:52:24.534Z,NAME_NOT_CANONICAL
1S4y3-fTb5XOMR5JVevff7FWku0Lz1qTI,CC_DE_DE_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,9521164,mp4,dcf72106f46495bfeccf7539572379d4,,,,2026-06-14T16:22:21.386Z,2026-06-14T16:22:21.386Z,NAME_NOT_CANONICAL
1AHbNgQvKMfWTKx7gIK3yMo58MPGCTdWZ,CC_DE_DE_VID_LIMITE_ALTO_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,9955602,mp4,a2a5e8eaaacd61f6903fa06c0c1b2321,,,,2026-06-14T16:22:25.771Z,2026-06-14T16:22:25.771Z,NAME_NOT_CANONICAL
1JFMXtyjyyt7Vp9mkXaD36mJ8uXuwB2qO,CC_DE_DE_VID_LIMITE_ALTO_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,11587486,mp4,22476e1b5030cc086d66bdcf5b4d2701,,,,2026-06-14T16:22:30.477Z,2026-06-14T16:22:30.477Z,NAME_NOT_CANONICAL
1HREx_WK0vUzUiK87MxPbKZSKWN_0_a4M,CC_DE_DE_VID_LIMITE_ALTO_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,1538095,mp4,ccddb4024fed0b17a32ffd20ee0a468a,,,,2026-06-14T16:22:34.086Z,2026-06-14T16:22:34.086Z,NAME_NOT_CANONICAL
1-njujJ0hBLIrOAIm7FCMkNsFRMFEH8QY,CC_DE_DE_VID_LIMITE_ALTO_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,764464,mp4,60d394bc501494af3e980e794052eb10,,,,2026-06-14T16:22:37.933Z,2026-06-14T16:22:37.933Z,NAME_NOT_CANONICAL
12F0znVz7cvPl6lBu0boUsSc6OdDkfmXG,CC_MX_ES_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,9848187,mp4,22370d654b2b77e831fbd1117174b757,,,,2026-06-14T16:23:08.621Z,2026-06-14T16:23:08.621Z,NAME_NOT_CANONICAL
1Xss0k5fXYaxj1uHjFN-BnC5KKA7A5Vwa,CC_US_EN_VID_APROBACION_NV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1012759,mp4,88a95783bfbf54402dbbb2add020becc,,,,2026-06-14T16:23:12.792Z,2026-06-14T16:23:12.792Z,NAME_NOT_CANONICAL
1r4BLVC6aLn91FGS4ph9emMCKlUQVOLA6,CC_US_EN_VID_APROBACION_NV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,992926,mp4,1f51ce8888a8d54bbfc93278edb65462,,,,2026-06-14T16:23:16.319Z,2026-06-14T16:23:16.319Z,NAME_NOT_CANONICAL
