id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,duplicate_count,duplicate_key
1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,14550904,mp4,bd7e404bbc1564d5bf65fab477f737d6,,,,2026-06-15T03:09:43.033Z,2026-06-15T07:21:32.988Z,2,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4
1h_nsKfXdwjQAj14ZE_rfCnKez8PPwwsD,CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,7372874,mp4,ca992772f48ab9c50a214418ad92ba08,,,,2026-06-14T16:16:25.072Z,2026-06-14T16:16:25.072Z,2,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4
1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,8706567,mp4,024942911259614847ae057a38cae4d3,,,,2026-06-15T03:09:55.636Z,2026-06-15T07:21:36.367Z,2,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4
1kRZMQnTznemqtY_6DHtueTo17qaa4QG3,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,7373994,mp4,ded603c31ab9436daa44fc4a6600d38e,,,,2026-06-15T03:09:30.337Z,2026-06-15T07:21:29.093Z,2,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4
1NIodjne8ehrCEC5eKLlNbKp2nShGAegZ,CC_US_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,7432687,mp4,ec1a8c7afb9b37e24e1007c650e786b8,,,,2026-06-15T03:09:38.787Z,2026-06-15T07:21:31.712Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_003.mp4
1z3PFPPRLVkvgvxFNV2PMSRwKnOm_z4W1,CC_US_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,9261311,mp4,b05a34de69883fc363b1a260127e6a2a,,,,2026-06-14T16:29:34.899Z,2026-06-14T16:29:34.899Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_003.mp4
1gEw38Uqi-PdnD7N0cn0f2Ml-ruskCoq2,CC_US_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,11244112,mp4,189e7320092a3df0d1c8bf0ecbf18caf,,,,2026-06-15T03:09:47.401Z,2026-06-15T07:21:34.089Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_004.mp4
1O7qCLXD4g_BVGXDbCh1BS_mCp3OYIhOU,CC_US_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1575917,mp4,28e8a6b34d2cf9de1455aa74b0d1db5f,,,,2026-06-14T16:29:38.633Z,2026-06-14T16:29:38.633Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_004.mp4
19tUeJVk4H_2SXuuMBviUljEKZpNtDZId,CC_US_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,8298386,mp4,16a401b09034a43e81e348c6759cffe2,,,,2026-06-15T03:09:51.242Z,2026-06-15T07:21:35.205Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_005.mp4
1JXl-PFjadnUEWw4gzReLrVAcaGrAZSgI,CC_US_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1385200,mp4,0054db64110dbc466d03ca82f1c0769c,,,,2026-06-14T16:29:42.221Z,2026-06-14T16:29:42.221Z,2,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_005.mp4
1iLk4ByUGGeA4LC4SCMQ_MdU0HGMzfeXQ,CC_US_ES_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,9900669,mp4,5303f11b98100ff410560c7fd71ef4d6,,,,2026-06-15T03:09:59.946Z,2026-06-15T07:21:37.512Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_005.mp4
1Hemr9vvUKYpUGzDIDFJPxZpuXoSxguZR,CC_US_ES_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,8799075,mp4,c717478c3094a277596fc290fa00042c,,,,2026-06-14T16:46:57.905Z,2026-06-14T16:46:57.905Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_005.mp4
1odCmve9ZFjDeSZyDVuiGCGqui045HL-3,CC_US_ES_VID_APROBACION_PV_006.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_006.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,11421855,mp4,6973cae0fb86cc8bdeb284cf17c66735,,,,2026-06-15T03:10:04.072Z,2026-06-15T07:21:38.592Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_006.mp4
1Vr4abhI2SjtEJ6wnuUqOKP9vjgG9iMnX,CC_US_ES_VID_APROBACION_PV_006.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_006.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,692337,mp4,c077cc3d05d39e880ef92598e0ce07fb,,,,2026-06-14T16:47:01.788Z,2026-06-14T16:47:01.788Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_006.mp4
1UbcQosc7fzn6S8wVYE7SVE837nurFUc4,CC_US_ES_VID_APROBACION_PV_007.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_007.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,8438880,mp4,44cca16e3971dcb9a6f0c7de652adc58,,,,2026-06-15T03:10:09.112Z,2026-06-15T07:21:39.697Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_007.mp4
1G8LRkGT763Y1_o-JqwypyZyNaCgzdzAp,CC_US_ES_VID_APROBACION_PV_007.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_007.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,7826470,mp4,389eaf5ee7917e620c0ad846a87a4b2e,,,,2026-06-14T16:47:07.144Z,2026-06-14T16:47:07.144Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_007.mp4
1_yNkBGRiiVX9THEb5Fo89hkKCyNlw3Qo,CC_US_ES_VID_APROBACION_PV_008.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_008.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,11484277,mp4,dbc86af8f5318e3265127526b60557ad,,,,2026-06-15T03:10:13.254Z,2026-06-15T07:21:40.998Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_008.mp4
1i1vikHuPLMzjthqGtH8A7fNcNdvvOFDZ,CC_US_ES_VID_APROBACION_PV_008.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_008.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,video/mp4,519528,mp4,6125eb6f7d504d4b14e3b157db32e3bb,,,,2026-06-14T16:47:11.463Z,2026-06-14T16:47:11.463Z,2,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_US_ES_VID_APROBACION_PV_008.mp4
