id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,issues
1RTNCNwMp9yQKl7An9PZMWu2LkMewTZsZ,Design sem nome__DAG-EMxacUY.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/DE/00_REVIEW/Design sem nome__DAG-EMxacUY.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/DE/00_REVIEW,image/png,1013055,png,28f95d338ec6d89b5846340dcb6bb925,1080,1080,,2026-06-15T03:08:48.116Z,2026-06-15T03:08:48.116Z,NAME_NOT_CANONICAL
1KxCfWSl98uAekdUJOEvjC0BXAQiI-ggK,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/DE/00_REVIEW/01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/DE/00_REVIEW,video/mp4,9101199,mp4,ee1d93d1b36fd4a33e901e8392cadce9,,,,2026-06-15T03:09:03.982Z,2026-06-15T03:09:03.982Z,NAME_NOT_CANONICAL
1CUThTpzpHBuki57OVsmUnfJHT8j-HhZP,01 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/01 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,11104245,mp4,5a3ee33df0ee35ddac0a9c8e64eab239,,,,2026-06-15T03:09:10.153Z,2026-06-15T03:09:10.153Z,NAME_NOT_CANONICAL
1MpBOndN8_06xDqSV9LZxXzn379b6GYDn,02 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/02 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,9828382,mp4,5233d6e1f5f0ad5a70dc7888587ec175,,,,2026-06-15T03:09:18.124Z,2026-06-15T03:09:18.124Z,NAME_NOT_CANONICAL
1kL7Djf_EwtbmHubMPjpXUzKJWMSzyd6A,03 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/03 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,10083786,mp4,936870e127d298a1b36d687ab78f664d,,,,2026-06-15T03:09:22.454Z,2026-06-15T03:09:22.454Z,NAME_NOT_CANONICAL
1_g2yH9UJ9HB1J5dEu8GqMsdbnhLIXovc,04 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/04 - IA - Story Ingles GB.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,8716500,mp4,8c1e914b6ed5efb1d140978b3f8236a7,,,,2026-06-15T03:09:26.480Z,2026-06-15T03:09:26.480Z,NAME_NOT_CANONICAL
1GFJ5i5fKf1pSsDtgZB9qHlQVgg78IX-g,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/13 - IA - Story GB ingles__DAHGC5ahHks.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,8553617,mp4,62c9b2806110646c052edfc38b4c0a6e,,,,2026-06-15T03:09:34.754Z,2026-06-15T03:09:34.754Z,NAME_NOT_CANONICAL
1fY1cACgSHtSHCowYS1iIoSFgml42VmhT,80 - IA - Story Ingles__DAHEymEDHus.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/80 - IA - Story Ingles__DAHEymEDHus.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,7935596,mp4,308025a553a3685dafea56a6a2316228,,,,2026-06-15T03:10:17.335Z,2026-06-15T03:10:17.335Z,NAME_NOT_CANONICAL
1AyuswWGnBYuHqcm2MaD2Ha9BwnuOCW01,82 - IA - Story Ingles__DAHEy46gSsk.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW/82 - IA - Story Ingles__DAHEy46gSsk.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/EN/00_REVIEW,video/mp4,12533931,mp4,1eb314cc8fb4e2973125c1b3dca04ee4,,,,2026-06-15T03:10:21.559Z,2026-06-15T03:10:21.559Z,NAME_NOT_CANONICAL
1W2xyAIczZ7sCwMbLrWIwxTUfPoGVe41P,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW/01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,MGS-CRIATIVOS/REVIEW/VID/STORY/ES/00_REVIEW,video/mp4,3981010,mp4,d37a83f626b4c38f75af1375cef1d9de,,,,2026-06-15T03:08:58.139Z,2026-06-15T03:08:58.139Z,NAME_NOT_CANONICAL
