id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,duplicate_count,duplicate_key
1EfFKgYlSoCGNluTXCtCjQ2wJCc-9YJxe,CC_DE_DE_VID_LIMITE_ALTO_PV_003.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_003.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,827538,mp4,ef14fd98b9424c0d815c21c45f04caab,,,,2026-06-14T16:16:32.953Z,2026-06-14T16:16:32.953Z,2,ef14fd98b9424c0d815c21c45f04caab
1w173OisA4SKqDMj6fPfYnTyKzj4yK7BA,CC_DE_DE_VID_LIMITE_ALTO_PV_004.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_004.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,827538,mp4,ef14fd98b9424c0d815c21c45f04caab,,,,2026-06-14T16:16:36.602Z,2026-06-14T16:16:36.602Z,2,ef14fd98b9424c0d815c21c45f04caab
1sVZJ_elN9SosElxNXbUtS8zyuW6_lHue,CC_DE_DE_VID_LIMITE_ALTO_PV_005.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_005.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,696555,mp4,26cf3c463ec534b7041f56c2013eb054,,,,2026-06-14T16:16:43.908Z,2026-06-14T16:16:43.908Z,2,26cf3c463ec534b7041f56c2013eb054
1cZeHGN2PQd6BBtiXU-8-1YIDt5gRZxBG,CC_DE_DE_VID_LIMITE_ALTO_PV_006.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_006.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,video/mp4,696555,mp4,26cf3c463ec534b7041f56c2013eb054,,,,2026-06-14T16:16:47.679Z,2026-06-14T16:16:47.679Z,2,26cf3c463ec534b7041f56c2013eb054
1qL8qSqhcZLxrXJsEttbATMqCzcoydp2X,CC_US_EN_IMG_LIMITE_ALTO_NH_018.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE/CC_US_EN_IMG_LIMITE_ALTO_NH_018.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,image/png,568270,png,f45d89917e8b390a4df4c49fcf9fd7f5,1080,1080,,2026-06-14T16:06:50.622Z,2026-06-14T16:06:50.622Z,2,f45d89917e8b390a4df4c49fcf9fd7f5
1UArye1aq7qQWWj6aXtcFBqHuPMMivttf,CC_US_EN_IMG_LIMITE_ALTO_NH_019.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE/CC_US_EN_IMG_LIMITE_ALTO_NH_019.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,image/png,568270,png,f45d89917e8b390a4df4c49fcf9fd7f5,1080,1080,,2026-06-14T16:06:54.384Z,2026-06-14T16:06:54.384Z,2,f45d89917e8b390a4df4c49fcf9fd7f5
1ULVYWUe_2Y5wFEGj9gp9NlQ6xi4bGGlr,CC_US_EN_VID_APROBACION_NH_001.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NH_001.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE,video/mp4,1919588,mp4,f1855de22bbf106965cae196e785e12a,,,,2026-06-14T16:11:30.446Z,2026-06-14T16:11:30.446Z,2,f1855de22bbf106965cae196e785e12a
1M9A1xUYmVNVsp1MuWjryKsz4F91fiAbO,CC_US_EN_VID_APROBACION_NH_002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NH_002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE,video/mp4,1919588,mp4,f1855de22bbf106965cae196e785e12a,,,,2026-06-14T16:11:34.619Z,2026-06-14T16:11:34.619Z,2,f1855de22bbf106965cae196e785e12a
1yDurG698pOh65QRgEG83o6gWshgRwcWc,CC_US_EN_VID_APROBACION_NH_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NH_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE,video/mp4,1578503,mp4,b8c9bd78b65006f62a3f45e6fad4d982,,,,2026-06-14T16:11:38.475Z,2026-06-14T16:11:38.475Z,2,b8c9bd78b65006f62a3f45e6fad4d982
1pckBdx4flvI8KL4k38nAEWqYf-R0HTSz,CC_US_EN_VID_APROBACION_NH_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NH_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/FEED/EN/01_READY_CANDIDATE,video/mp4,1578503,mp4,b8c9bd78b65006f62a3f45e6fad4d982,,,,2026-06-14T16:11:42.247Z,2026-06-14T16:11:42.247Z,2,b8c9bd78b65006f62a3f45e6fad4d982
