id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime
11sCTNimxVlvNRR7_OCKbtm5iabuMrpZc,CC_DE_DE_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,242457,png,2bcf26d8312d4abfe529bc6eed802f34,1080,1080,,2026-06-14T16:02:43.043Z,2026-06-14T16:02:43.043Z
1idyENDqT6JQx0VbHkvgqWeb7_wfHyeOJ,CC_DE_DE_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,164586,png,685f3260b9693735bfcfcb00bd7f2603,1080,1080,,2026-06-14T16:02:50.591Z,2026-06-14T16:02:50.591Z
19xO-hQIocJLozaxpPvxonKHUSCOEPKCp,CC_DE_DE_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,238172,png,53354bf23d9c78038d5d554f32bddd31,1080,1080,,2026-06-14T16:02:58.368Z,2026-06-14T16:02:58.368Z
1VuFjYOdQ1qlDprjscBIDZ8dqOkMwFkMC,CC_DE_DE_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,388029,png,75e693709d0cdc7eed25acc39133f271,1080,1080,,2026-06-14T16:09:36.957Z,2026-06-14T16:09:36.957Z
17BMzRTvCpVeF7DTOKbUEYKh9Fp1ed1YL,CC_DE_DE_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,365561,png,fabd7d60fe0c4bdce694be732251a454,1080,1080,,2026-06-14T16:09:40.638Z,2026-06-14T16:09:40.638Z
1T4OQcjRPQyVum-Rs_aWIN5kwHvzDeRI6,CC_DE_DE_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,433612,png,08a2a341e74610364d8923b6918e07b4,1080,1080,,2026-06-14T16:09:44.396Z,2026-06-14T16:09:44.396Z
1b8313p_Uyr-acDkMAOuyUTtJiNEsCg9o,CC_DE_DE_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,284128,png,c30bc8f6073dce6df64c1b0bcfe37379,1080,1080,,2026-06-14T16:01:06.020Z,2026-06-14T16:01:06.020Z
1hmAIE1GoOu7gKsvHZnicoxI1YxVnM3Xj,CC_DE_DE_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,343380,png,f2ea45ccdef22cd6837fd861dd009b65,1080,1080,,2026-06-14T16:01:14.236Z,2026-06-14T16:01:14.236Z
1FMSD-iYAvv15Q67FuXsK5PyeDUKsRJ0Z,CC_DE_DE_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,image/png,244334,png,4678b5964602af669ea5168075a728ff,1080,1080,,2026-06-14T16:01:21.687Z,2026-06-14T16:01:21.687Z
1d9qx-OeKGfHPTeXZS_FUOav4lmfGK2zC,CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/FEED/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/FEED/DE/01_READY_CANDIDATE,video/mp4,3372005,mp4,254f47f16608ce60eb78ecb7bd3e2e83,,,,2026-06-14T16:11:11.927Z,2026-06-14T16:11:11.927Z
