group_id,group_size,suggested_action,drive_id,filename,size,width,height,md5,pixel_hash,thumb_path
VG0001,4,TRASH_DUPLICATE,1UuEZWUVTCqc5czHaErqFsHnFdAFEAxVT,03 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 15 dias.png,1167659,1080,1080,6d4873b4d1e54a6f2a8ee55c7e919d2b,70f050f68b31e95539043eec0f7c35f911d978012996d8378bd929e87249dc73,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/67b72e073911926a.jpg
VG0001,4,TRASH_DUPLICATE,17WRQmBq30qqJhw_W-TypUQXMJh_dNcsQ,03 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 16 dias.png,1167659,1080,1080,8c61305178ee7b072bf5beebbcd045bc,70f050f68b31e95539043eec0f7c35f911d978012996d8378bd929e87249dc73,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/f2c53e490df93e9f.jpg
VG0001,4,TRASH_DUPLICATE,1xids769TTVQnRU8m51vHKCuXrjuX8jZJ,03 - Feed (espanhol)__DAHJAEeBVkY.png,1167659,1080,1080,b50ba42003cddd7bcdc1a5bb0fa5fd9d,70f050f68b31e95539043eec0f7c35f911d978012996d8378bd929e87249dc73,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/e05bc540347b2329.jpg
VG0001,4,KEEP,1HWbXURJXMmNCibQ9Ly3D8v-FEhPB_3QR,03 - Feed espanhol__DAHJAEeBVkY.png,1167659,1080,1080,b50ba42003cddd7bcdc1a5bb0fa5fd9d,70f050f68b31e95539043eec0f7c35f911d978012996d8378bd929e87249dc73,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/7adf35ffccdaf30a.jpg
VG0002,3,TRASH_DUPLICATE,1ZS9mFEdk1hHdZfYeYFrJEtQmk9uD4Wsb,01 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 18 dias.png,1147746,1080,1080,e7aaaccc1c4923bcbccd0379ac9679b2,c653e87910d9a1c7aada022875b6d0ad7cc415dde41a7dea93107f19a6d42481,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/6df092f4b9c9a40a.jpg
VG0002,3,TRASH_DUPLICATE,18c95dXNFi9qsiiRwfnxv61V2Vigho4Fw,01 - Feed (espanhol)__DAHI_-XEf1Q.png,1147746,1080,1080,27474d634b3645ad64d0c551db5d94bd,c653e87910d9a1c7aada022875b6d0ad7cc415dde41a7dea93107f19a6d42481,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/d86daffe038030f4.jpg
VG0002,3,KEEP,1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,01 - Feed espanhol__DAHI_-XEf1Q.png,1147746,1080,1080,27474d634b3645ad64d0c551db5d94bd,c653e87910d9a1c7aada022875b6d0ad7cc415dde41a7dea93107f19a6d42481,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/23ff1afd8d874567.jpg
VG0003,3,TRASH_DUPLICATE,13pQnXk7AfNBJHFe9Orx-XaWk50z-SAGS,05 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 18 dias.png,966881,1080,1080,0de98158a9e9920aae493dfb799af12f,6ef4dee2fddd11a4cb743902afb3791e7e03928383603a6812158ed7792e5508,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/20b24339c8baea86.jpg
VG0003,3,TRASH_DUPLICATE,1HvdvHDyE3QuabBvp5ZAwRzma6WpI8ZpM,05 - Feed (espanhol)__DAHJAHVWoPE.png,966881,1080,1080,ad18d6f415a3d53d2baf19b9f8c31538,6ef4dee2fddd11a4cb743902afb3791e7e03928383603a6812158ed7792e5508,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/80b82cf2612d21f3.jpg
VG0003,3,KEEP,1IyalTotR4pvzBKIUEVKF9S9lvMpAL3Gl,05 - Feed espanhol__DAHJAHVWoPE.png,966881,1080,1080,ad18d6f415a3d53d2baf19b9f8c31538,6ef4dee2fddd11a4cb743902afb3791e7e03928383603a6812158ed7792e5508,/root/mgs-agent/data/ares/creative-inventory/duplicate-analysis-20260609T151529Z/thumbs/9d5e35e742c24093.jpg
