source_drive_id,source_relative_path,current_filename,destination_filename,destination_folder,format,country,language,angle,p_orient,source_bucket,md5_checksum,queue_action,drive_write_status,queue_id,original_filename
12Hy_2H1S0hP194eKW3y4ZnhM7LO0jr4R,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_MX_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,MX,ES,LIMITE_ALTO,NH,visual_review_promoted,d54ff5f70c46d10cb9e1fd7456742b77,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6f6ed8709cd4bd08,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png
1gPylRNO_OQj87i7H_quiMWlz9YymWwsI,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_IMG_RECOMPENSAS_NV_001.png,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/STORY/EN/01_READY_CANDIDATE,IMG,US,EN,RECOMPENSAS,NV,visual_review_promoted,8240233b41625244dc2152cd340df475,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,0294bb5cf6504b7e,CC_US_EN_IMG_RECOMPENSAS_NV_001.png
1cgzcy3ZvMANsqlzyADh2q57U-JO_l1uZ,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_NV_001.mp4,CC_US_EN_VID_APROBACION_NV_001.mp4,CC_US_EN_VID_APROBACION_NV_001.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,VID,US,EN,APROBACION,NV,visual_review_promoted,f4fd3c16464ca188175339d4ec85026d,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,cce438efd0ee5ac7,CC_US_EN_VID_APROBACION_NV_001.mp4
1N_oggMG5ahqYFe1JrFXHJazf8m-2yoFN,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_PV_001.mp4,CC_US_EN_VID_APROBACION_PV_001.mp4,CC_US_EN_VID_APROBACION_PV_001.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,VID,US,EN,APROBACION,PV,visual_review_promoted,51cd0722e184bed568df675c243b0c3b,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,7c11ddc134eb317f,CC_US_EN_VID_APROBACION_PV_001.mp4
1abEwBKBwKhx2k15OLC8qipwSTyLDq8sa,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_IMG_APROBACION_PH_001.png,CC_US_ES_IMG_APROBACION_PH_001.png,CC_US_ES_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,PH,visual_review_promoted,18f786bb7b6ae2b94170c708d8d93960,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,24701485891e55c6,CC_US_ES_IMG_APROBACION_PH_001.png
1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - Feed espanhol__DAHI_-XEf1Q.png,01 - Feed espanhol__DAHI_-XEf1Q.png,CC_US_ES_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,27474d634b3645ad64d0c551db5d94bd,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,9791501b7745139b,01 - Feed espanhol__DAHI_-XEf1Q.png
1c6DKo7dex53dxk_3HJr1XiF7DvIpYgaU,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - IMG - FEED__DAG-42U8ZLY.png,01 - IMG - FEED__DAG-42U8ZLY.png,CC_US_ES_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,PH,visual_review_promoted,c49711f41ff8bb422c961da5885cb1d6,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,2db217dab5b8321d,01 - IMG - FEED__DAG-42U8ZLY.png
1QfGjMK4OfxPtDuP0si9h7hZlB3wbnbIh,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 INGLES - FD.png,01 INGLES - FD.png,CC_US_EN_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,36eaf4919b8865ecf9ddce37a416b99e,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,31318231672f8af2,01 INGLES - FD.png
15LvIiykgcRVvMj8msxCcs0EoZUfRewAX,UPLOAD_CANVAS/cartao de credito/imagens/feed/1-feed.png,1-feed.png,CC_US_ES_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,LIMITE_ALTO,NH,visual_review_promoted,5940845415b8e72212db5bd67b0e2138,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,1469c60aa1b1eaf6,1-feed.png
17DURcLxK12gAO1FLoKlHg5zFvmfeQ4xz,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 INGLES - FD.png,02 INGLES - FD.png,CC_US_EN_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,b4ae64d27285213a004cb26d09aec618,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,1c5fb9179491eca4,02 INGLES - FD.png
