drive_id,filename,relative_path,format,width,height,placement_fit,vertical_guess,language_guess,name_status,issues,recommended_action
12Hy_2H1S0hP194eKW3y4ZnhM7LO0jr4R,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,IMG,1080,1080,FEED,UNKNOWN,ES,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1gPylRNO_OQj87i7H_quiMWlz9YymWwsI,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_IMG_RECOMPENSAS_NV_001.png,IMG,1080,1920,STORY,UNKNOWN,EN,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1cgzcy3ZvMANsqlzyADh2q57U-JO_l1uZ,CC_US_EN_VID_APROBACION_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_NV_001.mp4,VID,1080,1920,STORY,UNKNOWN,EN,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1N_oggMG5ahqYFe1JrFXHJazf8m-2yoFN,CC_US_EN_VID_APROBACION_PV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_PV_001.mp4,VID,1080,1920,STORY,UNKNOWN,EN,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1abEwBKBwKhx2k15OLC8qipwSTyLDq8sa,CC_US_ES_IMG_APROBACION_PH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_IMG_APROBACION_PH_001.png,IMG,1080,1080,FEED,UNKNOWN,ES,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1HuX-VyV36bTr_7vRfbtzg3nABD8mOvve,CC_US_ES_VID_URGENCIA_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_VID_URGENCIA_NV_001.mp4,VID,1080,1920,STORY,UNKNOWN,ES,CANONICAL_3DIGIT,VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,01 - Feed espanhol__DAHI_-XEf1Q.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - Feed espanhol__DAHI_-XEf1Q.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1c6DKo7dex53dxk_3HJr1XiF7DvIpYgaU,01 - IMG - FEED__DAG-42U8ZLY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - IMG - FEED__DAG-42U8ZLY.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1QfGjMK4OfxPtDuP0si9h7hZlB3wbnbIh,01 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 INGLES - FD.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 Trabalho - Feed ingles__DAGfGtgkYJU.png,IMG,1080,1080,FEED,JOBS,EN,NONCANONICAL_RAW,NONCANONICAL_RAW;VERTICAL_REVIEW,REVIEW_BEFORE_FINAL_ORGANIZATION
15LvIiykgcRVvMj8msxCcs0EoZUfRewAX,1-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/1-feed.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
