source_drive_id,current_filename,reason
1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,Design sem nome__DAG-EMxacUY.png,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,01 - IA - Story Ingles GB.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,02 - IA - Story Ingles GB.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,03 - IA - Story Ingles GB.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,04 - IA - Story Ingles GB.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,80 - IA - Story Ingles__DAHEymEDHus.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
14JcD8slyA-SkWtf5wycQ5bKIMGERK8Jq,82 - IA - Story Ingles__DAHEy46gSsk.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
1ZvTSVraqnFtNz4dKCNAYeykESxezJ-HB,101 - Story espanhol__DAHAgX6DO30.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
17y0yH1c3gielpMixBRSuxyaIB2CtYxV7,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,KEPT_IN_00_REVIEW_AFTER_MANUAL_PASS
