source_review_drive_id,source_raw_drive_id,current_review_filename,target_folder,target_filename,vertical,country,language,format,angle,p_orient,decision,reason
1a1eqI7PDgugYgjVqzH4O5kl0BoGQMf3K,1HuX-VyV36bTr_7vRfbtzg3nABD8mOvve,CC_US_ES_VID_URGENCIA_NV_001.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_URGENCIA_NV_001.mp4,CC,US,ES,VID,URGENCIA,NV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1qGoq8EnDxj6kLqTTO0o_nzsoA6ndBS76,15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,JOBS_US_ES_IMG_ALMACEN_PH_001.png,JOBS,US,ES,IMG,ALMACEN,PH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1pzzSaiE7Cm-hsOCaGtVj3MdE949xymAo,1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,02 Trabalho - Feed ingles__DAGfGwnNh0w.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,JOBS_US_ES_IMG_ALMACEN_PH_002.png,JOBS,US,ES,IMG,ALMACEN,PH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1BdhrRnYEGO8m2INeceH6X6w18BKGg9XW,1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,JOBS_US_ES_IMG_REPARTIDOR_NH_001.png,JOBS,US,ES,IMG,REPARTIDOR,NH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1b4qMwWHSuUmhNpfOgAMGqA76iR0fNsgw,1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,JOBS_US_ES_IMG_ALMACEN_PH_003.png,JOBS,US,ES,IMG,ALMACEN,PH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1x-kwE2StrqvBuu1fm9RU4czrknOrPbhW,18eeGmUDJUINupUY5sljyPxju8Vyf7HJ0,05 Trabalho - Feed ingles__DAGfHBBYyZo.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,JOBS_US_ES_IMG_REPARTIDOR_PH_001.png,JOBS,US,ES,IMG,REPARTIDOR,PH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1KTIIkunMy1NAsIltDj2oh_d-akPRzW6v,1RbVx1lflCX7EM4kvbK1SywaXSZiiQNs-,106 - Story espanhol__DAHDPXOl1zk.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,CC_US_ES_IMG_APROBACION_NH_028.png,CC,US,ES,IMG,APROBACION,NH,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1dmpSTAifjbVY0T9aw8ikz7Q-xPkcyocJ,14cdGSBH2CgURh-fZwOslEdRJAAIzDeIL,01 Trabalho - Story (ingles)__DAGfBKPJSC8.mp4,MGS-CRIATIVOS/JOBS_US_EN/VID/STORY/EN/01_READY_CANDIDATE,JOBS_US_EN_VID_ALMACEN_NV_001.mp4,JOBS,US,EN,VID,ALMACEN,NV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1kRZMQnTznemqtY_6DHtueTo17qaa4QG3,1dhwEQ2IwXMmgxfldT3XsN2pBD70PH99L,09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,CC,MX,ES,VID,LIMITE_ALTO,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1NIodjne8ehrCEC5eKLlNbKp2nShGAegZ,13yY_KgI7fXXzF_2Tx7bNI9foq5eP9jMU,14 - IA - Story GB ingles__DAHGC9hLIVY.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_PV_003.mp4,CC,US,EN,VID,APROBACION,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,1w3lNsUP81CmVENrgmADP4fNYHT8laGpt,15 - IA - Story Mexico__DAHFcoYzl48.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,CC,MX,ES,VID,LIMITE_ALTO,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1gEw38Uqi-PdnD7N0cn0f2Ml-ruskCoq2,1PFohHRc6uxkcsiniTc4Y0gZbuGSM_k26,17 - IA - Story GB ingles__DAHGFgwdgbs.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_PV_004.mp4,CC,US,EN,VID,APROBACION,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
19tUeJVk4H_2SXuuMBviUljEKZpNtDZId,1zUJZxzOcgAdF3j3DqXNgZ8_DpxNEqW4a,18 - Story ingles__DAHCMud9RN8.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_PV_005.mp4,CC,US,EN,VID,APROBACION,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,1Vl5pWx31Y1tH_ZQnaryWMlummajmmbWc,40 - IA - Story Mexico__DAHGGRXYFdY.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,CC,MX,ES,VID,LIMITE_ALTO,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
1iLk4ByUGGeA4LC4SCMQ_MdU0HGMzfeXQ,11KcqGaC1UyFeQcca3GOxf22-ErLEiQSi,42 - IA - Story Espanhol__DAHIQeHhzZ8.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_005.mp4,CC,US,ES,VID,APROBACION,PV,PROMOTE_TO_READY_CANDIDATE,manual visual review accepted
