ts_utc,status,source_review_drive_id,target_drive_id,old_name,new_name,target_folder,error
2026-06-15T07:21:07.991988+00:00,PROMOTED,1a1eqI7PDgugYgjVqzH4O5kl0BoGQMf3K,1a1eqI7PDgugYgjVqzH4O5kl0BoGQMf3K,CC_US_ES_VID_URGENCIA_NV_001.mp4,CC_US_ES_VID_URGENCIA_NV_001.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,
2026-06-15T07:21:10.609652+00:00,PROMOTED,1qGoq8EnDxj6kLqTTO0o_nzsoA6ndBS76,1qGoq8EnDxj6kLqTTO0o_nzsoA6ndBS76,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,JOBS_US_ES_IMG_ALMACEN_PH_001.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:14.491484+00:00,PROMOTED,1pzzSaiE7Cm-hsOCaGtVj3MdE949xymAo,1pzzSaiE7Cm-hsOCaGtVj3MdE949xymAo,02 Trabalho - Feed ingles__DAGfGwnNh0w.png,JOBS_US_ES_IMG_ALMACEN_PH_002.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:15.653010+00:00,PROMOTED,1BdhrRnYEGO8m2INeceH6X6w18BKGg9XW,1BdhrRnYEGO8m2INeceH6X6w18BKGg9XW,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,JOBS_US_ES_IMG_REPARTIDOR_NH_001.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:17.137148+00:00,PROMOTED,1b4qMwWHSuUmhNpfOgAMGqA76iR0fNsgw,1b4qMwWHSuUmhNpfOgAMGqA76iR0fNsgw,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,JOBS_US_ES_IMG_ALMACEN_PH_003.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:18.302161+00:00,PROMOTED,1x-kwE2StrqvBuu1fm9RU4czrknOrPbhW,1x-kwE2StrqvBuu1fm9RU4czrknOrPbhW,05 Trabalho - Feed ingles__DAGfHBBYyZo.png,JOBS_US_ES_IMG_REPARTIDOR_PH_001.png,MGS-CRIATIVOS/JOBS_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:19.463657+00:00,PROMOTED,1KTIIkunMy1NAsIltDj2oh_d-akPRzW6v,1KTIIkunMy1NAsIltDj2oh_d-akPRzW6v,106 - Story espanhol__DAHDPXOl1zk.png,CC_US_ES_IMG_APROBACION_NH_028.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,
2026-06-15T07:21:21.709061+00:00,PROMOTED,1dmpSTAifjbVY0T9aw8ikz7Q-xPkcyocJ,1dmpSTAifjbVY0T9aw8ikz7Q-xPkcyocJ,01 Trabalho - Story (ingles)__DAGfBKPJSC8.mp4,JOBS_US_EN_VID_ALMACEN_NV_001.mp4,MGS-CRIATIVOS/JOBS_US_EN/VID/STORY/EN/01_READY_CANDIDATE,
2026-06-15T07:21:27.878150+00:00,PROMOTED,1kRZMQnTznemqtY_6DHtueTo17qaa4QG3,1kRZMQnTznemqtY_6DHtueTo17qaa4QG3,09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,
2026-06-15T07:21:30.195484+00:00,PROMOTED,1NIodjne8ehrCEC5eKLlNbKp2nShGAegZ,1NIodjne8ehrCEC5eKLlNbKp2nShGAegZ,14 - IA - Story GB ingles__DAHGC9hLIVY.mp4,CC_US_EN_VID_APROBACION_PV_003.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,
2026-06-15T07:21:32.777667+00:00,PROMOTED,1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,15 - IA - Story Mexico__DAHFcoYzl48.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,
2026-06-15T07:21:33.823768+00:00,PROMOTED,1gEw38Uqi-PdnD7N0cn0f2Ml-ruskCoq2,1gEw38Uqi-PdnD7N0cn0f2Ml-ruskCoq2,17 - IA - Story GB ingles__DAHGFgwdgbs.mp4,CC_US_EN_VID_APROBACION_PV_004.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,
2026-06-15T07:21:34.996165+00:00,PROMOTED,19tUeJVk4H_2SXuuMBviUljEKZpNtDZId,19tUeJVk4H_2SXuuMBviUljEKZpNtDZId,18 - Story ingles__DAHCMud9RN8.mp4,CC_US_EN_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,
2026-06-15T07:21:36.132041+00:00,PROMOTED,1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,40 - IA - Story Mexico__DAHGGRXYFdY.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,
2026-06-15T07:21:37.291295+00:00,PROMOTED,1iLk4ByUGGeA4LC4SCMQ_MdU0HGMzfeXQ,1iLk4ByUGGeA4LC4SCMQ_MdU0HGMzfeXQ,42 - IA - Story Espanhol__DAHIQeHhzZ8.mp4,CC_US_ES_VID_APROBACION_PV_005.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,
2026-06-15T07:21:38.432995+00:00,PROMOTED,1odCmve9ZFjDeSZyDVuiGCGqui045HL-3,1odCmve9ZFjDeSZyDVuiGCGqui045HL-3,43 - IA - Story Espanhol__DAHIQRJvodY.mp4,CC_US_ES_VID_APROBACION_PV_006.mp4,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,
