index,vertical,person,orientation,language,angle,confidence,notes
1,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.92,Cartao aprovado com limite 100000 MXN em destaque
2,CC,NO_PERSON,VERTICAL,EN,RECOMPENSAS,0.95,Story com bonus offer worth 447 e available limit
3,CC,PERSON,HORIZONTAL,ES,APROBACION,0.88,Mao segurando cartao e texto tarjeta de credito aprobada
4,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Texto ganaste una tarjeta aprobada com limites listados
5,CC,PERSON,HORIZONTAL,ES,APROBACION,0.82,Mao com cartao e texto aprova aun con mal credito
6,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved e valor US 13678
7,JOBS,PERSON,HORIZONTAL,ES,UNKNOWN,0.90,Anuncio de trabalho de almacen com salario 28 por hora
8,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved e valor US 13678
9,JOBS,PERSON,HORIZONTAL,ES,UNKNOWN,0.95,Foto de trabalhador e estamos contratando trabajos de almacen
10,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.92,Credit limit approved com available limits 12000 14000 16000
11,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta de credito aprobada com opciones de limite
12,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved e valor US 13678
13,JOBS,NO_PERSON,HORIZONTAL,ES,UNKNOWN,0.88,Anuncio para repartidores entrega medicamentos salario 28 por hora
14,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta que aprueba incluso a endeudados e limite 23000
15,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Credit card approved com available limits 12000 14000 16000
16,JOBS,PERSON,HORIZONTAL,ES,UNKNOWN,0.96,Foto de trabalhador e trabajos de almacen salario 28 por hora
17,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Credit limit approved com limites disponiveis
18,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta de credito aprobada sin complicaciones
19,JOBS,PERSON,HORIZONTAL,ES,UNKNOWN,0.96,Foto de repartidor e salario de hasta 23 por hora
20,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Tarjeta que aprueba incluso a endeudados com limite disponible
21,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta que aprueba incluso a endeudados e 94 aprobacion
22,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Credit card approved com available limit US 12345
23,CC,PERSON,HORIZONTAL,DE,LIMITE_ALTO,0.94,Mao segurando cartao e texto Ihr neues Kreditlimit
24,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Credit card approved com available limit US 12345
25,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.90,Tarjeta aprobada com limite disponible hasta 22000
26,CC,PERSON,HORIZONTAL,DE,LIMITE_ALTO,0.88,Criativo quadrado feed mao segurando cartão texto em alemão sobre novo limite de crédito
27,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved limite disponível visível sem pessoa
28,CC,PERSON,HORIZONTAL,DE,LIMITE_ALTO,0.88,Mão segurando cartão alemão foco em novo limite de crédito
29,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.92,Credit card approved com available limit sem pessoa
30,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.92,Credit card approved limite disponível sem pessoa
31,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta aprobada novo limite sem pessoa visível
32,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.91,Credit card approved limite disponível sem pessoa
33,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta aprobada novo limite cartões apenas
34,CC,PERSON,HORIZONTAL,EN,APROBACION,0.92,Mão segurando cartão Credit card approved limited time offer
35,CC,PERSON,HORIZONTAL,ES,RECOMPENSAS,0.90,Tarjeta aprobada com limite e oferta de bonificación valer 447 mão visível
36,CC,PERSON,HORIZONTAL,ES,RECOMPENSAS,0.90,Oferta de bonificación 447 em destaque mão segurando cartão
37,CC,PERSON,HORIZONTAL,ES,RECOMPENSAS,0.90,Oferta de bonificación 447 mão e cartão espanhol
38,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta aprobada novo limite sem pessoa
39,CC,PERSON,HORIZONTAL,ES,APROBACION,0.86,Tarjeta aprobada mão segurando cartão menção a benefícios exclusivos
40,CC,PERSON,HORIZONTAL,EN,APROBACION,0.91,Credit card approved mão segurando cartão verde limite disponível
41,CC,PERSON,HORIZONTAL,ES,APROBACION,0.86,Tarjeta aprobada mão segurando cartão benefícios exclusivos
42,CC,PERSON,HORIZONTAL,EN,APROBACION,0.91,Credit card approved mão com cartão limite disponível
43,CC,PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.88,Tarjeta aprobada novo limite 10183 em destaque mão segurando vários cartões
44,CC,PERSON,HORIZONTAL,ES,APROBACION,0.86,Tarjeta aprobada mão segurando cartão benefícios exclusivos
45,CC,PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved mão cartão available limit 10987
46,CC,PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.88,Tarjeta aprobada novo limite 10183 em destaque mão segurando cartões
47,CC,PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved mão segurando cartão limite disponível
48,CC,PERSON,HORIZONTAL,EN,APROBACION,0.90,Credit card approved mão segurando cartão limite disponível
49,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.84,Tarjeta de crédito aprobada limite hasta 21000 sem pessoa
50,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.88,Tarjeta aprobada límite 100000 MXN aplica ya em destaque sem pessoa
51,CC,NO_PERSON,HORIZONTAL,DE,APROBACION,0.92,Genehmigt Kreditkarte with limit 5000
52,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and Your New Limit 11765
53,CC,NO_PERSON,HORIZONTAL,DE,APROBACION,0.92,German approved credit card with 5000 limit
54,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and Your New Limit 11765
55,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta aprobada with choose your limit message
56,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and approved card with new limit
57,CC,NO_PERSON,HORIZONTAL,DE,APROBACION,0.92,German Genehmigt Kreditkarte
58,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Ganaste una tarjeta aprobada
59,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.86,Tu limite tu decides
60,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.88,Hola tarjeta de credito aprobada
61,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta de credito aprobada with offer amount
62,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.88,Tarjeta de credito aprobada
63,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and Available Limit 12765
64,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Credit card options with limits from 9775
65,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,Tarjeta de credito aprobada with 9975
66,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and Available Limit 12765
67,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.88,Tarjeta de credito aprobada
68,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta de credito aprobada with 4975
69,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Tarjeta de credito aprobada with 10188
70,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and Available Limit 12765
71,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Easy approval with limits from 9775
72,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.88,Tarjeta de credito aprobada with 10188
73,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.88,Tarjeta de credito aprobada with 10188
74,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Hand visible and Available Limit 12765
75,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.82,Limite disponible 19978 and tarjeta de credito libertad
76,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.90,Tarjeta aprobada with limit scale and MXN amounts
77,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Hola tarjeta de credito aprobada with smaller limit amount
78,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.92,Hand holding card and available limit US 12765
79,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Felicidades tarjeta aprobada with limit shown
80,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.92,Hand holding card and available limit US 12765
81,CC,NO_PERSON,HORIZONTAL,ES,RECOMPENSAS,0.82,Aprobada plus visible reward message
82,CC,PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.86,Hand points to card and large limit 6188
83,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.84,Felicidades tarjeta aprobada with limit 8200
84,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Credit card approved and available limit US 12765
85,CC,PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.88,Hand points to card with large limit 6188
86,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.84,Felicidades tarjeta aprobada with limit 8200
87,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Your limit 4189 shown prominently
88,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Available limit US 12765 prominent
89,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Your limit 4189 shown prominently
90,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.92,Portrait creative with available limit US 12765
91,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Your limit 4189 shown prominently
92,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.92,Your available limit US 9497
93,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Hola tarjeta de credito aprobada with limit 10500
94,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Hola tarjeta de credito aprobada with limit 10500
95,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.86,Hola tarjeta de credito aprobada with limit 10500
96,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,Portrait creative with available limit US 12765
97,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Available limit US 12765 prominent
98,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.93,Available limit US 12765 prominent
99,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,Portrait creative with available limit US 12765
100,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Hand visible and limit amount 8765 shown
101,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Credit card approved with available limit 12765
102,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Credit card approved with available limit 12765
103,CC,PERSON,HORIZONTAL,EN,APROBACION,0.82,Hand holding card and approved message
104,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Credit card approved with available limit 12765
105,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.90,Spanish copy Cobra tu lana hoy and limite scale
106,CC,PERSON,HORIZONTAL,EN,APROBACION,0.82,Hand holding card and approved message
107,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Approved card with available limit 12765
108,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.78,Requested approved headline with amount 7965
109,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Approved card with available limit 12765
110,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.80,Requested approved headline with amount 7965
111,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Approved card with available limit 12765
112,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.80,Requested approved headline with amount 7965
113,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Approved card with available limit 12765
114,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Available limit 12765 emphasized
115,CC,PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Hand holding card and available limit 8987
116,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Approved card with available limit 7765
117,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Approved card with available limit 7765
118,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,Approved card with available limit 12765
119,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Requested approved with available limit 9435
120,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Requested approved with available limit 9435
121,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Approved card with available limit 13235
122,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.84,Requested approved with available limit 9435
123,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,Spanish tarjeta de credito aprobada and solicite
124,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,Credit card available with limit 13235
125,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.88,Credit card available with limit 8463
126,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,credit card approved with choose your limit amounts
