idx,drive_id,old_name,decision,target_folder,target_filename,reason
1,1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,Design sem nome__DAG-EMxacUY.png,REJECT,MGS-CRIATIVOS/REVIEW/IMG/FEED/EN/05_REJECTED,CC_US_EN_IMG_UNKNOWN_NH_001.png,generic card mockup; no clear ad claim
2,10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,PROMOTE,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_014.mp4,Spanish story with person/card; approval-style creative
3,1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,PROMOTE,MGS-CRIATIVOS/CC_ZA_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,Approved Limit with South Africa rand value
4,1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,01 - IA - Story Ingles GB.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_001.mp4,"GB English story, person/card, approval/received-card angle"
5,1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,02 - IA - Story Ingles GB.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_002.mp4,"GB English story, person/card, approval/received-card angle"
6,1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,03 - IA - Story Ingles GB.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_003.mp4,"GB English story, person/cards, approval/received-card angle"
7,1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,04 - IA - Story Ingles GB.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_004.mp4,"GB English story, person/card/envelope, approval/received-card angle"
8,1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_005.mp4,"GB English story, person/card/envelope, approval/received-card angle"
9,1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,80 - IA - Story Ingles__DAHEymEDHus.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_006.mp4,"GB English story, person/card/letter, approval angle"
10,14JcD8slyA-SkWtf5wycQ5bKIMGERK8Jq,82 - IA - Story Ingles__DAHEy46gSsk.mp4,PROMOTE,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_007.mp4,"GB English story, person/card, approval/received-card angle"
11,1ZvTSVraqnFtNz4dKCNAYeykESxezJ-HB,101 - Story espanhol__DAHAgX6DO30.mp4,PROMOTE,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_019.mp4,"Spanish-labeled US card story, person/card, approval angle"
12,17y0yH1c3gielpMixBRSuxyaIB2CtYxV7,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,PROMOTE,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_RECOMPENSAS_PV_004.mp4,Wells Fargo Active Cash card; rewards/cashback angle
