action,drive_id,target_folder,target_filename,note
RESTORE_RAW,1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/feed,Design sem nome__DAG-EMxacUY.png,restore RAW/UPLOAD_CANVAS after mistaken move
REJECT,1RTNCNwMp9yQKl7An9PZMWu2LkMewTZsZ,MGS-CRIATIVOS/REVIEW/IMG/FEED/EN/05_REJECTED,CC_US_EN_IMG_UNKNOWN_NH_001.png,apply review decision to cleaned review copy
RESTORE_RAW,10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1W2xyAIczZ7sCwMbLrWIwxTUfPoGVe41P,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_014.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1KxCfWSl98uAekdUJOEvjC0BXAQiI-ggK,MGS-CRIATIVOS/CC_ZA_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - IA - Story Ingles GB.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1CUThTpzpHBuki57OVsmUnfJHT8j-HhZP,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_001.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,02 - IA - Story Ingles GB.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1MpBOndN8_06xDqSV9LZxXzn379b6GYDn,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_002.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,03 - IA - Story Ingles GB.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1kL7Djf_EwtbmHubMPjpXUzKJWMSzyd6A,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_003.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,04 - IA - Story Ingles GB.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1_g2yH9UJ9HB1J5dEu8GqMsdbnhLIXovc,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_004.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1GFJ5i5fKf1pSsDtgZB9qHlQVgg78IX-g,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_005.mp4,apply review decision to cleaned review copy
RESTORE_RAW,1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,80 - IA - Story Ingles__DAHEymEDHus.mp4,restore RAW/UPLOAD_CANVAS after mistaken move
PROMOTE,1fY1cACgSHtSHCowYS1iIoSFgml42VmhT,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_006.mp4,apply review decision to cleaned review copy
