ts_utc,status,action,drive_id,target_folder,target_filename,verified_name,verified_parent,error
2026-06-15T22:03:49.262069+00:00,MOVED_RENAMED,RESTORE_RAW,1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/feed,Design sem nome__DAG-EMxacUY.png,Design sem nome__DAG-EMxacUY.png,1MGg6nU7BLxo2GtcemFj-f9YxTopSUveF,
2026-06-15T22:03:51.027887+00:00,MOVED_RENAMED,REJECT,1RTNCNwMp9yQKl7An9PZMWu2LkMewTZsZ,MGS-CRIATIVOS/REVIEW/IMG/FEED/EN/05_REJECTED,CC_US_EN_IMG_UNKNOWN_NH_001.png,CC_US_EN_IMG_UNKNOWN_NH_001.png,11tetpfj4CuXT__zF-4fA41QGcg_qv7vZ,
2026-06-15T22:03:52.768375+00:00,MOVED_RENAMED,RESTORE_RAW,10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:03:54.075581+00:00,MOVED_RENAMED,PROMOTE,1W2xyAIczZ7sCwMbLrWIwxTUfPoGVe41P,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_014.mp4,CC_US_ES_VID_APROBACION_PV_014.mp4,1dgaT3fBHFXuYUTZh694mI5PFCV7REave,
2026-06-15T22:03:56.413659+00:00,MOVED_RENAMED,RESTORE_RAW,1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:03:57.378953+00:00,MOVED_RENAMED,PROMOTE,1KxCfWSl98uAekdUJOEvjC0BXAQiI-ggK,MGS-CRIATIVOS/CC_ZA_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,CC_ZA_EN_VID_LIMITE_ALTO_PV_001.mp4,1tNSiDqCta-EQXPmd_RrtukHwfxOFwRim,
2026-06-15T22:03:59.170086+00:00,MOVED_RENAMED,RESTORE_RAW,1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,01 - IA - Story Ingles GB.mp4,01 - IA - Story Ingles GB.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:00.116458+00:00,MOVED_RENAMED,PROMOTE,1CUThTpzpHBuki57OVsmUnfJHT8j-HhZP,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_001.mp4,CC_GB_EN_VID_APROBACION_PV_001.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:01.897193+00:00,MOVED_RENAMED,RESTORE_RAW,1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,02 - IA - Story Ingles GB.mp4,02 - IA - Story Ingles GB.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:02.791208+00:00,MOVED_RENAMED,PROMOTE,1MpBOndN8_06xDqSV9LZxXzn379b6GYDn,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_002.mp4,CC_GB_EN_VID_APROBACION_PV_002.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:03.645277+00:00,MOVED_RENAMED,RESTORE_RAW,1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,03 - IA - Story Ingles GB.mp4,03 - IA - Story Ingles GB.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:04.568635+00:00,MOVED_RENAMED,PROMOTE,1kL7Djf_EwtbmHubMPjpXUzKJWMSzyd6A,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_003.mp4,CC_GB_EN_VID_APROBACION_PV_003.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:05.432590+00:00,MOVED_RENAMED,RESTORE_RAW,1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,04 - IA - Story Ingles GB.mp4,04 - IA - Story Ingles GB.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:06.321819+00:00,MOVED_RENAMED,PROMOTE,1_g2yH9UJ9HB1J5dEu8GqMsdbnhLIXovc,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_004.mp4,CC_GB_EN_VID_APROBACION_PV_004.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:07.231299+00:00,MOVED_RENAMED,RESTORE_RAW,1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:08.117190+00:00,MOVED_RENAMED,PROMOTE,1GFJ5i5fKf1pSsDtgZB9qHlQVgg78IX-g,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_005.mp4,CC_GB_EN_VID_APROBACION_PV_005.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:09.144777+00:00,MOVED_RENAMED,RESTORE_RAW,1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,80 - IA - Story Ingles__DAHEymEDHus.mp4,80 - IA - Story Ingles__DAHEymEDHus.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:10.114222+00:00,MOVED_RENAMED,PROMOTE,1fY1cACgSHtSHCowYS1iIoSFgml42VmhT,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_006.mp4,CC_GB_EN_VID_APROBACION_PV_006.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:10.978496+00:00,MOVED_RENAMED,RESTORE_RAW,14JcD8slyA-SkWtf5wycQ5bKIMGERK8Jq,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,82 - IA - Story Ingles__DAHEy46gSsk.mp4,82 - IA - Story Ingles__DAHEy46gSsk.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:11.893994+00:00,MOVED_RENAMED,PROMOTE,1AyuswWGnBYuHqcm2MaD2Ha9BwnuOCW01,MGS-CRIATIVOS/CC_GB_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_GB_EN_VID_APROBACION_PV_007.mp4,CC_GB_EN_VID_APROBACION_PV_007.mp4,183hhCOqxh89RTuq_zuNyFxRY5Ngc0y2F,
2026-06-15T22:04:12.856656+00:00,MOVED_RENAMED,RESTORE_RAW,1ZvTSVraqnFtNz4dKCNAYeykESxezJ-HB,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,101 - Story espanhol__DAHAgX6DO30.mp4,101 - Story espanhol__DAHAgX6DO30.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:14.150041+00:00,MOVED_RENAMED,PROMOTE,1tm6Wg0HSym0qu3xepXp0jb35x17mH72T,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_APROBACION_PV_019.mp4,CC_US_ES_VID_APROBACION_PV_019.mp4,1dgaT3fBHFXuYUTZh694mI5PFCV7REave,
2026-06-15T22:04:15.234006+00:00,MOVED_RENAMED,RESTORE_RAW,17y0yH1c3gielpMixBRSuxyaIB2CtYxV7,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,1zNGrx_m72pFH25sJy_OefbLW5LQRugxU,
2026-06-15T22:04:16.130648+00:00,MOVED_RENAMED,PROMOTE,11ud0y4-OEmgpFQznh4Lj3w2Dv0y7v-j6,MGS-CRIATIVOS/CC_US_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_US_ES_VID_RECOMPENSAS_PV_004.mp4,CC_US_ES_VID_RECOMPENSAS_PV_004.mp4,1dgaT3fBHFXuYUTZh694mI5PFCV7REave,
