source_kind,review_index,drive_id,current_filename,relative_path,vertical,country,language,format,angle,person,orientation,p_orient,confidence,notes,proposed_stem,ready_for_rename,variant,proposed_filename,destination_folder,queue_action
IMG,1,12Hy_2H1S0hP194eKW3y4ZnhM7LO0jr4R,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,CC,MX,ES,IMG,LIMITE_ALTO,NO_PERSON,HORIZONTAL,NH,0.92,Cartao aprovado com limite 100000 MXN em destaque,CC_MX_ES_IMG_LIMITE_ALTO_NH,yes,001,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_MX_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,2,1gPylRNO_OQj87i7H_quiMWlz9YymWwsI,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_IMG_RECOMPENSAS_NV_001.png,CC,US,EN,IMG,RECOMPENSAS,NO_PERSON,VERTICAL,NV,0.95,Story com bonus offer worth 447 e available limit,CC_US_EN_IMG_RECOMPENSAS_NV,yes,001,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/STORY/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,3,1abEwBKBwKhx2k15OLC8qipwSTyLDq8sa,CC_US_ES_IMG_APROBACION_PH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_IMG_APROBACION_PH_001.png,CC,US,ES,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.88,Mao segurando cartao e texto tarjeta de credito aprobada,CC_US_ES_IMG_APROBACION_PH,yes,001,CC_US_ES_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,4,1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,01 - Feed espanhol__DAHI_-XEf1Q.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - Feed espanhol__DAHI_-XEf1Q.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.86,Texto ganaste una tarjeta aprobada com limites listados,CC_US_ES_IMG_APROBACION_NH,yes,001,CC_US_ES_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,5,1c6DKo7dex53dxk_3HJr1XiF7DvIpYgaU,01 - IMG - FEED__DAG-42U8ZLY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - IMG - FEED__DAG-42U8ZLY.png,CC,US,ES,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.82,Mao com cartao e texto aprova aun con mal credito,CC_US_ES_IMG_APROBACION_PH,yes,002,CC_US_ES_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,6,1QfGjMK4OfxPtDuP0si9h7hZlB3wbnbIh,01 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 INGLES - FD.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved e valor US 13678,CC_US_EN_IMG_APROBACION_NH,yes,001,CC_US_EN_IMG_APROBACION_NH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,7,15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 Trabalho - Feed ingles__DAGfGtgkYJU.png,JOBS,US,ES,IMG,UNKNOWN,PERSON,HORIZONTAL,PH,0.90,Anuncio de trabalho de almacen com salario 28 por hora,JOBS_US_ES_IMG_UNKNOWN_PH,no,001,JOBS_US_ES_IMG_UNKNOWN_PH_001.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/ES/00_REVIEW,MANUAL_REVIEW
IMG,8,17DURcLxK12gAO1FLoKlHg5zFvmfeQ4xz,02 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 INGLES - FD.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved e valor US 13678,CC_US_EN_IMG_APROBACION_NH,yes,002,CC_US_EN_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,9,1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,02 Trabalho - Feed ingles__DAGfGwnNh0w.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 Trabalho - Feed ingles__DAGfGwnNh0w.png,JOBS,US,ES,IMG,UNKNOWN,PERSON,HORIZONTAL,PH,0.95,Foto de trabalhador e estamos contratando trabajos de almacen,JOBS_US_ES_IMG_UNKNOWN_PH,no,002,JOBS_US_ES_IMG_UNKNOWN_PH_002.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/ES/00_REVIEW,MANUAL_REVIEW
IMG,10,1jGZeaRPQNpTPFqYTLTyN0KIwgqQVL22v,03 - Feed Ingles__DAGS_eXRxtg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed Ingles__DAGS_eXRxtg.png,CC,US,EN,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.92,Credit limit approved com available limits 12000 14000 16000,CC_US_EN_IMG_LIMITE_ALTO_PH,yes,001,CC_US_EN_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
