index,vertical,person,orientation,language,angle,confidence,notes
1,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.93,story EN approval
2,CC,PERSON,VERTICAL,EN,APROBACION,0.92,hand phone/card approved
3,CC,NO_PERSON,VERTICAL,ES,UNKNOWN,0.82,urgencia not mapped
4,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.88,genehmigt credit card
5,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.88,german approved credit card
6,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.87,zugelassene approval
7,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.87,zugelassene approval
8,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.86,german approval
9,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.78,santa/card value
10,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.87,german approval
11,CC,PERSON,VERTICAL,ES,UNKNOWN,0.72,woman card angle unclear
12,CC,PERSON,VERTICAL,UNKNOWN,LIMITE_ALTO,0.74,woman card large value
13,CC,PERSON,VERTICAL,EN,UNKNOWN,0.78,woman cards no clear angle
14,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
15,JOBS,NO_PERSON,VERTICAL,EN,UNKNOWN,0.97,warehouse jobs hiring
16,CC,PERSON,VERTICAL,ES,APROBACION,0.91,pago aprobado
17,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.82,large value
18,CC,PERSON,VERTICAL,EN,UNKNOWN,0.78,woman card no clear text
19,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
20,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.88,large euro value
21,CC,PERSON,VERTICAL,EN,UNKNOWN,0.79,woman black cards no clear angle
22,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
23,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.88,pound value
24,CC,PERSON,VERTICAL,EN,UNKNOWN,0.80,woman cards no clear angle
25,CC,PERSON,VERTICAL,DE,APROBACION,0.94,man card german approved
26,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.86,woman high value
27,CC,PERSON,VERTICAL,EN,APROBACION,0.78,woman cards approval likely
28,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
29,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
30,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,genehmigt kreditkarte
31,CC,PERSON,VERTICAL,DE,APROBACION,0.93,woman card german approved
32,CC,PERSON,VERTICAL,DE,APROBACION,0.91,man german approved
33,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.97,limite credito 15890
34,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.80,woman card 21367
35,CC,PERSON,VERTICAL,ES,APROBACION,0.84,woman red card approval
36,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.74,woman card Mexico value
37,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.90,green visa euro value
38,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.90,green visa euro value
39,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.82,graphic value 13990
40,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.90,red card euro value
41,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.90,red card euro value
42,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.78,credit card available
43,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.86,woman value 16475
44,CC,PERSON,VERTICAL,ES,UNKNOWN,0.60,man cards text unclear
45,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.84,woman value 13750
46,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.84,woman value 12475
47,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.90,black card euro value
48,CC,PERSON,VERTICAL,EN,UNKNOWN,0.62,woman card text unclear
49,CC,PERSON,VERTICAL,ES,APROBACION,0.78,woman card no large value
50,CC,PERSON,VERTICAL,EN,APROBACION,0.76,woman card approval likely
51,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.92,value 15475
52,CC,PERSON,VERTICAL,ES,APROBACION,0.78,woman envelope/card
53,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.74,value 21590
54,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,pound value 18990
55,CC,PERSON,VERTICAL,EN,APROBACION,0.72,woman card no large value
56,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.88,value 12728
57,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,pound value 15999
58,CC,PERSON,VERTICAL,EN,APROBACION,0.74,woman card no large value
59,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,pound value 16789
60,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,pound value 18990
61,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.94,tarjeta aprobada
62,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.94,tarjeta aprobada
63,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
64,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.93,value 13560
65,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.78,value 14567 Mexico
66,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.93,value 12780
67,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.93,value 15560
68,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.96,easy approval
69,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.96,genehmigt kreditkarte
70,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,genehmigt kreditkarte
71,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,genehmigt kreditkarte
72,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.92,value 12650
73,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.86,value 15780
74,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.88,value 13500
75,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.93,credit card approved
76,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.88,value 13760
77,CC,PERSON,VERTICAL,DE,LIMITE_ALTO,0.70,value 19790 label DE
78,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.84,woman card value
79,CC,PERSON,VERTICAL,ES,APROBACION,0.72,approval/card received
80,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.94,credit card approved
81,CC,PERSON,VERTICAL,ES,APROBACION,0.70,woman card approval likely
82,CC,NO_PERSON,VERTICAL,EN,RECOMPENSAS,0.90,bonus offer 1000
83,CC,PERSON,VERTICAL,ES,APROBACION,0.69,card received approval likely
84,CC,PERSON,VERTICAL,ES,APROBACION,0.66,woman card details unclear
85,CC,PERSON,VERTICAL,ES,APROBACION,0.92,woman red card approval
86,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,zugelassene approval
87,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.98,credit card approved
88,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,zugelassene approval
89,CC,NO_PERSON,VERTICAL,DE,APROBACION,0.95,zugelassene approval
90,CC,PERSON,VERTICAL,EN,APROBACION,0.78,woman card approval likely
91,CC,PERSON,VERTICAL,DE,APROBACION,0.92,kreditkarte genehmigt
92,CC,PERSON,VERTICAL,ES,APROBACION,0.96,tarjeta aprobada hand card
93,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.96,limite hasta 10000
94,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.96,limite hasta 10000
95,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.82,up to 9235
