dedup_key,kept_drive_id,skipped_drive_id,kept_relative_path,skipped_relative_path,reason,kept_score,skipped_score
md5:27474d634b3645ad64d0c551db5d94bd,1DMhLs2KTszNkDrHdLDBIDVV0mGm1uAyL,18c95dXNFi9qsiiRwfnxv61V2Vigho4Fw,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/ES/01 - Feed espanhol__DAHI_-XEf1Q.png,UPLOAD_CANVAS/downloads/NICOLAS/01 - Feed (espanhol)__DAHI_-XEf1Q.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:a7a2f750c34ce75d36f8de5355cb2ad9,1GjqBINL5x6wyaVaZ-QKcVxbqpbD23Z8E,1aQIGb7FFtXPPtRLsl0nXw-WTfZeR5sCz,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 - FILME - Story (Espanhol)__DAHJd0mC5MI.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:0acf694bcb3a71293b3600385495e9ac,1bAUWOLw2Bi-OPPXrlZXX8ySR9YfwLz6L,10bLr_keFWfKZ9bhY26n-5ncBr21cSe8U,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 - IA - Story (AFRICA SUL)__DAHGTye3QNI.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:9d44eda224f44f3097a10883001e6698,1Xvkbu8o_9FY1bqIwuqQ69wIL-C-EhxP8,10IfTJSYpARNxdk0aUD1fZGYf2qJ6wCly,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/01 - IA - Story ARGENTINA__DAHGUPIFs8g.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 - IA - Story (ARGENTINA)__DAHGUPIFs8g.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:18821ab321eeee2cd103c02810f1ed56,1Psk5JGjcHY8WBk7LnEAirqiQfv-TvcO9,1BqXpwUbdP3xvYxUEoWbCBs0IftgK0xez,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/01 - IA - Story Espanhol__DAHCL0P7SPA.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 - IA - Story (Espanhol)__DAHCL0P7SPA.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:51113dd1d3f810cfedea866e9fb55284,1cssl92JWxejnnGvOkwyLA4A4sbCxAZH5,1Up1Lt6oPuLrPJ6hlijsp62Ehl97xkbvc,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/01 - Story espanhol__DAGyfA9POAU.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 - Story (espanhol)__DAGyfA9POAU.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:fb642cf3affcdb65c82cc7fbbf0b7708,15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,1qy7EqPae2LrETYF6G3FjtkH7H0qUfdLO,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/01 Trabalho - Feed ingles__DAGfGtgkYJU.png,UPLOAD_CANVAS/downloads/NICOLAS/01 Trabalho - Feed (ingles)__DAGfGtgkYJU.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:98207dedeec14fb5933ebee9bac99cd0,1R3eqB8cuPUOv64aN5nYhBg4bQ39G3uYS,14cdGSBH2CgURh-fZwOslEdRJAAIzDeIL,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/01 Trabalho - Story ingles__DAGfBKPJSC8.mp4,UPLOAD_CANVAS/downloads/NICOLAS/01 Trabalho - Story (ingles)__DAGfBKPJSC8.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:37b263b0ba266fea9a681407d3511fbf,1Y00LPwnUUD2L5c3IiCVpEA1FCG0ZQ-4n,1xVnbqVjJvX-VPqZard-MTTHXHIzP09lk,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/02 - FILME - Story Espanhol__DAHJd58WuxY.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 - FILME - Story (Espanhol)__DAHJd58WuxY.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:9fb51d14d3ecc09293cce0a4f20c264a,1BCHvsPud5lRFfAg4AhkJBm8u33bpUjeU,1R5VkR4jImofrRTvjaCA_YHXV6fcnnrLr,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/02 - IA - Story AFRICA SUL__DAHGT_dg6RE.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 - IA - Story (AFRICA SUL)__DAHGT_dg6RE.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:54e567c48a028d8c5c235b9c43a3128e,1y6uCQWWnJffO_Y5826XGkcmVFYCYpA2_,1jcBtV1Wqowwb-k8hiDBsduiLXEu4PYzn,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/02 - IA - Story ARGENTINA__DAHGUA7cP74.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 - IA - Story (ARGENTINA)__DAHGUA7cP74.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:d41b75aee9706a1f3b8cb3022444f9c3,1sZLvOY49tKbIvjKu04s6g7z3yzr0LYg2,1Il6UCR6031ue0-orm7I-UDPruIRuaFcQ,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/02 - IA - Story Espanhol__DAHCMPpJ3NA.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 - IA - Story (Espanhol)__DAHCMPpJ3NA.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:67edaa501703eaf444b301efaefdf396,1ZOCjiafHlgN9dXsGX-2Rt9w_bcu2MyaB,1jmlDb-r24qGuxUxzUcFI5fb-VRkhMEiC,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/02 - IA - Story Ingles__DAHALdMnkGo.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 - IA - Story (Ingles)__DAHALdMnkGo.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:86ba361421904b991ad7e1806d0bc4df,1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,1jieLLSR7M-0XUDooXl20r2ovtpwxoynF,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/02 Trabalho - Feed ingles__DAGfGwnNh0w.png,UPLOAD_CANVAS/downloads/NICOLAS/02 Trabalho - Feed (ingles)__DAGfGwnNh0w.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:84b2bc74296873b31ffff9d7ea48c980,1J8FTifDTVF_kHu7rkcCSVGDJV-7ZKho7,1D5q985ZJmQqDDnWUrNhfuVb8X_09wikE,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/02 Trabalho - Story ingles__DAGfG-tOoGM.mp4,UPLOAD_CANVAS/downloads/NICOLAS/02 Trabalho - Story (ingles)__DAGfG-tOoGM.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:3aeb0df028c44713aa4ec502424ec700,1jGZeaRPQNpTPFqYTLTyN0KIwgqQVL22v,1p9FgSJjGMpzaFCHhgLAiEOtuDrbkXD5E,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/03 - Feed Ingles__DAGS_eXRxtg.png,UPLOAD_CANVAS/downloads/NICOLAS/03 - Feed ( Ingles )__DAGS_eXRxtg.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
