drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,status,proposed_action,notes
1EhrfjAaVWo6gmyQQFHiaV6Ms_AkN_hkn,FEED-4 Your Story.mp4,UPLOAD_CANVAS/downloads_EMPREGO/FEED-4 Your Story.mp4,downloads_EMPREGO,video/mp4,mp4,VID,751843,1080,608,16:9,LANDSCAPE,4999,26ac2c4b30a5e1d67de505ee32d8ded3,2026-06-08T14:43:11.499Z,2026-05-27T18:27:16.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1v0j1nosI3bnRbwHoqfhzrnt6iSHslA6Q,FEED-4.png,UPLOAD_CANVAS/downloads_EMPREGO/FEED-4.png,downloads_EMPREGO,image/png,png,IMG,1033707,1080,1080,1:1,FEED,,0675fbea4422830d654ba54093052cf8,2026-06-08T14:43:11.703Z,2026-05-27T18:26:29.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JLMmrkaqNpiH4-vZZuaUvWx2C0MPZEZX,01 - IA - Story Alemanha__DAHGGuMFyAs.mp4,UPLOAD_CANVAS/downloads_GEORGE/01 - IA - Story Alemanha__DAHGGuMFyAs.mp4,downloads_GEORGE,video/mp4,mp4,VID,9524780,1080,1920,9:16,STORY,15066,c811226ee3dfd4192ce06e0fb9d0191f,2026-06-08T14:45:56.757Z,2026-05-28T02:46:53.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1c6DKo7dex53dxk_3HJr1XiF7DvIpYgaU,01 - IMG - FEED__DAG-42U8ZLY.png,UPLOAD_CANVAS/downloads_GEORGE/01 - IMG - FEED__DAG-42U8ZLY.png,downloads_GEORGE,image/png,png,IMG,372726,1080,1080,1:1,FEED,,c49711f41ff8bb422c961da5885cb1d6,2026-06-08T14:42:38.529Z,2026-05-28T04:16:32.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QeiL5XrLaKh0DIeA_7sYsxGJ1r8F7HHw,01 - IMG - STORIES__DAG-4yOX1ww.mp4,UPLOAD_CANVAS/downloads_GEORGE/01 - IMG - STORIES__DAG-4yOX1ww.mp4,downloads_GEORGE,video/mp4,mp4,VID,669990,1080,1920,9:16,STORY,8999,9577c3e1899d7724bb486c09a1126749,2026-06-08T14:42:38.655Z,2026-05-28T04:24:05.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1hvZdvw7LATo8GEVvhGLbyiP8yYOVTJZN,01 - Story alemao AUDIO__DAGsxQ_z4Xk.mp4,UPLOAD_CANVAS/downloads_GEORGE/01 - Story alemao AUDIO__DAGsxQ_z4Xk.mp4,downloads_GEORGE,video/mp4,mp4,VID,863495,1080,1920,9:16,STORY,13033,9c4b93a250817861cffedf298d548f22,2026-06-08T14:42:39.304Z,2026-05-29T00:05:18.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Wol9UsYBZJfSEtN5sKnD1f8A7jjvEYkV,01 - Story ingles__DAGpNUeBR1g.mp4,UPLOAD_CANVAS/downloads_GEORGE/01 - Story ingles__DAGpNUeBR1g.mp4,downloads_GEORGE,video/mp4,mp4,VID,1364202,1080,1920,9:16,STORY,21066,fc752fe98c807f7edba777093ac1d7d6,2026-06-08T14:45:58.353Z,2026-05-29T00:12:13.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Omo2KI13p2W1egcr2WApqy0-VsZfyURw,02 - IA - Story Alemanha__DAHGG3QusMY.mp4,UPLOAD_CANVAS/downloads_GEORGE/02 - IA - Story Alemanha__DAHGG3QusMY.mp4,downloads_GEORGE,video/mp4,mp4,VID,9959218,1080,1920,9:16,STORY,15066,2d5d7e48e5ea1b5b0b8c0b468f566690,2026-06-08T14:46:00.023Z,2026-05-28T02:45:58.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1CFwUVtuOrqYU_VrM3h_7gSF7hHI4fIgT,02 - Story Alemao AUDIO__DAGsxexnW9U.mp4,UPLOAD_CANVAS/downloads_GEORGE/02 - Story Alemao AUDIO__DAGsxexnW9U.mp4,downloads_GEORGE,video/mp4,mp4,VID,891456,1080,1920,9:16,STORY,13033,4833849cad61d2759e8f373404e57b51,2026-06-08T14:42:38.895Z,2026-05-29T01:37:10.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1R_xLA1w8QarmBYNL2tARnN8rCalgKPlf,02 - Story ingles__DAGpNWxNx3U.mp4,UPLOAD_CANVAS/downloads_GEORGE/02 - Story ingles__DAGpNWxNx3U.mp4,downloads_GEORGE,video/mp4,mp4,VID,714395,1080,1920,9:16,STORY,8999,36497422086fe84c4feec602b80c63d3,2026-06-08T14:42:38.686Z,2026-05-29T00:20:57.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
