drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
12Hy_2H1S0hP194eKW3y4ZnhM7LO0jr4R,CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_MX_ES_IMG_LIMITE_ALTO_NH_001.png,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,image/png,png,IMG,342566,1080,1080,1:1,FEED,,d54ff5f70c46d10cb9e1fd7456742b77,2026-05-29T01:17:26.000Z,2026-06-13T16:39:08.813Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1gPylRNO_OQj87i7H_quiMWlz9YymWwsI,CC_US_EN_IMG_RECOMPENSAS_NV_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_IMG_RECOMPENSAS_NV_001.png,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,image/png,png,IMG,1505149,1080,1920,9:16,STORY,,8240233b41625244dc2152cd340df475,2026-06-08T14:50:02.866Z,2026-06-13T16:39:07.725Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cgzcy3ZvMANsqlzyADh2q57U-JO_l1uZ,CC_US_EN_VID_APROBACION_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_NV_001.mp4,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,video/mp4,mp4,VID,448400,1080,1920,9:16,STORY,7999,f4fd3c16464ca188175339d4ec85026d,2026-05-31T00:19:32.000Z,2026-06-13T18:35:34.525Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1N_oggMG5ahqYFe1JrFXHJazf8m-2yoFN,CC_US_EN_VID_APROBACION_PV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_PV_001.mp4,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,video/mp4,mp4,VID,2956769,1080,1920,9:16,STORY,13999,51cd0722e184bed568df675c243b0c3b,2026-06-08T14:50:01.501Z,2026-06-13T16:39:10.981Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1abEwBKBwKhx2k15OLC8qipwSTyLDq8sa,CC_US_ES_IMG_APROBACION_PH_001.png,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_IMG_APROBACION_PH_001.png,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,image/png,png,IMG,871294,1080,1080,1:1,FEED,,18f786bb7b6ae2b94170c708d8d93960,2026-06-08T14:43:03.674Z,2026-06-13T16:39:06.746Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HuX-VyV36bTr_7vRfbtzg3nABD8mOvve,CC_US_ES_VID_URGENCIA_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_VID_URGENCIA_NV_001.mp4,TESTE_NOMENCLATURA_ARES_6_CRIATIVOS,video/mp4,mp4,VID,2230500,1080,1920,9:16,STORY,17266,8054e5ef9219374155a0b7d197b880ab,2026-06-08T14:50:13.859Z,2026-06-13T16:39:09.890Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,01 - Feed espanhol__DAHI_-XEf1Q.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - Feed espanhol__DAHI_-XEf1Q.png,cartao de credito,image/png,png,IMG,1147746,1080,1080,1:1,FEED,,27474d634b3645ad64d0c551db5d94bd,2026-06-08T14:42:34.595Z,2026-06-08T23:33:24.017Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,ES,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1c6DKo7dex53dxk_3HJr1XiF7DvIpYgaU,01 - IMG - FEED__DAG-42U8ZLY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 - IMG - FEED__DAG-42U8ZLY.png,cartao de credito,image/png,png,IMG,372726,1080,1080,1:1,FEED,,c49711f41ff8bb422c961da5885cb1d6,2026-06-08T14:42:38.529Z,2026-05-28T04:16:32.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QfGjMK4OfxPtDuP0si9h7hZlB3wbnbIh,01 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 INGLES - FD.png,cartao de credito,image/png,png,IMG,185787,1080,1080,1:1,FEED,,36eaf4919b8865ecf9ddce37a416b99e,2026-06-08T14:43:02.061Z,2026-05-27T18:48:33.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 Trabalho - Feed ingles__DAGfGtgkYJU.png,cartao de credito,image/png,png,IMG,112824,1080,1080,1:1,FEED,,fb642cf3affcdb65c82cc7fbbf0b7708,2026-06-08T14:43:37.155Z,2026-05-30T20:27:17.000Z,JOBS,medium,folder/name keyword,EMPREGO/JOB,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
15LvIiykgcRVvMj8msxCcs0EoZUfRewAX,1-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/1-feed.png,cartao de credito,image/png,png,IMG,466859,1080,1080,1:1,FEED,,5940845415b8e72212db5bd67b0e2138,2026-06-08T14:43:07.385Z,2026-05-27T21:46:45.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
17DURcLxK12gAO1FLoKlHg5zFvmfeQ4xz,02 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 INGLES - FD.png,cartao de credito,image/png,png,IMG,222861,1080,1080,1:1,FEED,,b4ae64d27285213a004cb26d09aec618,2026-06-08T14:43:02.117Z,2026-05-27T18:54:55.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,02 Trabalho - Feed ingles__DAGfGwnNh0w.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 Trabalho - Feed ingles__DAGfGwnNh0w.png,cartao de credito,image/png,png,IMG,2327559,1080,1080,1:1,FEED,,86ba361421904b991ad7e1806d0bc4df,2026-06-08T14:56:39.949Z,2026-05-30T20:26:29.000Z,JOBS,medium,folder/name keyword,EMPREGO/JOB,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1rpKghCSkeBeQU8MtnCk_oIF-ulaUJU4U,2-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/2-feed.png,cartao de credito,image/png,png,IMG,1221526,1080,1080,1:1,FEED,,2be2f83de43e15eb3de0d6b26b7a768a,2026-06-08T14:51:12.627Z,2026-05-27T21:48:25.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GBzRZsIzvRhXoAFvRQKrn3PZt0iudtwd,2.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/2.png,cartao de credito,image/png,png,IMG,358621,1080,1080,1:1,FEED,,f0d45b34bbde4452222e9edf538a4aa4,2026-05-29T01:17:26.000Z,2026-05-29T01:17:26.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HWbXURJXMmNCibQ9Ly3D8v-FEhPB_3QR,03 - Feed espanhol__DAHJAEeBVkY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed espanhol__DAHJAEeBVkY.png,cartao de credito,image/png,png,IMG,1167659,1080,1080,1:1,FEED,,b50ba42003cddd7bcdc1a5bb0fa5fd9d,2026-06-08T14:42:52.634Z,2026-06-08T23:33:23.867Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,ES,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1jGZeaRPQNpTPFqYTLTyN0KIwgqQVL22v,03 - Feed Ingles__DAGS_eXRxtg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed Ingles__DAGS_eXRxtg.png,cartao de credito,image/png,png,IMG,430884,1080,1080,1:1,FEED,,3aeb0df028c44713aa4ec502424ec700,2026-06-08T14:43:36.930Z,2026-05-30T20:35:04.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Y-7wszsm_CJ12MNal3GDiFYTa9FxW2wh,03 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 INGLES - FD.png,cartao de credito,image/png,png,IMG,225817,1080,1080,1:1,FEED,,d4f32ed0adbcae212c31e981fff5a501,2026-06-08T14:43:02.613Z,2026-05-27T19:00:42.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 Trabalho - Feed ingles__DAGfG0b0n7g.png,cartao de credito,image/png,png,IMG,218338,1080,1080,1:1,FEED,,c95849ec56b30755b48ac4c7fb3f8088,2026-06-08T14:43:36.897Z,2026-05-30T20:26:02.000Z,JOBS,medium,folder/name keyword,EMPREGO/JOB,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1MpnTPJUeHEzjoOwIOUjTdmvwhgbBKj7h,03-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03-criativonovo-feed.png,cartao de credito,image/png,png,IMG,505301,1080,1080,1:1,FEED,,052c6f59864aca207439b0f4969678be,2026-06-08T14:43:07.589Z,2026-05-27T18:34:55.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10qqrhWZfxy2mhoKys__8fWizWHF-X7Qg,3-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/3-feed.png,cartao de credito,image/png,png,IMG,408395,1080,1080,1:1,FEED,,13fc29afe07752fd9871d27930e12d64,2026-06-08T14:43:07.395Z,2026-05-27T21:46:21.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NBBgxwFXQXrIEdCZvcrKGe_pfJXMYIbX,3.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/3.png,cartao de credito,image/png,png,IMG,276515,1080,1080,1:1,FEED,,965733ff86d5d2fe6b2907d6f292d650,2026-05-29T01:17:26.000Z,2026-05-29T01:17:26.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Eg4hBKZvH4WFFs-H7sufJtVYVahOZdt_,04 - Feed Ingles__DAGS_fR-1sI.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 - Feed Ingles__DAGS_fR-1sI.png,cartao de credito,image/png,png,IMG,463129,1080,1080,1:1,FEED,,d27424ded79ebedc9a6f382e33b5a66e,2026-06-08T14:43:37.021Z,2026-05-30T02:03:28.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 Trabalho - Feed ingles__DAGfGuoEqjE.png,cartao de credito,image/png,png,IMG,1107778,1080,1080,1:1,FEED,,3d915cad920236512fc1f7382c192a26,2026-06-08T14:56:41.973Z,2026-05-30T20:25:28.000Z,JOBS,medium,folder/name keyword,EMPREGO/JOB,EN,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1kowIUy0SGtcZdophx6oQVcsFPRSZSo6E,4.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/4.png,cartao de credito,image/png,png,IMG,274023,1080,1080,1:1,FEED,,d3f2932907297dd76c70f1420d66a635,2026-05-29T01:17:26.000Z,2026-05-29T01:17:26.000Z,CC,medium,folder/name keyword,TARJETA/CARD/CREDITO,DE,medium,folder/name keyword,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
