idx,drive_id_sha256_12,old_name_expected,old_name_actual_before,new_name,parent_count,status,verified_name_after,error,auth_mode
6,7a860624d47f,11-feed.mp4,11-feed.mp4,CC_US_ES_VID_LIMITE_ALTO_NH_01.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_NH_01.mp4,,oauth_user
7,7398e79ee937,13- Feed Alemao.mp4,13- Feed Alemao.mp4,CC_DE_DE_VID_LIMITE_ALTO_NH_01.mp4,1,RENAMED,CC_DE_DE_VID_LIMITE_ALTO_NH_01.mp4,,oauth_user
8,19180e83f45c,14- Feed Alemao.mp4,14- Feed Alemao.mp4,CC_DE_DE_VID_LIMITE_ALTO_NH_02.mp4,1,RENAMED,CC_DE_DE_VID_LIMITE_ALTO_NH_02.mp4,,oauth_user
9,2729ac3223e5,15 - Feed Alemao.mp4,15 - Feed Alemao.mp4,CC_DE_DE_VID_LIMITE_ALTO_NH_03.mp4,1,RENAMED,CC_DE_DE_VID_LIMITE_ALTO_NH_03.mp4,,oauth_user
10,250d4da9eea2,18 - Feed Espanhol__DAGwuqjEPRs.mp4,18 - Feed Espanhol__DAGwuqjEPRs.mp4,CC_US_ES_VID_APROBACION_NH_01.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_01.mp4,,oauth_user
11,2e6ea54ff42e,19 - Feed ( espanhol ) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,19 - Feed ( espanhol ) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,CC_US_ES_VID_APROBACION_NH_02.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_02.mp4,,oauth_user
12,aa8746fd7daa,19 - Feed Espanhol__DAGwut1ulUQ.mp4,19 - Feed Espanhol__DAGwut1ulUQ.mp4,CC_US_ES_VID_LIMITE_ALTO_NH_02.mp4,1,RENAMED,CC_US_ES_VID_LIMITE_ALTO_NH_02.mp4,,oauth_user
13,fae75277bca4,19 - Feed espanhol__DAGS66Eeo8w.mp4,19 - Feed espanhol__DAGS66Eeo8w.mp4,CC_US_ES_VID_APROBACION_NH_03.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_03.mp4,,oauth_user
14,b557002e5817,20 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,20 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,CC_US_ES_VID_APROBACION_NH_04.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_04.mp4,,oauth_user
15,5dfb71b98fc9,20 - Feed Espanhol__DAGwupyTrWw.mp4,20 - Feed Espanhol__DAGwupyTrWw.mp4,CC_US_ES_VID_APROBACION_NH_05.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_05.mp4,,oauth_user
16,f8eaf8a3c00b,20 - Feed espanhol__DAGS7FPUE8Y.mp4,20 - Feed espanhol__DAGS7FPUE8Y.mp4,CC_US_ES_VID_APROBACION_NH_06.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_06.mp4,,oauth_user
17,aa879e645b4c,21 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,21 - Feed (espanhol) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,CC_US_ES_VID_APROBACION_NH_07.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_07.mp4,,oauth_user
18,dd2f4358bae5,21 - Feed espanhol__DAGS7GJeatc.mp4,21 - Feed espanhol__DAGS7GJeatc.mp4,CC_US_ES_VID_APROBACION_NH_08.mp4,1,RENAMED,CC_US_ES_VID_APROBACION_NH_08.mp4,,oauth_user
19,824b42b591cd,27 - Feed ingles__DAGWOqTJy7c.mp4,27 - Feed ingles__DAGWOqTJy7c.mp4,CC_US_EN_VID_LIMITE_ALTO_NH_01.mp4,1,RENAMED,CC_US_EN_VID_LIMITE_ALTO_NH_01.mp4,,oauth_user
20,2067eea08572,43 - Feed (ingles) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,43 - Feed (ingles) +2 RM GP 1080 px × 1080 px há 1 ano.mp4,CC_US_EN_VID_APROBACION_NH_01.mp4,1,RENAMED,CC_US_EN_VID_APROBACION_NH_01.mp4,,oauth_user
