idx,current_filename,relative_path,format,visible_lang_ocr,language_guess,country_proposed,country_reason,vertical,angle_proposed,angle_score,angle_hits,person,orientation_mgs,p_orient,variant,proposed_filename_base,confidence,needs_visual_audit,ocr_text_excerpt,sheet,notes,proposed_filename
1,CC_US_EN_VID_APROBACION_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_NV_001.mp4,VID,EN,EN,US,dollar + EN,CC,LIMITE_ALTO,4,LIMIT;LIMITE;LIMIT FROM;\$\s?\d,NO_PERSON,VERTICAL,NV,01,CC_US_EN_VID_LIMITE_ALTO_NV_001.mp4,high,yes,"ARD OR YOU LIMIT FROM: $6,550.00 TAKE ADVANTAGE OF THIS LIMITED TIME OFFER LIMIT FROM: $6,550.00 TAKE ADVANTAGE OF THIS LIMITED TIME OFFER LIMIT FROM: $6,550.00 TAKE ADVANTAGE OF THIS LIMITED TIME OFFER LIMIT FROM: $6,550.00 TAKE ADVANTAGE OF THIS LIMITED TIME OFFER ",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/cc6e00baedb20e5b_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_US_EN_VID_LIMITE_ALTO_NV_001.mp4
2,CC_US_EN_VID_APROBACION_PV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_PV_001.mp4,VID,EN,EN,US,English operation fallback,CC,APROBACION,1,APPROV,NO_PERSON,VERTICAL,NV,01,CC_US_EN_VID_APROBACION_NV_001.mp4,high,yes,"CREDIT CARD APPROVED AVAILABLE LIMIT 9) USS:10,765.00 (RX 5 OR YA CREDIT CARD APPROVED AVAILABLE LIMIT 9) USS:10,765.00 (RX 5 OR YA CREDIT CARD APPROVED AVAILABLE LIMIT 9) USS:10,765.00 (RX 5 OR YA CREDIT CARD APPROVED AVAILABLE LIMIT 9) USS:10,765.00 (RX 5 OR YA CREDIT CARD APPROVED AVAILABLE LIMIT 9) USS:10,765.00 (RX 5 OR YA ",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/c90b018f0d2307b3_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_US_EN_VID_APROBACION_NV_001.mp4
3,CC_US_ES_VID_URGENCIA_NV_001.mp4,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_VID_URGENCIA_NV_001.mp4,VID,ES,ES,US,Spanish operation fallback,CC,UNKNOWN,0,,NO_PERSON,VERTICAL,NV,01,CC_US_ES_VID_UNKNOWN_NV_001.mp4,low,yes,CC MW 08:27 ! OPORTUNIDAD IMPERDIBLE! NN: Y SY. SE AGORA 30 . OE OLE 1 MIN O MISE A N | SSE 5 MIN (0) NOTIFICAGAO S BG. A BE N PE Y” CC MW 08:27 ! OPORTUNIDAD IMPERDIBLE! MN: Y SY. SE AGORA EO . OE OLE 1 MIN O MISE A N | SSE 5 MIN (0) NOTIFICAGAO S BG. A BE N PE Y” CC MW 08:27 ! OPORTUNIDAD IMPERDIBLE! NN: Y SY. SE AGORA 30 . OE OLE 1 MIN O MISE A N | SSE 5 MIN (0) NOTIFICAGAO S BG. A BE N PE Y” CC MW 08:27 ! OPORTUNIDAD IMPERDIBLE! MN: Y SY. SE AGORA EO . E 0/8 1 MIN O MISE A N | SSE 5 MIN (0) ,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/b4bf1c0ca593028b_timeline.jpg,angle not detected by OCR | person default NO_PERSON requires visual audit before Drive rename,CC_US_ES_VID_UNKNOWN_NV_001.mp4
4,06 - Feed Alemao__DAGxfV0gKOM.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/06 - Feed Alemao__DAGxfV0gKOM.mp4,VID,DE,DE,DE,language fallback,CC,UNKNOWN,0,,NO_PERSON,HORIZONTAL,NH,01,CC_DE_DE_VID_UNKNOWN_NH_001.mp4,low,yes,"GENEHMIGT KREDITKARTE SOFORT GENEHMIGT EMPFOHLEN 9.000 € KEINE SCHUFA-PRUFUNG JETZT KARTE BEANTRAGEN NA NS GENEHMIGT KREDITKARTE SOFORT GENEHMIGT EMPFOHLEN 9.000 € KEINE SCHUFA-PRUFUNG JETZT KARTE BEANTRAGEN Y, NS GENEHMIGT KREDITKARTE SOFORT GENEHMIGT EMPFOHLEN 9.000 € KEINE SCHUFA-PRUFUNG JETZT KARTE BEANTRAGEN NA NS GENEHMIGT KREDITKARTE SOFORT GENEHMIGT EMPFOHLEN 9.000 € KEINE SCHUFA-PRUFUNG JETZT KARTE BEANTRAGEN NA NS GENEHMIGT KREDITKARTE SOFORT GENEHMIGT EMPFOHLEN 9.000 € KEINE SCHUFA-PR",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/38a89228a1fc774c_timeline.jpg,angle not detected by OCR | person default NO_PERSON requires visual audit before Drive rename,CC_DE_DE_VID_UNKNOWN_NH_001.mp4
5,06 - feed alemao__DAGxfYtsqy4.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/06 - feed alemao__DAGxfYtsqy4.mp4,VID,DE,DE,DE,language fallback,CC,UNKNOWN,0,,NO_PERSON,HORIZONTAL,NH,02,CC_DE_DE_VID_UNKNOWN_NH_001.mp4,low,yes,GENEHMIGT KREDITKARTE SOFORT GENEHM GT EMPFOHL 9.000€ 10.000 € KEINE SCHU A-PRUFUNG JETZT KARTE BEANTRAGEN GENEHMIGT KREDITKARTE SOFORT GENEHM GT EMPFOHL 9.000€ 10.000 € KEINE SCHU A-PRUFUNG JETZT KARTE BEANTRAGEN GENEHMIGT KREDITKARTE SOFORT GENEHM GT EMPFOHL 9.000€ 10.000 € KEINE SCHU A-PRUFUNG JETZT KARTE BEANTRAGEN GENEHMIGT KREDITKARTE SOFORT GENEHM GT EMPFOHL 9.000€ 10.000 € KEINE SCHU A-PRUFUNG JETZT KARTE BEANTRAGEN GENEHMIGT KREDITKARTE SOFORT GENEHM GT EMPFOHL 9.000€ 10.000 € KEINE SCH,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/65403262daeb71c1_timeline.jpg,angle not detected by OCR | person default NO_PERSON requires visual audit before Drive rename,CC_DE_DE_VID_UNKNOWN_NH_002.mp4
6,11-feed.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/11-feed.mp4,VID,ES,DE,US,Spanish operation fallback,CC,LIMITE_ALTO,2,LIMIT;LIMITE,NO_PERSON,HORIZONTAL,NH,01,CC_US_ES_VID_LIMITE_ALTO_NH_001.mp4,high,yes,NUEVA TARJETA DE CREDITO A VISA GOLD CREDITO STS ‘O00 1234 S5B18 9010 WR 12/24 L ARIAS VISA CREDITO 4000 123% SB18 9010 C. ARIAS VISA ELIGE TU LIMITE: CREDITO 4900 123% SB18 9010 CC. ARIAS VISA ELIGE TU LIMITE: CREDITO 4900 123% SB18 9010 CC. ARIAS VISA ELIGE TU LIMITE: CREDITO 4900 123% SB18 9010 CC. ARIAS VISA ELIGE TU LIMITE: ,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/7a860624d47f7a22_timeline.jpg,lang corrected from DE by OCR | person default NO_PERSON requires visual audit before Drive rename,CC_US_ES_VID_LIMITE_ALTO_NH_001.mp4
7,13- Feed Alemao.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/13- Feed Alemao.mp4,VID,DE,DE,DE,language fallback,CC,LIMITE_ALTO,2,LIMIT;\$\s?\d,NO_PERSON,HORIZONTAL,NH,01,CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4,high,yes,"N AE E NS NS A 2 ES AN — SO HE E <> WE DE EN OTH NAL GAR ML 7 RS AE ER EN RER = DI 4 — — — = SS AS: OE SS A TIE AS ESE A A S SEAR NER U IA RN Y A SE XS = = SS EN ATS N +A E I SI > SA AS AE DE Y > EN W N SR A ES AL ES X LO GI EE A CS SS AF AS SS VE OS S $3 E Y EHMI IE A AZ WARS WAH ER REN IS A EE M AX E A PO E IA VA, DES 10 IR PR ALTEN Y LE 4 U 210 HE O = Y HN IIL DI A ZE MEE N ER AI EY, FATED > = SY EL KR OF GENEHMIG Y Y X IHR NEUES LIMIT: X X KLICKEN SIE UNTEN. » NR | UND JETZT ANFORDERN ME. E ",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/7398e79ee9379d57_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4
8,14- Feed Alemao.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/14- Feed Alemao.mp4,VID,DE,DE,DE,language fallback,CC,LIMITE_ALTO,1,LIMIT,NO_PERSON,HORIZONTAL,NH,02,CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4,high,yes,RE A IE VISA ES »)) 1234 5678 9101 1121 GULTIG BIS 00/00 | MAX MUSTERMANN NN KREDITKARTE GENEHMIGT 2 VISA | E »)) 1234 5678 9101 1121 ULTIG BIS /00 MAX MUSTERMANN MAZ KREDITKARTE GENEHMIGT IHRNEUES LIMIT: KLICKEN SIE UNTEN. 23 [ VISA ES »)) 1234 5678 9101 1121 00/00 MAX MUSTERMANN > % LO Y » X KREDI T IHRNEUES LIMIT: GENEHMIGTY | KLICKEN SIE UNTEN. 23 [ VISA ES ») 1234 5678 9101 1121 00/00 MAX MUSTERMANN >> $ O Y \ : KREDI T IHRNEUES LIMIT: GENEHMIGTY | KLICKEN SIE UNTEN | 2 VISA | E »)) 1234 56,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/19180e83f45cc820_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_DE_DE_VID_LIMITE_ALTO_NH_002.mp4
9,15 - Feed Alemao.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/15 - Feed Alemao.mp4,VID,DE,DE,DE,language fallback,CC,LIMITE_ALTO,1,LIMIT,NO_PERSON,HORIZONTAL,NH,03,CC_DE_DE_VID_LIMITE_ALTO_NH_001.mp4,high,yes,"R VISA ES 2) LEZL DDT 9101 1121 GULTIG BIS 00/00 MAX MUSTERMANN Y O KREDITKARTE IHR-NEUES LIMIT: 11,398"" VISA ES 2) IAS 9101 1121 | GULTIG BIS 00/00 MAX MUSTERMANN A BE KREDITKARTE IHRNEUES LIMIT: KLICKEN SIE UNTEN 11,398"" VISA ES 2) MAY OO 9101 1121 GULTIG BIS 00/00 MAX MUSTERMANN A SER KREDITKARTE IHR NEUES LIMIT: KLICKEN SIE UNTEN 11,398"" VISA ES 2) IAS 9101 1121 GULTIG BIS 00/00 MAX MUSTERMANN 9: SER KREDITKARTE IHR NEUES LIMIT: KLICKEN SIE UNTEN 11,398"" VISA ES 2) IAS 9101 1121 | GULTIG BIS",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/2729ac3223e57329_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_DE_DE_VID_LIMITE_ALTO_NH_003.mp4
10,18 - Feed Espanhol__DAGwuqjEPRs.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/18 - Feed Espanhol__DAGwuqjEPRs.mp4,VID,ES,ES,US,Spanish operation fallback,CC,APROBACION,2,APROB;APROBAD,NO_PERSON,HORIZONTAL,NH,01,CC_US_ES_VID_APROBACION_NH_001.mp4,high,yes,"FI A TARJETA DE CREDITO HAZ CLIC EN EL BOTON Y ELIGE TU LIMITE $ 3,000 $ 7,000 N DE $ 10,000 + + TARJETA DE CREDITO HAZ CLIC EN EL BOTON Y ELIGE TU LIMITE $ 3,000 $ 7,000 N DE $ 10,000 + + A TARJETA DE CREDITO APROBADA HAZ CLIC EN EL BOTON Y ELIGE TU LIMITE $ 3,000 $ 7,000 N DR $ 10,000 + + A TARJETA DE CREDITO HAZ CLIC EN EL BOTON Y ELIGE TU LIMITE $ 3,000 $ 7,000 N DR $ 10,000 + IT A TARJETA DE CREDITO HAZ CLIC EN EL BOTON Y ELIGE TU LIMITE $ 3,000 $ 7,000 N $ 10,000 GY ",/root/mgs-agent/data/ares/creative-inventory/video-frame-samples-full/20260613T215836Z/sheets/250d4da9eea2372c_timeline.jpg,person default NO_PERSON requires visual audit before Drive rename,CC_US_ES_VID_APROBACION_NH_001.mp4
