group_id,method,group_size,suggested_action,drive_id,filename,size,duration_ms,width,height,md5,pixel_hash,thumb_path
VG0001,VISUAL_META,3,MOVE_DUPLICATE_TO_VIDEOS2,16S4w6gXqm0ZY7ebTDxM78F3Tujvlo79Y,72 - Story (Ingles) +2 RM GP Story há 7 meses.mp4,990997,10999,1080,1920,929a2d734b6cffc792b2c2438a155b5b,d74b62b87ff8df24c4f8173c994b21ffe98d74a91896452fdb2b86e6fee828e8,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/5667205f60351ee0.jpg
VG0001,VISUAL_META,3,MOVE_DUPLICATE_TO_VIDEOS2,1N1mRtwCOAEJkZuYSBZxquXJ0A8DHrxPd,72 - Story (Ingles)__DAG1zqifMT4.mp4,990997,10999,1080,1920,7c7d0e95c355e0ecdde460fd3431bb23,d74b62b87ff8df24c4f8173c994b21ffe98d74a91896452fdb2b86e6fee828e8,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/241aec6c93cb24b5.jpg
VG0001,VISUAL_META,3,KEEP,1hJ1GSyHeCw41ktGwFWphGa_8tDsoBD0p,72 - Story Ingles__DAG1uaAVpXY.mp4,990997,10999,1080,1920,f0331f47a1fefef558d6a594c981cf97,d74b62b87ff8df24c4f8173c994b21ffe98d74a91896452fdb2b86e6fee828e8,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/f68561480b6a255c.jpg
VG0002,VISUAL_META,3,MOVE_DUPLICATE_TO_VIDEOS2,1VRsfiBwzISu7eNXARxlUcdOQjIDq2qjM,75 - Story (Ingles) +2 RM GP Story há 7 meses.mp4,773677,10999,1080,1920,77cc8cd352a979ba0f22ae81f4e26e1e,d2a21c022b6c7840780688780216aa8ec28fd82293373ea785b2646301bb628a,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/c82b2e49e1fec40d.jpg
VG0002,VISUAL_META,3,KEEP,1lx3el8gftIjfhbcZPWoXV1gNF2Tmh1Tl,75 - Story (Ingles)__DAG1zpsqCIY.mp4,773677,10999,1080,1920,b343e818140a9bfb41209e48812a5bb5,d2a21c022b6c7840780688780216aa8ec28fd82293373ea785b2646301bb628a,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/3d056bdbb052269a.jpg
VG0002,VISUAL_META,3,MOVE_DUPLICATE_TO_VIDEOS2,13npjGt7yBvkSqZ53454N-5-Lg5nx8jJf,Copy of 75 - Story (Ingles) +2 RM GP Story há 7 meses.mp4,773677,10999,1080,1920,debd7d46036cec21b14c5a530baf96c4,d2a21c022b6c7840780688780216aa8ec28fd82293373ea785b2646301bb628a,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/282810845c0e7348.jpg
VG0003,VISUAL_META,2,MOVE_DUPLICATE_TO_VIDEOS2,1cwSlRXfUWVK5i82Xjtdb4-uHSBq1qiw0,01 - FILME - Story (Espanhol) +2 RM GP Story há 16 dias.mp4,3984626,5033,1080,1920,f930c090e25e3c1affda150f62f1463b,b41fa439dc37bfe214823fc229d1f4e28d74cc2ddb4db855fe956b0037ad72ae,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/af97f6f59faee61a.jpg
VG0003,VISUAL_META,2,KEEP,10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,3984626,5033,1080,1920,3a67ad3453b0464637cf1afa30e30b19,b41fa439dc37bfe214823fc229d1f4e28d74cc2ddb4db855fe956b0037ad72ae,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/8891191badd1da58.jpg
VG0004,VISUAL_META,2,MOVE_DUPLICATE_TO_VIDEOS2,1yn1-dUeTLVQG0_j7yp4ZGXnbhFe5B2bx,01 - Story (espanhol) +2 RM GP Story há 18 dias.mp4,1380031,14033,1080,1920,962195f2d569869b4d738dae76cae21e,b09ae835534c54d0df3dc501132d876fc78d8046c21f7da26d06d213aa861533,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/7c0a6cf3ce0ea055.jpg
VG0004,VISUAL_META,2,KEEP,1Up1Lt6oPuLrPJ6hlijsp62Ehl97xkbvc,01 - Story (espanhol)__DAGyfA9POAU.mp4,1380031,14033,1080,1920,51113dd1d3f810cfedea866e9fb55284,b09ae835534c54d0df3dc501132d876fc78d8046c21f7da26d06d213aa861533,/root/mgs-agent/data/ares/creative-inventory/video-duplicate-analysis-20260609T152754Z/thumbs/da21c8298dcf15a4.jpg
