idx,original_filename,relative_path,language_guess,placement_fit,duration_seconds,sheet
1,11-feed.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/11-feed.mp4,DE,FEED,14.0,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/7a860624d47f7a22_timeline.jpg
2,18 - Feed Espanhol__DAGwuqjEPRs.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/18 - Feed Espanhol__DAGwuqjEPRs.mp4,ES,FEED,12.041,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/250d4da9eea2372c_timeline.jpg
3,19 - Feed Espanhol__DAGwut1ulUQ.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/19 - Feed Espanhol__DAGwut1ulUQ.mp4,ES,FEED,12.041,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/aa8746fd7daa1516_timeline.jpg
4,19 - Feed espanhol__DAGS66Eeo8w.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/19 - Feed espanhol__DAGS66Eeo8w.mp4,ES,FEED,11.0,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/fae75277bca4fda1_timeline.jpg
5,20 - Feed Espanhol__DAGwupyTrWw.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/20 - Feed Espanhol__DAGwupyTrWw.mp4,ES,FEED,12.041,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/5dfb71b98fc9740b_timeline.jpg
6,27 - Feed ingles__DAGWOqTJy7c.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/27 - Feed ingles__DAGWOqTJy7c.mp4,EN,FEED,14.0,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/824b42b591cdf292_timeline.jpg
7,43 - Feed ingles__DAGdoMoQt10.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/43 - Feed ingles__DAGdoMoQt10.mp4,EN,FEED,17.458005,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/3c3bb4c7d1568972_timeline.jpg
8,49- Feed ingles__DAGYMSB-kxI.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/49- Feed ingles__DAGYMSB-kxI.mp4,EN,FEED,13.225011,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/7cfd5c08abf9994f_timeline.jpg
9,84- Feed ingles__DAGhXkDluJQ.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/84- Feed ingles__DAGhXkDluJQ.mp4,EN,FEED,9.0,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/df6e30215485c130_timeline.jpg
10,alemao-03-FEED.mp4,UPLOAD_CANVAS/cartao de credito/videos/feed/alemao-03-FEED.mp4,DE,FEED,49.12,/root/mgs-agent/data/ares/creative-inventory/video-frame-samples/20260613T212315Z/sheets/09dc5fef3a556a5e_timeline.jpg
