index,status,source_drive_id,source_filename,source_parent_before,destination_drive_id,destination_filename,source_sha256,clean_sha256,readback_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,angle,claim,person,p_orient,variant,perceptual_fingerprint,webViewLink
1,01_READY,1iSz86FBxxVfvbApxHfyZEN2MPobcX2dZ,1_12 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1Av6uGo65vMTgNttbFdxx0xNcCuG7MDBg,CC_US_EN_VID_AVAILABLE_LIMIT_PV_034.mp4,1287d2634791e9f881ab2aaa73a6e36eb3aabf8c865810a809dc3f758de1561f,1781df22c651b7047576a96eef595bc2233ef2a6c8282a26280f1dd6beb84541,1781df22c651b7047576a96eef595bc2233ef2a6c8282a26280f1dd6beb84541,577e92f1a9419056141c4bbab208d098,4673503,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,034,dhash64:33e3a3c70645c708/b1e1e36612010d20/33e3e3c7064d0f08,https://drive.google.com/file/d/1Av6uGo65vMTgNttbFdxx0xNcCuG7MDBg/view?usp=drivesdk
2,01_READY,19w9C_RrqQQhtm4_ytFvXsbbxazytDtwL,2_04 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,14zTPVhUUJReHGXNyLGULUc3swBvZQmEG,CC_US_EN_VID_AVAILABLE_LIMIT_PV_035.mp4,fdf2b7695490ff74ad29676c04eb8364390774888c27589ac51bd3e0f1cf5435,c3be0ecf81e744d66c547b87f57b91a3b463506a1ec639d0940bfc463490517e,c3be0ecf81e744d66c547b87f57b91a3b463506a1ec639d0940bfc463490517e,1eb0dfdaf3c4500a3e3bf99adf275b73,5379917,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,035,dhash64:c3e6e6a662041b01/cbc6e6a663041b05/8366e6a663061b23,https://drive.google.com/file/d/14zTPVhUUJReHGXNyLGULUc3swBvZQmEG/view?usp=drivesdk
3,01_READY,11bL5BxX3MeqLIbhKvjxW_q6KcSDOxnB_,3_15 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1ECsJ0RTFKcWyLDK0C5Sbl51dswGDbd5V,CC_US_EN_VID_AVAILABLE_LIMIT_PV_036.mp4,ab32b92c13f325f5bbe8245847b50a069b91e6ddfd6bc329563b73c8bc1bcde0,9ee770f7f2709cf7807784427751d10bcf3f3c2eb8826d42ac46f9598f3ba18b,9ee770f7f2709cf7807784427751d10bcf3f3c2eb8826d42ac46f9598f3ba18b,02c1a73b9a76696345b478eb442695b2,5025324,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,036,dhash64:c4c6ce4e2e140c1c/c4c6c64a6a148c1c/c4c4c64e46140c1c,https://drive.google.com/file/d/1ECsJ0RTFKcWyLDK0C5Sbl51dswGDbd5V/view?usp=drivesdk
4,01_READY,1QhuvHiYS-tN8gsxl_EMB8hkO2YFsj6w-,4_027 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1d15n_KCd-0qy1tQ9NcmDjug5ZzESjF7h,CC_US_EN_VID_AVAILABLE_LIMIT_PV_037.mp4,56b634e18975057a94234c52e1499571434e9f493305b799240fe548782f321a,5d12c54d7465e154909ed8a1309bfc0b9fb9355199092824a8467ae2b31627ab,5d12c54d7465e154909ed8a1309bfc0b9fb9355199092824a8467ae2b31627ab,2e26ae91d002d35b9f08e100cb4fb3dc,5281229,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,037,dhash64:eec2c6c522058b09/e7c3c6c562878f41/f2e2c6cd62878b01,https://drive.google.com/file/d/1d15n_KCd-0qy1tQ9NcmDjug5ZzESjF7h/view?usp=drivesdk
5,01_READY,1_7un3CF56lN5B5A0jBFsBFr0VNCp4PyI,5_12 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1uvuSlRtAgTgx3GroXmzGSsC7_tP31XT0,CC_US_EN_VID_AVAILABLE_LIMIT_PV_038.mp4,513bbc7b8fe0002decbf1c07b56d8a0941cc6fb7ed561284206d6832e6c04a29,0a806a69e6da71234f7995449556e4b6bf5040a199c00fe803fdc1bcef27e9ac,0a806a69e6da71234f7995449556e4b6bf5040a199c00fe803fdc1bcef27e9ac,1ba63ef9f8b24c32d8971a94cb555e89,4879380,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,038,dhash64:9492662574060302/9486666534060102/94c6666524040302,https://drive.google.com/file/d/1uvuSlRtAgTgx3GroXmzGSsC7_tP31XT0/view?usp=drivesdk
6,01_READY,1mMgph30i4SNiM3iVGojWyi_5dbtwtkyS,6_10 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1XKgWLdZjANmM5T4jqagc1SXdR5y-tHJC,CC_US_EN_VID_AVAILABLE_LIMIT_PV_039.mp4,4489c49b401e3c5a57ad81f92c24eb2a3429917eeb21c62d35ab48410eb3473d,b165e6b389091bf843cba9a25ee7f2afdc3f6a8ef41f31c6ba744b2e6ee919cf,b165e6b389091bf843cba9a25ee7f2afdc3f6a8ef41f31c6ba744b2e6ee919cf,cd21c1cac71db291d2cb60d35e8e9ed6,4383793,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,039,dhash64:9389dc4c64c6e3a3/99acce6e66c6b6b5/19ac8cec64c6e6b5,https://drive.google.com/file/d/1XKgWLdZjANmM5T4jqagc1SXdR5y-tHJC/view?usp=drivesdk
7,01_READY,1z0K4O0bXoTD0TkntJBby0gLp3dezqG8W,7_11 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1ZnjytLkt2jR4p1JARLna10EGwpuGkSh3,CC_US_EN_VID_AVAILABLE_LIMIT_PV_040.mp4,9c864959e63fb31cebb364779508be90d2f5f1b3a5d8c6ae50061e05df160edb,560ebbc51592ef5b04dc7a6df31c66d268e00be85a2661ac870f088c063cc281,560ebbc51592ef5b04dc7a6df31c66d268e00be85a2661ac870f088c063cc281,b7a236755be72d005f010a21e779ec28,5898699,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,040,dhash64:e1c0e6c70c4cc200/64646667048ecc22/60c066e772068632,https://drive.google.com/file/d/1ZnjytLkt2jR4p1JARLna10EGwpuGkSh3/view?usp=drivesdk
8,01_READY,1Ys73l5NY7BfNzn6w-4s1mReDIkkcklNi,8_09 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1VSftcyv34WE4iiWmo5rDpC7gKm3GjJ29,CC_US_EN_VID_AVAILABLE_LIMIT_PV_041.mp4,bf88ab50b7be3a57db2fc7bbe6988c296e729d4880cf98dd5573e9f2c7308624,c58212f721bd4915c3a8b29ad54d011498dc2a206e83e94863bc3a675d4f050d,c58212f721bd4915c3a8b29ad54d011498dc2a206e83e94863bc3a675d4f050d,857769b473a6918a459b131f87aa270d,4224451,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,041,dhash64:83a98c2c2d0cb28f/83a98c2c250cb587/83a99c2c650cb787,https://drive.google.com/file/d/1VSftcyv34WE4iiWmo5rDpC7gKm3GjJ29/view?usp=drivesdk
9,01_READY,1P9DcchjAXMet5qm4niP_uJuRVx_xWc3H,9_16 - Story ( ingles) .mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1m2VuzgC7m9OA1bWQUgMEiQgdVtjslLhY,CC_US_EN_VID_AVAILABLE_LIMIT_PV_042.mp4,c0b48df6126d9ec4e33b7ac77cc81af3ce597d113f1912994f54d5d47a28feac,a3d854926f2b479aec40eb38c8eccecb4751f3f8c58d2628c24b84296745273e,a3d854926f2b479aec40eb38c8eccecb4751f3f8c58d2628c24b84296745273e,ec19e20b5312f5313e65abacf1f8544a,5620670,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $12,760",PERSON,PV,042,dhash64:b5a565654c460704/cae6a6642a920704/cae6a6640a920704,https://drive.google.com/file/d/1m2VuzgC7m9OA1bWQUgMEiQgdVtjslLhY/view?usp=drivesdk
10,01_READY,1pv3ldzOGJgfJF9pkVcjj7WWIPQAhE9Iu,10_límite disponible.mp4,1whdg91cMKS0To33BVAyJV6PS-1ugp-b4,1VR1FaXCyqd8LmbB28SXK7ap7RfpLyYm3,CC_US_EN_VID_AVAILABLE_LIMIT_PV_043.mp4,09af7968835d9e3a9cb1a041013d0d718098e7b3e1fe9495249d6527ea0e501b,5ad0859efa3f84c590d0bfcc48de3ddc0a2c41b7f105dc4abec98f1a249d2adb,5ad0859efa3f84c590d0bfcc48de3ddc0a2c41b7f105dc4abec98f1a249d2adb,df0ccbc83345ce2d1bd517e5df8b1ecd,4862456,True,True,True,AVAILABLE_LIMIT,"AVAILABLE LIMIT $14,760",PERSON,PV,043,dhash64:506024e6c7043030/786024c685117030/2e22a62785806430,https://drive.google.com/file/d/1VR1FaXCyqd8LmbB28SXK7ap7RfpLyYm3/view?usp=drivesdk
