index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,1aQcjH8EidXjtNZLYTrbqwN0tWpdllX5-,1_212 - Story Financiamento (Brasil).mp4,12tkz7gDwVbQ4mG9p_AxzkZ4-zNlyqsyT,CAR_BR_BR_VID_SEM_ENTRADA_PV_054.mp4,fe9521585407b7570c87e625212b59b9c7e25485112449bfd3f73cfc9dd28c98,296688f6dfc33312d9ef71c49dcc1cc08676a18cbf97b0a9cd85c5be86842bc9,aebedb238dfd55428bdf7dbb7286fe60,7914360,True,True,True,PERSON,PV,SEM_ENTRADA,054,MAIS DE 10 MIL CARROS; FACILITAMOS PRA VOCÊ; SEM ENTRADA; PARCELAS DE ATÉ R$499,dhash64:9833249442689663/9833ac4d40c6a663/2163284642243737,https://drive.google.com/file/d/12tkz7gDwVbQ4mG9p_AxzkZ4-zNlyqsyT/view?usp=drivesdk
2,01_READY,10sedkD3DeIYtvttgQmPLY9tXhcUsV3oZ,2_213 - Story Financiamento (Brasil).mp4,13klvNXAOZb65sgqHZTrq4QUofmxodQLB,CAR_BR_BR_VID_SEM_ENTRADA_PV_055.mp4,bba46f246ba13213ae70c1c2b6822ffcc669a9bd0e1f763fdc2950a21b2ad515,fd71aafe3532b5692bb8283b4722e46d7eb91b77030f1db3f07e0e0c1aa2d108,13bec1a692df97f8afdbd4111fd7265e,8231166,True,True,True,PERSON,PV,SEM_ENTRADA,055,MAIS DE 10 MIL CARROS; FACILITAMOS PRA VOCÊ; SEM ENTRADA; PARCELAS DE ATÉ R$499,dhash64:9133e9c6434cc8c2/9233e0464144c5c3/68e4c42480c8ccdf,https://drive.google.com/file/d/13klvNXAOZb65sgqHZTrq4QUofmxodQLB/view?usp=drivesdk
3,01_READY,17CxEwwKeeG_jcdCw-Wktpm0APZEBz-wx,3_217 - Story Financiamento (Brasil).mp4,10iR4eyWs9UZcE6wQd2ipHECO0CvZtJrq,CAR_BR_BR_VID_SEM_ENTRADA_NV_051.mp4,b13eeef8d9817cfede62852189c86db035ad0597a074521cfe6e17031d16e626,ce6b39b09749879062bea26a365eea7881f596e3b69f0cd41a44d0d7fcbf7455,5752e3fbfc51b3a5c724a81438bdd132,8560249,True,True,True,NO_PERSON,NV,SEM_ENTRADA,051,"R$299/MÊS; SIM, SEM ENTRADA; PARCELAS DE R$299/MÊS; REVISADO",dhash64:984c8f3dea1a98c0/930a2a9333604106/090b6086de9c0969,https://drive.google.com/file/d/10iR4eyWs9UZcE6wQd2ipHECO0CvZtJrq/view?usp=drivesdk
4,01_READY,1IzTGwiB6PQC-biksxxKk_QNbGvbL4abn,4_223 - Story Financiamento (Brasil).mp4,1L68YmtRHwNXX-AM4jdawh-Buoif0VOc8,CAR_BR_BR_VID_SEM_ENTRADA_NV_052.mp4,7fec335b70fcc862f428f127eea43688de009fdfd09b52fcae1cd050b1e0a11b,d3367198ecdd9e5cbe4611e0a1fdc90de213885af0ce39105f8fd3c19217f581,71b77b672d2bd06e676cd451f40ccad1,8599988,True,True,True,NO_PERSON,NV,SEM_ENTRADA,052,GOL EM OFERTA; ZERO DE ENTRADA; R$299/MÊS; CARRO REVISADO,dhash64:31cdce260e80e125/023b27ecb3b26081/18274c7811f10900,https://drive.google.com/file/d/1L68YmtRHwNXX-AM4jdawh-Buoif0VOc8/view?usp=drivesdk
5,01_READY,1NV6oBpYVVAkgWXFV4wlxHxzQnjSpYSRa,5_222 - Story Financiamento (Brasil).mp4,1odCepm9KjcBkQ9V6SoKm382pTyhIOpin,CAR_BR_BR_VID_SEM_ENTRADA_NV_053.mp4,589d87b1bd36a29e2ccc9f5b62d495de15c826c1edb05831bf1d9e0c97061bc8,381186583ff3b180556c73412fcbcbdd6499e6b3cfeb05421bb1f07e07e4f8b0,4b3b1e10908ebb1e518f4e8fa38f9453,8759989,True,True,True,NO_PERSON,NV,SEM_ENTRADA,053,GOL EM OFERTA; ZERO DE ENTRADA; R$299/MÊS; CARRO REVISADO,dhash64:93911d1f86f07e8e/13f7f4ff5b3bb0c0/f3e980c1971f78e1,https://drive.google.com/file/d/1odCepm9KjcBkQ9V6SoKm382pTyhIOpin/view?usp=drivesdk
6,01_READY,1KgNi6qTR_b8pSekYAPcYfbOmLEDbebaP,6_220 - Story Financiamento (Brasil).mp4,1UMToaV9IR1UdN-jHlZRCJkrk5w8P_6YU,CAR_BR_BR_VID_SEM_ENTRADA_NV_054.mp4,63cb916ff1b2c166043cf0f54c0634b9c212b710ff5be8f4237cce0ef96b0cea,902b2df53d8bd5c3880eb7906f9adea7b16383bfc29e088b193c30b4dd1512f9,02ec0c4fb2ce402652326b955bd8785d,8654584,True,True,True,NO_PERSON,NV,SEM_ENTRADA,054,"R$299/MÊS; SIM, SEM ENTRADA; PARCELAS DE R$299/MÊS; REVISADO",dhash64:3d747cefa66c20c3/b61626f967c08024/cfcd5e039f30c10c,https://drive.google.com/file/d/1UMToaV9IR1UdN-jHlZRCJkrk5w8P_6YU/view?usp=drivesdk
7,01_READY,1UDaqlN27NQHXoEiBQYweTZ9CyylWhNOO,7_219 - Story Financiamento (Brasil).mp4,19AydBfN_IVKueZLq1vtJv3jQ8-2g0LEr,CAR_BR_BR_VID_SEM_ENTRADA_NV_055.mp4,6e1191d7f541c2ab6076a0bebe7ec276f4500f3cbeab3ef241b27a28318f8986,d8c27243df5342c1f938d7c4e455941abef1b78c068fa05530c971ef61f1015b,858f64f67b730859d3d5d1ce033fab92,8682061,True,True,True,NO_PERSON,NV,SEM_ENTRADA,055,"R$299/MÊS; SIM, SEM ENTRADA; PARCELAS DE R$299/MÊS; REVISADO PRONTO PRA ENTREGA",dhash64:4ceca907b1a7e4c8/3531e2014a6d3cce/34b3e13c19985f1f,https://drive.google.com/file/d/19AydBfN_IVKueZLq1vtJv3jQ8-2g0LEr/view?usp=drivesdk
8,01_READY,14kJl8IiCYQb_QgQZTCTLoxP2-aLTYUKG,8_211 - Story Financiamento (Brasil).mp4,1t65hTa1BDxUNi1jRVXJBSXuTedi6uZXg,CAR_BR_BR_VID_SEM_ENTRADA_PV_056.mp4,8ba74844a26cbfa2ac027a06a75756aa7b2289aef437771bf337dc52ae4a736d,e15c9efc43e3ea013b1053b3a99f0b8bf61be410bf475f440b959569567424a0,705383efe6826fdaae1aa76ff5cc07f3,9627353,True,True,True,PERSON,PV,SEM_ENTRADA,056,MAIS DE 10 MIL CARROS; FACILITAMOS PRA VOCÊ; SEM ENTRADA; PARCELAS DE ATÉ R$499,dhash64:f9f0b4716166f3f3/fce4b47369e0f7d3/f9f333916263f7db,https://drive.google.com/file/d/1t65hTa1BDxUNi1jRVXJBSXuTedi6uZXg/view?usp=drivesdk
9,01_READY,1oFPU7E6ViN9gghVkuTnFt8XnJ7Yep-nk,9_218 - Story Financiamento (Brasil).mp4,1legr38Ls6DWqKkS1D_S2o94GfbQW0gVv,CAR_BR_BR_VID_SEM_ENTRADA_NV_056.mp4,f2cfbcb64242603d0e239813df24d5f16a04f7185a81f884a47157c27f0035bc,3fedcc018c10d58ba1005dfbd4e4b570ebcff11b88aae33c4349e74df9b431ee,252771ffcb439f01ecf2b3fe6c3263ec,8557594,True,True,True,NO_PERSON,NV,SEM_ENTRADA,056,HONDA CIVIC TOURING; OFERTA LIBERADA; SEM ENTRADA; R$299/MÊS; REVISADO PRONTO PRA ENTREGA,dhash64:3616fcb1a34c6cc0/1b1b014cfce08008/365bcccdf938f0f0,https://drive.google.com/file/d/1legr38Ls6DWqKkS1D_S2o94GfbQW0gVv/view?usp=drivesdk
11,01_READY,1qB47N_MD8FOzTK_aQOl9HdqjLb13Bqvn,11_215 - Story Financiamento (Brasil).mp4,1FLmVx0PbfjtDy4djFLMtMNHhtffGjgYo,CAR_BR_BR_VID_SEM_ENTRADA_NV_058.mp4,116db23c081090d140b0ce7d7494bf6ef803b9c7d62bdf6461d26fa113b16c76,4fd9f1d63b9ecaaf5e183c6cc05e1df810ef55cdcd9200153570672537ea4f2a,81fc68a345e6e54fc07522d3846d8810,9711244,True,True,True,NO_PERSON,NV,SEM_ENTRADA,058,HONDA CIVIC TOURING; OFERTA LIBERADA; SEM ENTRADA; R$299/MÊS; REVISADO PRONTO PRA ENTREGA,dhash64:9ccde1a0cff5ffff/26361f69f8fe4f3e/0fe78eb47c7cf5f1,https://drive.google.com/file/d/1FLmVx0PbfjtDy4djFLMtMNHhtffGjgYo/view?usp=drivesdk
