source_drive_id,source_filename,disposition,active_destination_drive_id,active_destination_filename,source_legacy_path,active_asset_path
1aQcjH8EidXjtNZLYTrbqwN0tWpdllX5-,1_212 - Story Financiamento (Brasil).mp4,UNIQUE_READY,12tkz7gDwVbQ4mG9p_AxzkZ4-zNlyqsyT,CAR_BR_BR_VID_SEM_ENTRADA_PV_054.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
10sedkD3DeIYtvttgQmPLY9tXhcUsV3oZ,2_213 - Story Financiamento (Brasil).mp4,UNIQUE_READY,13klvNXAOZb65sgqHZTrq4QUofmxodQLB,CAR_BR_BR_VID_SEM_ENTRADA_PV_055.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
17CxEwwKeeG_jcdCw-Wktpm0APZEBz-wx,3_217 - Story Financiamento (Brasil).mp4,UNIQUE_READY,10iR4eyWs9UZcE6wQd2ipHECO0CvZtJrq,CAR_BR_BR_VID_SEM_ENTRADA_NV_051.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1IzTGwiB6PQC-biksxxKk_QNbGvbL4abn,4_223 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1L68YmtRHwNXX-AM4jdawh-Buoif0VOc8,CAR_BR_BR_VID_SEM_ENTRADA_NV_052.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1NV6oBpYVVAkgWXFV4wlxHxzQnjSpYSRa,5_222 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1odCepm9KjcBkQ9V6SoKm382pTyhIOpin,CAR_BR_BR_VID_SEM_ENTRADA_NV_053.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1KgNi6qTR_b8pSekYAPcYfbOmLEDbebaP,6_220 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1UMToaV9IR1UdN-jHlZRCJkrk5w8P_6YU,CAR_BR_BR_VID_SEM_ENTRADA_NV_054.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1UDaqlN27NQHXoEiBQYweTZ9CyylWhNOO,7_219 - Story Financiamento (Brasil).mp4,UNIQUE_READY,19AydBfN_IVKueZLq1vtJv3jQ8-2g0LEr,CAR_BR_BR_VID_SEM_ENTRADA_NV_055.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
14kJl8IiCYQb_QgQZTCTLoxP2-aLTYUKG,8_211 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1t65hTa1BDxUNi1jRVXJBSXuTedi6uZXg,CAR_BR_BR_VID_SEM_ENTRADA_PV_056.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1oFPU7E6ViN9gghVkuTnFt8XnJ7Yep-nk,9_218 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1legr38Ls6DWqKkS1D_S2o94GfbQW0gVv,CAR_BR_BR_VID_SEM_ENTRADA_NV_056.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1uNyMa20juOo5L_JwLFFLMLh01WXadjQd,10_216 - Story Financiamento (Brasil).mp4,DUPLICATE_SOURCE,1legr38Ls6DWqKkS1D_S2o94GfbQW0gVv,CAR_BR_BR_VID_SEM_ENTRADA_NV_056.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1qB47N_MD8FOzTK_aQOl9HdqjLb13Bqvn,11_215 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1FLmVx0PbfjtDy4djFLMtMNHhtffGjgYo,CAR_BR_BR_VID_SEM_ENTRADA_NV_058.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1lZ34i_SfFB0DEkGd9fJ4uJzO4ZAtSdOY,13_221 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1P1FbThUhM1g-CQwO8A9bTJQpDyDrzH9W,CAR_BR_BR_VID_SEM_ENTRADA_NV_059.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1MZUsyZf6qCrJ16X8T1w_moZvBdD-xhdD,14_228 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1Mm-T7YTq5P3dXT-QXMsOJWTPaVArtwel,CAR_BR_BR_VID_SEM_ENTRADA_NV_060.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1J5t9-DhqOYnPbCvt4EqrrBsNVTG2j7kR,15_229 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1vn8JLDGnM5OV3Z50_ZkQfyzE1TV78kht,CAR_BR_BR_VID_SEM_ENTRADA_NV_061.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1csr0NlkJQ5shQedStqrOALdVrXxQpm7v,16_227- Story Financiamento (Brasil).mp4,UNIQUE_READY,1JOB_ARKSfaJxEbxvnG3OLk_GFWOlANau,CAR_BR_BR_VID_SEM_ENTRADA_NV_062.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1CsokZIaxiVVbWJQq749CT_12th0Je8gU,17_226 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1PXBYn-wJTT-bqTnkL0vHoPhnQublIp-f,CAR_BR_BR_VID_SEM_ENTRADA_NV_063.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
17iYdLL4Qx3JDn315UNJP4fcAVAFpw1SH,18_225 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1ABq9sRlqWMmm-TQU-VEDAycqlooJKAI_,CAR_BR_BR_VID_SEM_ENTRADA_NV_064.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1MyOLq3bxEjflRgFqEwhH0ifzNs8yLRLc,19_210 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1khM73fcglU25CgH9yqJsjNCyei2wr_Jp,CAR_BR_BR_VID_SEM_ENTRADA_PV_057.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
