source_filename,destination_filename,asset_drive_id,clean_sha256,webViewLink
6_es 01.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_009.mp4,1KKxdOuR3ZTw4XkX46Adpck_4H2BFqOeF,fd5ebc338dc081f662d1c879e6a3d98694c7d453c4558aadcadce1ad733170a6,https://drive.google.com/file/d/1KKxdOuR3ZTw4XkX46Adpck_4H2BFqOeF/view?usp=drivesdk
5_espa 10.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_010.mp4,1VDMRQzMIb5tunGT7Fdn61jOXsqJQZOuu,ee2177f53333fc7df6ad455eb721cddcf6e8f13ceb347706dc4f56938bd47826,https://drive.google.com/file/d/1VDMRQzMIb5tunGT7Fdn61jOXsqJQZOuu/view?usp=drivesdk
9_esp 04.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_011.mp4,1Sw9U0LxTViAj9EPJZ2Qc5OEQvw07YKeB,09dfcec5d429a49fa24c665d840152069d039a2da69208b5fef021bdb1f0b025,https://drive.google.com/file/d/1Sw9U0LxTViAj9EPJZ2Qc5OEQvw07YKeB/view?usp=drivesdk
2_es 02.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_012.mp4,11p0FQv4hnPuwlXqXtmuueGR3RENCzlVR,b2ef57809f1edda2fdd6ae9a17719597792b23c3ba3c9c600fdebf3aa648d242,https://drive.google.com/file/d/11p0FQv4hnPuwlXqXtmuueGR3RENCzlVR/view?usp=drivesdk
8_espa 09.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_013.mp4,1lGrp-cWthEX2BJRu4qaVroCOKnjVw0MA,3ca61983725832024bc8a0128a3b5e40844c4802d3a3193d2df0f8c2cda7d52e,https://drive.google.com/file/d/1lGrp-cWthEX2BJRu4qaVroCOKnjVw0MA/view?usp=drivesdk
4_Design sem nome.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_014.mp4,1zCa2_CFaHYhN8S9fQihTWFHTOi14wwuw,734be5dab605c2cb4ba4b7db1532d58478b75746e585fb6d20eb260ecbf5e82c,https://drive.google.com/file/d/1zCa2_CFaHYhN8S9fQihTWFHTOi14wwuw/view?usp=drivesdk
3_esp 08.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_015.mp4,1Klfk2k859aw7UrVRgZBv1k5AV44GSPvH,a9586328977bf5ea59d6821f75affe61b2e612cd47b11455e77541b5dbc4a1af,https://drive.google.com/file/d/1Klfk2k859aw7UrVRgZBv1k5AV44GSPvH/view?usp=drivesdk
1_esp 03.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_016.mp4,1Ikl51SSlMZgQJRpPze5LpjAhP3DYuN3T,e121a67172a2ce6ce23d7e9f6f43c9197d6db49054e3e389f736ffd4528232ab,https://drive.google.com/file/d/1Ikl51SSlMZgQJRpPze5LpjAhP3DYuN3T/view?usp=drivesdk
7_esp 05.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_017.mp4,1J1-T47azu0xmrFwujEhQVAW2rX2x6SdA,addcc0bdad5272f271d705a70da8005d00e2f56d52bacd78b35ef95d35094376,https://drive.google.com/file/d/1J1-T47azu0xmrFwujEhQVAW2rX2x6SdA/view?usp=drivesdk
10_espa 08.mp4,CC_US_ES_VID_LIMITE_DISPONIBLE_PV_018.mp4,1it3ylhwoSLqpt-uqxi2TcwIwIJH2S0-p,8ada666458dea2c7076cc10f9a88437afdddf1580c82a3a4226f0c112847d00e,https://drive.google.com/file/d/1it3ylhwoSLqpt-uqxi2TcwIwIJH2S0-p/view?usp=drivesdk
