drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1lCH79-2V5IfouIC83_uKSngrYy6Zvkxd,1_3_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/1_3_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,3944012,1080,1920,9:16,STORY,7999,fdf9978e45d5d587b2d47b2ac4acf2a3,2026-08-26T15:31:12.371Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1mPtXMHDBKV6dO_8A-dAFUWHkq4pR7jIN,2_4_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/2_4_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4394406,1080,1920,9:16,STORY,7999,d22e6e47518b014567d8b98f4dfab262,2026-08-26T15:31:19.620Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RDOrkV02Bek53byEcolSTYT25sB6Oa08,3_6_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/3_6_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4693789,1080,1920,9:16,STORY,7999,82c61e2b8fbbfa79fe06d60dc8c08cb3,2026-08-26T15:31:05.674Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1kWWeksIExez6KHzqhOsY3y0PLXeaSXrV,4_9_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/4_9_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,5003200,1080,1920,9:16,STORY,7999,6b48b8c7ea5d551a256b4f78964a44cb,2026-08-26T15:30:50.348Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1P2EmF0kPJBv21_UgjVFC9tgiy73bE2rD,5_3_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/5_3_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4683396,1080,1920,9:16,STORY,7999,12f84d5cf28857fc3bf40e61e04e4fa4,2026-08-26T15:31:16.146Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NH2xUaKUI0iaVMLoXwIFzZodRzhYclP2,6_7_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/6_7_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4005138,1080,1920,9:16,STORY,7999,71cc801948451e7170925bddaff1e15c,2026-08-26T15:31:09.000Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1UGAVolb9LeXzoXu9ahHLxsEvEFQWnEyX,7_5_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/7_5_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4752080,1080,1920,9:16,STORY,7999,686de9fc81b3445c4e37c699fef2c584,2026-08-26T15:30:46.844Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1F1rHFmf7xHCy5z2J5dv_cUGyAHckDVa6,8_8_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/8_8_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,4760684,1080,1920,9:16,STORY,7999,f6c7e523c0f2837d95879ea1de81dc77,2026-08-26T15:30:54.065Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1669BgquvealDWaLCDJYfBnDkPL5GD6LV,9_10_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/9_10_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,5012980,1080,1920,9:16,STORY,7999,469e1d6c58f1336dbccac5d67c629de7,2026-08-26T15:31:00.824Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13rOH1U8vuMkNw7jyCkByELjWjDYafM6a,10_1_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/1629691082867565004/10_1_us_cc_ig_26_08.mp4,1629691082867565004,video/mp4,mp4,VID,5159112,1080,1920,9:16,STORY,7999,fb5f5feb503e634f21fec0ba63cceaef,2026-08-26T15:30:57.305Z,2026-08-26T15:29:56.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1YyhT5C7MemzqjYhWp0mmrwp06skFSNPU,1_2_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/1_2_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4497486,1080,1920,9:16,STORY,7999,c8621b056007122aa7f68bf6d35e9254,2026-08-25T15:14:00.627Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VjuRcFb2ZIYleGtvCB7foMEROgz2cCxl,2_8_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/2_8_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4410671,1080,1920,9:16,STORY,7999,38b182e2f0ed15ea307d687319e2ef4f,2026-08-25T15:13:57.586Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
