drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1VeoNGzEKrOuSfvaM4CVu6t2v2g898-48,1_6_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/1_6_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4610571,1080,1920,9:16,STORY,7999,14ebca523396caa27e1ef4ba6351586a,2026-08-26T18:07:49.422Z,2026-08-26T17:47:18.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1YsLyk_-Sy_Si_vlKspGvqJoEDcMBLm_B,2_9_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/2_9_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,5002760,1080,1920,9:16,STORY,7999,e96b3897ce659b80440a66f0648b660c,2026-08-26T18:07:55.599Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10QodnoR8jJGkUPp--3m0rthGe_QtYrRh,3_4_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/3_4_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4393455,1080,1920,9:16,STORY,7999,17f3eabff02151691ff0d98f6d68e779,2026-08-26T18:07:43.180Z,2026-08-26T17:47:18.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1fNVCHifDOcb937UDLLSqynQ3pz0mOckm,4_1_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/4_1_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4655209,1080,1920,9:16,STORY,7999,d8622bdd0798072ced4f237082d5d976,2026-08-26T18:07:29.961Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bN8KKs7nM_xA_HDy9YDHTrUOcXq09XRz,5_8_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/5_8_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4757403,1080,1920,9:16,STORY,7999,4e3b5cb74979effda5d58414b977178b,2026-08-26T18:07:39.655Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11xsySJZXzZB59HC_yugh2ymIHc4Dl8UL,6_10_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/6_10_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,5011354,1080,1920,9:16,STORY,7999,80ccd1ee39a8ec996e1273dbde90506d,2026-08-26T18:07:46.270Z,2026-08-26T17:47:18.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vgKDaib8FUgBgzHWozxLJoVxL9nOEzw0,7_5_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/7_5_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4739570,1080,1920,9:16,STORY,7999,ba18b18f86e912ea4ce06d6819d03b3c,2026-08-26T18:07:26.608Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SXKVXg9ICabKrcVX5wmXpkrE0A2lmh75,8_3_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/8_3_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,4682163,1080,1920,9:16,STORY,7999,779d674e9832843851d7e59556e16917,2026-08-26T18:07:36.559Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1wVfGntfTStFMEeyvil61wqDDRfAVd3rW,9_2_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/9_2_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,5131435,1080,1920,9:16,STORY,7999,9f30181bb757b1132b4ee98ec7d75e93,2026-08-26T18:07:52.454Z,2026-08-26T17:47:18.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cdFXM3peaiHBwwICQEdaVzPcaoH9W5R9,10_7_us_cc_ig_26_08.mp4,CRIATIVOS/UPLOAD MANUAL/4893674920635028323/10_7_us_cc_ig_26_08.mp4,4893674920635028323,video/mp4,mp4,VID,3966253,1080,1920,9:16,STORY,7999,0fbfe26e4e0aaa30ea71c832899a9090,2026-08-26T18:07:33.438Z,2026-08-26T17:47:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
