drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
12Vojvaqbeh4bJ_KwbP2mxbV94YROkQ6S,1 (1).mp4,CRIATIVOS/UPLOAD MANUAL/1 (1).mp4,ROOT,video/mp4,mp4,VID,3626254,720,1280,9:16,STORY,15033,3ce64b9fd657c61b8410331a94f9aa84,2026-08-30T21:32:51.697Z,2026-08-30T21:32:41.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DHJcpUrLr_lbBhSfylwLqn8jZqTymCS4,1 (2).mp4,CRIATIVOS/UPLOAD MANUAL/1 (2).mp4,ROOT,video/mp4,mp4,VID,9263683,1080,1920,9:16,STORY,52233,ef62f52715c4c7a9fa3d50af0dc0648c,2026-08-30T21:33:41.847Z,2026-08-30T21:33:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JO8guZURjXvMmb-9wO_-fM8JkonJTVkT,1 (3).mp4,CRIATIVOS/UPLOAD MANUAL/1 (3).mp4,ROOT,video/mp4,mp4,VID,596097,480,854,9:16,STORY,9199,d25173844ff8692878cc64764a52b4cb,2026-08-30T21:34:08.739Z,2026-08-30T21:34:03.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lsQt2xkj_FffTiKp4OwmaHBySnp2Fk_6,1 (4).mp4,CRIATIVOS/UPLOAD MANUAL/1 (4).mp4,ROOT,video/mp4,mp4,VID,2701887,480,854,9:16,STORY,12033,2eec91b3524c84b6ee34bde35b5644fc,2026-08-30T21:34:36.534Z,2026-08-30T21:34:30.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1l6UThCB19C8Gba8EobR_gmXlxrapY5WZ,1 (5).mp4,CRIATIVOS/UPLOAD MANUAL/1 (5).mp4,ROOT,video/mp4,mp4,VID,8391703,1080,1920,9:16,STORY,10033,05c779d9787110a399a77e0aae02b1ae,2026-08-30T21:36:15.084Z,2026-08-30T21:35:58.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bQep159aDBd6RYVmJZN9ptyLiPvjR0zv,1.mp4,CRIATIVOS/UPLOAD MANUAL/1.mp4,ROOT,video/mp4,mp4,VID,4316518,720,1280,9:16,STORY,9099,1c4ae547d6b5e82bcc3291810f4fbfca,2026-08-30T21:31:18.358Z,2026-08-30T21:30:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bnUbRz7CrMmJwTviWRAbQ0W-rvWKXNnw,2 (1).mp4,CRIATIVOS/UPLOAD MANUAL/2 (1).mp4,ROOT,video/mp4,mp4,VID,3775301,720,1280,9:16,STORY,15033,e4fa21250f3d42eb730f552f7a38e733,2026-08-30T21:32:49.355Z,2026-08-30T21:32:41.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1N72DtA-UMu_gR_Tvdey4kbTaG2Gm8CaK,2 (2).mp4,CRIATIVOS/UPLOAD MANUAL/2 (2).mp4,ROOT,video/mp4,mp4,VID,7282027,1080,1920,9:16,STORY,13033,13e6e99f8cdd2ec4cbb4bbdc030ac6c4,2026-08-30T21:33:23.792Z,2026-08-30T21:33:17.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1p1inHVeKl1PnXTu7t5bt9p6dAJHK7sCy,2 (3).mp4,CRIATIVOS/UPLOAD MANUAL/2 (3).mp4,ROOT,video/mp4,mp4,VID,645416,480,854,9:16,STORY,9199,38099c6f4d771199faa43a59e0dc3dd9,2026-08-30T21:34:08.846Z,2026-08-30T21:34:03.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Vqzec0W2e74Ziiyw3aX0I9vE3PQV24wx,2 (4).mp4,CRIATIVOS/UPLOAD MANUAL/2 (4).mp4,ROOT,video/mp4,mp4,VID,2820159,480,854,9:16,STORY,12033,dfb952296a07f16a1e50397966cc2178,2026-08-30T21:34:40.845Z,2026-08-30T21:34:30.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
