drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1s7Xf4gNdcm9rDUYOgkbR3IjGJV3P0rU4,1_212  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/1_212  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,10050522,1080,1920,9:16,STORY,9999,a8eafd0dab3b61b02e72c1c93714b9f5,2026-08-31T15:42:40.868Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16Swkv6vDaOJtyC4Scuw6qzWMFCQCjhQF,2_214  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/2_214  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9205719,1080,1920,9:16,STORY,9999,25178f4a7f251991e0a0aeae3636b5a4,2026-08-31T15:43:10.345Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1LuPdp7CqAqUXMgpq_pvucgb84XqqPB9x,3_218  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_218  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9396984,1080,1920,9:16,STORY,9999,ba1ca0e73928110cbae427352fcf7fad,2026-08-31T15:43:33.093Z,2026-08-31T15:39:26.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1059BNbq1GecqC5cYVrVkuvyKTtwTPVOW,4_226  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_226  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,7674041,1080,1920,9:16,STORY,9999,c72ed899e5f647c59168e2f004748bf3,2026-08-31T15:42:45.804Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oXhFvNLOV7d6NdqIAoLf9WZHJRVo6-z1,5_224  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_224  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,6834393,1080,1920,9:16,STORY,9999,e11820dc11b5e9bc9cb757e359c7efb0,2026-08-31T15:43:37.199Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GdUz5qqDNU_wkr0G2TYSZ0sYy-e89pys,6_213  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_213  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9186739,1080,1920,9:16,STORY,9999,3b4e03f122bd8aeed13e3b6dd2b45985,2026-08-31T15:43:18.041Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Yw5VBlel34tOWOdhgmfHn1V3oCVwK1Dp,7_217  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/7_217  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9594869,1080,1920,9:16,STORY,9999,9326a9438eb2edbb483693d30cb42dcd,2026-08-31T15:43:22.895Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1l0QHDrH5A_dn0c0x_-NmANMKCdKQg5aS,8_216  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/8_216  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9537837,1080,1920,9:16,STORY,9999,2312fd68bd5cb7a52819483a6fd7acd7,2026-08-31T15:43:45.829Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_7J_PMma30I7psEjHuoQNeOa3rC4u0Ly,9_211  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/9_211  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9610460,1080,1920,9:16,STORY,9999,3ae3d2267ab2c2cf86468ffc89dad6e6,2026-08-31T15:42:57.005Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RuhchzBuoDZphv6wChSv_xqB8i2YJXGT,10_208  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/10_208  BR_CAR__BR_31-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9260137,1080,1920,9:16,STORY,9999,c8773557ae52fe607d49e52a2ebd7811,2026-08-31T15:43:52.531Z,2026-08-31T15:39:25.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
