drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1_ELoLFmJ5fPedePbXLrSAmniL3GZ22CM,1_39 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_39 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4738146,1080,1920,9:16,STORY,7999,b4a26bb5f71a73c224eb2b809c9efe2a,2026-09-03T15:44:18.426Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VcuOtEhWlB5lNJlhZgiyjKG3AfOpqGUP,2_26 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_26 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4039626,1080,1920,9:16,STORY,7999,be4b47c0ce425730e5884933eeb8f0d8,2026-09-03T15:44:24.662Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cI1QQY4b282MBlKmcc51Gb7do5Moniz7,3_35 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_35 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3273534,1080,1920,9:16,STORY,7999,13612f288f43337dd4c86905daeebfc7,2026-09-03T15:44:12.221Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NbuikCoHIHjNNRYvzvUVncntswGkgWgF,4_34 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_34 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3533786,1080,1920,9:16,STORY,7999,37245271ccb00fc5af314cc5a72f88b3,2026-09-03T15:44:05.833Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1kMySnyod8YL8Ny-sXXC-D0lajOrbB7_E,5_36 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_36 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3904306,1080,1920,9:16,STORY,7999,3d80d8ce6205ede5bf951f4487da8668,2026-09-03T15:44:27.352Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vuYx5RNleKh9wcEkJBYFf2GePRijWbi0,6_33 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_33 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3699145,1080,1920,9:16,STORY,7999,df3a472b1b86edf9c088a9d31974f4a7,2026-09-03T15:43:59.000Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1aO0KM-UM_IjSgzMPWX7XyBQh-AvNJRqf,7_29 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_29 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3536271,1080,1920,9:16,STORY,7999,2f6960d14502520f8bb9ac9ff4ed34af,2026-09-03T15:44:09.313Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1dEplLiepXF83Z5NbB6UemkkhuoIpcoLb,8_30 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_30 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4377347,1080,1920,9:16,STORY,7999,d1dc0a826ac8525f1b157bc5a0aaf35a,2026-09-03T15:44:21.309Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1nQ2CmWTkDNUvnknODPLtCuUP__UN2B-e,9_31 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_31 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3686408,1080,1920,9:16,STORY,7999,7b283a6f5f260c41daae097827fdc52b,2026-09-03T15:44:02.811Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Pm1o25G-f4JyaRizyagAMV9rNm_hZ2sK,10_32 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/10_32 US_CC_EN_03-09  - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3693748,1080,1920,9:16,STORY,7999,eef525ed5982e67ed2c5d96bd0d6579d,2026-09-03T15:44:15.608Z,2026-09-03T15:43:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
