index,status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,vehicle_type,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,UNIQUE_READY,1u1uFD_X4zxmw44jxgV5T2lNNcWgp6up8,1_39 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1XLbsJZ-7a-D3CBbGh8gvzoLhkKMyoDAw,CAR_BR_BR_VID_MOTO_SCORE_BAIXO_PV_037.mp4,15d5b23819541ea90e29b5cb97b6349b5fcc4ef2ced4066d0f7c0ea2abd816b6,4ee367d08ebc0cca942fb8fc72abf667ede52b8fea0145266d6e4e1b1b60526e,547846359f4e792bef41d04a40255528,6707440,True,True,True,MOTO,PERSON,PV,SCORE_BAIXO,037,APROVADO MESMO NEGATIVADO; SEM ENTRADA; PRIMEIRA PARCELA EM 120 DIAS; RETIRE HOJE,dhash64:00aa222e1b19e4e7/01604452526288c9/a0f4256f1f1c1e86,https://drive.google.com/file/d/1XLbsJZ-7a-D3CBbGh8gvzoLhkKMyoDAw/view?usp=drivesdk
2,01_READY,UNIQUE_READY,1scdyQUzZRWgVdtmH9dzMdMq2IqVgQKAp,2_38 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1tFH5jT4A-Hl11nCauOw5xkf5Q67YIRT-,CAR_BR_BR_VID_MOTO_SCORE_BAIXO_PV_038.mp4,68caad15a69ca8152581934aeef8c3b2372d2c0a29a61f1d9c8f9814ef9e64df,33ffac9f965e4c35890dbd94c2a376d83e295646cb2b33b8a21576c95b40a25a,a4e26f761cd01ac7abcd712a34afa87f,6632324,True,True,True,MOTO,PERSON,PV,SCORE_BAIXO,038,APROVADO MESMO NEGATIVADO; SEM ENTRADA; PRIMEIRA PARCELA EM 120 DIAS; RETIRE HOJE,dhash64:0034948d26308a24/767561312712b8ab/f02666370f0f1e93,https://drive.google.com/file/d/1tFH5jT4A-Hl11nCauOw5xkf5Q67YIRT-/view?usp=drivesdk
3,01_READY,UNIQUE_READY,1Hll0XdAsE2iM_L22VFk4-29ARYYMctVo,3_40 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1V0Op6KPCGsBR4PvkU-ET-uMG96Xj5e-g,CAR_BR_BR_VID_MOTO_SCORE_BAIXO_PV_039.mp4,d973c568160752ecbd718826c3811c33d29c32bdb3546097a8cf134f289f1a38,8f223d46d35ce906f52b657c52cf548b9fc115faab80a53fa90bddb603e6c221,ccc664bd2a2660d5c51376f8f204b039,6697621,True,True,True,MOTO,PERSON,PV,SCORE_BAIXO,039,APROVADO MESMO NEGATIVADO; SEM ENTRADA; PRIMEIRA PARCELA EM 120 DIAS; PARCELAS DE R$ 149,dhash64:30384c0c12309427/03006461868ecac6/0100203023cc8733,https://drive.google.com/file/d/1V0Op6KPCGsBR4PvkU-ET-uMG96Xj5e-g/view?usp=drivesdk
4,01_READY,UNIQUE_READY,1NnV3-OJilmES7FE3nPwrIc--ZgpS8zgK,4_31 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1p4Exb_MeLu8uJp1mNMPm3Vv2QUfXPvoF,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_007.mp4,ca0ccab1db061f25de48ee717b44ae9ad0d5f8fbe33d97d976b2e5a39e827e31,40b556294ddcbcd601e64b3db393d361d092ea86d949c7f8529d1b5ec499cf6e,169dbb4c4dfb362c9b525efbcdffc8c5,11516077,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,007,MAIS DE 10 MIL MOTOS; SEM ENTRADA; PARCELAS DE ATÉ R$ 199; TUDO ONLINE,dhash64:9f934f1f61e3b3f1/bfa32f1ecbc7e753/4e790c3c7086c68c,https://drive.google.com/file/d/1p4Exb_MeLu8uJp1mNMPm3Vv2QUfXPvoF/view?usp=drivesdk
5,01_READY,UNIQUE_READY,1rcynkWE0UiV_LNnOavhT_1VsM3FOxfvg,5_30 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1eazxoqpntytkxHWmC3Fwf3og9g00zOqG,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_008.mp4,43a580393821e57378fd71ae92698df0d599a7494cc6fda28b837abb0334cbbb,33f9563233b6a0112a8ebbecaadfd43513385fb0fa5da8bb33a24ad87ff50e49,191a482a94f0fe77b96096c3a7938604,10555842,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,008,MAIS DE 10 MIL MOTOS; SEM ENTRADA; TUDO ONLINE,dhash64:ff59130f276361f3/ff6de50fc7c7f3f3/9f4d4931599bfbc9,https://drive.google.com/file/d/1eazxoqpntytkxHWmC3Fwf3og9g00zOqG/view?usp=drivesdk
6,01_READY,UNIQUE_READY,1GFC_0zXLjHVc5V5gSP0YPrfZUB-AW4yj,6_52 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1zQWDARbVECQhCDCxkkfcNzJB_3RX_NJ6,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_016.mp4,c334e470cb49bfc4896d06b06e230e4d5350a26acd8d64ac2cece10c6e88856f,92ebd1c851131fea65efaf295a4eacde665fcb43ede12ef396f85aa7e499a533,f80cdefdc6e1ed6cf23e4cad2eea577f,8596397,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,016,HONDA POR R$ 149 MENSAIS; SEM ENTRADA,dhash64:cb1b0c878dc0f0f8/2f8b0e6c0e8cf939/80990c4cc4c0e0c4,https://drive.google.com/file/d/1zQWDARbVECQhCDCxkkfcNzJB_3RX_NJ6/view?usp=drivesdk
7,01_READY,UNIQUE_READY,1G_MAYsD0oyqHI1Yv0Lhv00YzV-hDEfDc,7_48 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,18wM8vpoJXnYrK__YduUKxoRAzdEW-y9-,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_009.mp4,1a0f9d82a7de5d637088ad5a0e96f9e8e79aeec9fbf1ac409109f1295bafe5e5,0344ddaa9a71a9d293ce8a89d255d24d5835e1e3adbc15bac0aa644d95c65382,7143871831134cf72938cb670a12a815,8563840,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,009,HONDA POR R$ 149 MENSAIS; SEM ENTRADA; LINK PARA CONFERIR,dhash64:77398c801941d0f8/151970e0f0308081/0cd81e0c84ce0304,https://drive.google.com/file/d/18wM8vpoJXnYrK__YduUKxoRAzdEW-y9-/view?usp=drivesdk
8,01_READY,UNIQUE_READY,1msLjPzP6jpMTx8tBUytj3MrCNBFSoG1S,8_29 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1yRc7iHii-cBOy_Y_FtrxxrjzoNbFqUbG,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_010.mp4,c0ba8e6c0ddf606b7b90176a54d299553b20c2959dfa75199a57ef014f5e7d8f,948afdf8113b51840620200df24c35c3c2bf3892f44f95d60184dd67182bd21d,3e682cc6d7b4ee3bd9e9dd68ae93c388,11401316,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,010,MAIS DE 10 MIL MOTOS; SEM ENTRADA; TUDO ONLINE,dhash64:b232cc0e47c7e7e3/1abaeb4d8e8c0cdc/34242e36691ac2cf,https://drive.google.com/file/d/1yRc7iHii-cBOy_Y_FtrxxrjzoNbFqUbG/view?usp=drivesdk
9,01_READY,DUPLICATE_SOURCE,17e1jaZynBF0o1LEpHy3W1hR-oFcM7FxE,9_42 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1XLbsJZ-7a-D3CBbGh8gvzoLhkKMyoDAw,CAR_BR_BR_VID_MOTO_SCORE_BAIXO_PV_037.mp4,f2e77fb509c7e6b7616b09429e0daf11c96a3ee90fc2d0d0941ea1ff481d54d4,4ee367d08ebc0cca942fb8fc72abf667ede52b8fea0145266d6e4e1b1b60526e,547846359f4e792bef41d04a40255528,6707440,True,True,True,MOTO,PERSON,PV,SCORE_BAIXO,037,APROVADO MESMO NEGATIVADO; SEM ENTRADA; PRIMEIRA PARCELA EM 120 DIAS; RETIRE HOJE,dhash64:00aa222e1b19e4e7/01604452526288c9/a0f4256f1f1c1e86,https://drive.google.com/file/d/1XLbsJZ-7a-D3CBbGh8gvzoLhkKMyoDAw/view?usp=drivesdk
10,01_READY,UNIQUE_READY,1Gz0y6gkjB01maOhySnNBbVFrylH7F2eC,10_44 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,1Fl28nQYtLd8EObdxzzq6n7ji9cuLEX4d,CAR_BR_BR_VID_MOTO_SCORE_BAIXO_PV_040.mp4,d40562b57ab9e391cfe899d6a562ff5709635b7bf7624c383d580877ea1e105f,0a3a8d4a60af9416150a2e321ba0d5a75cf28509c45c9b5234f7b701967e73fa,5e37cec5ac2e77bd0b1f7104f67f1fcc,7276712,True,True,True,MOTO,PERSON,PV,SCORE_BAIXO,040,APROVADO MESMO NEGATIVADO; SEM ENTRADA; RETIRE HOJE,dhash64:c094d4717e9b9c3f/70969423272288ef/f078c24a6e5d1e3f,https://drive.google.com/file/d/1Fl28nQYtLd8EObdxzzq6n7ji9cuLEX4d/view?usp=drivesdk
