drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1zTLq5G7zxXuI5L--6a35oALJZiEY94-f,1_31 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_31 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4602282,1080,1920,9:16,STORY,9999,6d243889a840d04d100563ceeae4f739,2026-09-04T14:22:48.934Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HD1Cv_6Wsldc3BUAA9etCWp33rXGEIs8,2_13 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_13 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,8942595,1080,1920,9:16,STORY,13666,0a45ff0f216163756b27f1a74f0c206a,2026-09-04T14:22:54.468Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ecn4P0tY-aYVoFSx-383ILuHYYe77iou,3_30 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_30 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5417749,1080,1920,9:16,STORY,9999,a715c66f36df02bab8420648b624d9a0,2026-09-04T14:22:42.159Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bh4rmavKfnGxIg5gLmumNEIi-6zlW7CT,4_23 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_23 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5773808,1080,1920,9:16,STORY,9999,92ff29a559f32426666baecc8c1c0932,2026-09-04T14:22:38.961Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lxmMrCUJq5pfMB61XG3lqD_4wzGWD8EZ,5_16 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_16 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,19585157,1080,1920,9:16,STORY,14999,ff8688d82eb6e1ea8826d6ee9561c9cb,2026-09-04T14:23:06.643Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Yf-4TDB4fN8NdlJvYHATItv1e2tCEBMJ,6_15 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_15 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,14312188,1080,1920,9:16,STORY,12033,942043eb616e205792ef38f81b9d405a,2026-09-04T14:23:03.760Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1t_6MshOMzemms8M6MP7aXKe4C8XJ_AoL,7_08 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_08 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,13484184,1080,1920,9:16,STORY,15433,63c90b343862df57f80b5c4342d1889c,2026-09-04T14:22:57.493Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
19jUzmWZNQh3yvL2OsVn4MuK56eGZEHw7,8_25 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_25 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6067203,1080,1920,9:16,STORY,9999,860e9d6255e6c41b8f69672542b592a2,2026-09-04T14:23:00.882Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1monRK_ZBQjILI_Ke3S_BmUdGFN04dZdd,9_10 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_10 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,13454608,1080,1920,9:16,STORY,15233,c47a158e567597b65d844ca148739afb,2026-09-04T14:22:45.891Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1116kqGDOWILoq2iraowQaawiSYlvBPMl,10_29 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/10_29 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4243021,1080,1920,9:16,STORY,9999,1f5733c4353f4a316d344ef69eb71f58,2026-09-04T14:22:51.648Z,2026-09-04T14:19:46.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
