drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1D2xqbbtXbmNVZTrVTFbBBDM49frg4Og6,1_258 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/1_258 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9648915,1080,1920,9:16,STORY,9999,ffc32a181fa3d69de18c6101c96d9f61,2026-09-05T15:04:23.391Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1gjvudNIKNbpB9m7UvortL6_1C5R-Ca9U,2_53 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/2_53 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8339216,1080,1920,9:16,STORY,9999,c4b723e5850fb67353468014ff1e4771,2026-09-05T15:04:15.173Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-IGvcn1E-LRVfV4VtsCl4kSj3OQQ4VSD,3_263 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_263 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9102400,1080,1920,9:16,STORY,9999,edb475cfabce54c393f448fb791dbf22,2026-09-05T15:04:02.941Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ZQBr9goCRIz1jIS60CTU3gJgjkSioVEx,4_257 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_257 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9270328,1080,1920,9:16,STORY,9999,9505fb62a0cd4b5d64a74e6bb6ce29e3,2026-09-05T15:04:20.858Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GEJL4aK9WI371d2uKml45wBpvf5cyu08,5_261 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_261 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9469117,1080,1920,9:16,STORY,9999,0f4e898ddcaa80bf56a2d08e7f988d32,2026-09-05T15:04:18.233Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DUs-8ORYUPEd_tiy4BBMolhpU29DV6LX,6_262 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_262 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8724238,1080,1920,9:16,STORY,9999,8e77de58121ba9b44142f4037855d653,2026-09-05T15:03:59.640Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1LxQj9evhbLK-n7l-nKSUV3RMMmCVgra1,7_265 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/7_265 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8565234,1080,1920,9:16,STORY,9999,26dbfe572b7cef77d51268a5b5fa69dd,2026-09-05T15:04:12.010Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-Fiynh96FezTs37Hi0-uvv_JcrLeLIDq,8_266 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/8_266 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9221579,1080,1920,9:16,STORY,9999,f319166972b6916348c133a0115d7248,2026-09-05T15:04:08.940Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XMk3PKqMktdnI5VjfsbwYdw6GHHGsN7x,9_256 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/9_256 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9635586,1080,1920,9:16,STORY,9999,c383c7f37cd5c9c2000f54a9cfecd775,2026-09-05T15:04:06.168Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1LosP4gecvhMufeobt8BPeL-NfU1G4mdR,10_260 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/10_260 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9462898,1080,1920,9:16,STORY,9999,e8ca3362b6f0de9b5ed360d738e6ae38,2026-09-05T15:04:26.354Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1BBeGiXK9ixXC7J2gF-4j2q-ntn42hDj9,11_267 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/11_267 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9690158,1080,1920,9:16,STORY,9999,5a47218783d5fcbe1b7a10e6ab3a42c7,2026-09-05T15:04:29.106Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1xFVh7pbpkU4APwzUrxS1x6g9em0RjeO2,12_264 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/12_264 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,10475418,1080,1920,9:16,STORY,9999,b68e7da2ab57da07617f253df57d4503,2026-09-05T15:04:31.990Z,2026-09-05T15:02:07.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
