drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
129vRwgmM4UE-4ldAYCad8ZVfzF20P3OY,1_66 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/1_66 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8842083,1080,1920,9:16,STORY,9999,a5e6a293732759feefade081bb1a80f2,2026-09-07T00:34:02.193Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1J1ggWb4BuxGnTc9qA12y_7tC7BpXSHG3,1_286 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/1_286 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8196629,1080,1920,9:16,STORY,9999,83140eac961c30305cf5cc4222fc3f46,2026-09-07T00:34:46.388Z,2026-09-07T00:30:21.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1B-BkTupLdzM6Jo7tZuUPaZsw_6ub9U1Z,2_63 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/2_63 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7170379,1080,1920,9:16,STORY,9999,8eab34ab1464b1610e3a3bf4eb5c2668,2026-09-07T00:33:17.969Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1t3Txmucu4TeucCSW_Kx_1AGlwRaLrs5J,2_270 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/2_270 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9760411,1080,1920,9:16,STORY,9999,3e92ada021e7d71ce8d004a219b85d58,2026-09-07T00:34:51.655Z,2026-09-07T00:30:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KNbcyXQQVtGjMISkaCoxp2ZgtNfFavnv,3_61 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/3_61 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,12004107,1080,1920,9:16,STORY,9999,f9e6395e4158ac067b15b4149e735faa,2026-09-07T00:33:31.503Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1iyPdriDITmDvyYjddGmnC0Q7A1u4d5ZH,3_272  BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_272  BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9075167,1080,1920,9:16,STORY,9999,1ec327317fee122470520a1b4796f073,2026-09-07T00:35:09.259Z,2026-09-07T00:30:21.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
12tFjJT4zWIkAMndPQrC9e0LSU2opAxeN,4_62 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/4_62 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,12453020,1080,1920,9:16,STORY,9999,f9bdb4d2ccd5a549b0f60e2ec6ac3a1f,2026-09-07T00:33:26.993Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1higYmGrs4B4N5cZS8-JMt-rkqQ2oq7O9,4_271 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_271 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8536222,1080,1920,9:16,STORY,9999,fa3b9844bf26938ba67e3d6ae5834fed,2026-09-07T00:34:58.371Z,2026-09-07T00:30:21.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1H38f6vsDb1tQSeeeKxgTQvmtgxEu0inV,5_67 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/5_67 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8054131,1080,1920,9:16,STORY,9999,ba42c6ea4b9020da2252ef39fa5f72c8,2026-09-07T00:33:37.459Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Tfds-SYEmdpoTD2shX_Abr1pizMcTNc9,5_277 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_277 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9672197,1080,1920,9:16,STORY,9999,df3e9df0f117a25a9656ab9e9b27d234,2026-09-07T00:35:03.829Z,2026-09-07T00:30:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RD4GgnEFMHEQGMveBEwNRxIsftQ0HbpJ,6_54 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/6_54 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,12038680,1080,1920,9:16,STORY,9999,a04119c3b4d861e9d982d000e69b7d78,2026-09-07T00:33:22.865Z,2026-09-07T00:29:50.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11XMWhw2rPqhbOtl3WCCq3bzt0xqf2wLS,6_280 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_280 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9893533,1080,1920,9:16,STORY,9999,d9f5de29769fbd9682df258dc385b17a,2026-09-07T00:35:13.587Z,2026-09-07T00:30:21.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
