index,status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,vehicle_type,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,UNIQUE_READY,129vRwgmM4UE-4ldAYCad8ZVfzF20P3OY,1_66 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,1WPBHftiCkNjWq-TuWbvWQnpiNHAUvY7F,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_017.mp4,7f2c8b07ab8b38ab581dc41a0954cb092de0a2d16354bc5cd2cdaabf077ac9a9,0ac76a48373d6e2b0799fe8189c67360a34f15cafcbe8959a4b9ecbda2f26792,b90e449a5f4cd1b3ae76e3ca9837c47e,8841260,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,017,R$ 149 MENSAIS; SEM ENTRADA,dhash64:3fb99e7f595868e0/62663d580cccf036/212126d2068180a4,https://drive.google.com/file/d/1WPBHftiCkNjWq-TuWbvWQnpiNHAUvY7F/view?usp=drivesdk
2,01_READY,UNIQUE_READY,1J1ggWb4BuxGnTc9qA12y_7tC7BpXSHG3,1_286 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,1lEnbBGchkb_8lL04iYqf_kwNKDLeSFxx,CAR_BR_BR_VID_SEM_ENTRADA_PV_129.mp4,c901cba3d9bd1bf39d746992145c94e58d86a731ab055d52a4bd3c630c51615b,faa24af78763c08a4b2b0120c5c694d96d2f34875ed69f3483160902f2ed056e,74177d92172a6372aedb9b5206885e09,8195806,True,True,True,CARRO,PERSON,PV,SEM_ENTRADA,129,CARRO ELÉTRICO; R$ 299/MÊS; SEM ENTRADA,dhash64:9b9af4cce9f7d33f/3fed8c36e08753fb/fbc7ddbed9d8d0c1,https://drive.google.com/file/d/1lEnbBGchkb_8lL04iYqf_kwNKDLeSFxx/view?usp=drivesdk
3,01_READY,UNIQUE_READY,1B-BkTupLdzM6Jo7tZuUPaZsw_6ub9U1Z,2_63 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,1gcgKfi3IULwdCkXnC0Y_hsE-yp4UXQjm,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_020.mp4,d2a9fb59d713ae8aae3a206566b39966a99ba5bab0f1e1a2299432c6c4eab6e5,69272e8740ed6d800b28c214508a8fb4f8b3cdbfe94d89ab5b81dcd6a2e13077,15a1a84df9564206f48ed5c346b65bfc,7169556,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,020,HONDA BIZ; R$ 149/MÊS; SEM ENTRADA,dhash64:1a7a0b0d2d1652a3/3333ad0d6c329663/93c523c35114ddfe,https://drive.google.com/file/d/1gcgKfi3IULwdCkXnC0Y_hsE-yp4UXQjm/view?usp=drivesdk
4,01_READY,UNIQUE_READY,1t3Txmucu4TeucCSW_Kx_1AGlwRaLrs5J,2_270 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,1ObeTkKgG46dxfzC5tY0Osbtws661bd-j,CAR_BR_BR_VID_PARCELA_BAIXA_PV_004.mp4,0a934755c6031a0d03acf860e402e81bdc6bc32278886cc3a0a9fa44093caf5b,a90d89af8b0103882497e8355bed600d3836fd886b6d0cfab70a7c4d674602c2,61257dc328fd3814813f3424b20990c4,9759588,True,True,True,CARRO,PERSON,PV,PARCELA_BAIXA,004,R$ 299/MÊS; IMPERDÍVEL,dhash64:fc11f1e7abf9d103/781afafb30733211/84781939c4c0502d,https://drive.google.com/file/d/1ObeTkKgG46dxfzC5tY0Osbtws661bd-j/view?usp=drivesdk
5,01_READY,UNIQUE_READY,1KNbcyXQQVtGjMISkaCoxp2ZgtNfFavnv,3_61 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,1s6f_PK52MbJ-Uqf0R3PQzA85YCiwspIt,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_018.mp4,ac5aa7a307a8e06076e74cc91846796b7b5664a8fa91c80d48e21b6219537f41,650af9c221fb157e83805f2a77f765bf33bd241d7ea84b13401a92c2d728b861,949921677998bc22770961e920f6c265,12003284,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,018,MAIS DE 10 MIL MOTOS; SEM ENTRADA; ATÉ R$ 199/MÊS; PROCESSO ONLINE,dhash64:031be8abd389d8c8/5f7437d6e4f5f83d/241c846b38b29218,https://drive.google.com/file/d/1s6f_PK52MbJ-Uqf0R3PQzA85YCiwspIt/view?usp=drivesdk
6,01_READY,UNIQUE_READY,1iyPdriDITmDvyYjddGmnC0Q7A1u4d5ZH,3_272  BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,1PqA8B17-Vbk0WxRemZCuynUIzihJmcxV,CAR_BR_BR_VID_PARCELA_BAIXA_PV_005.mp4,41d9533cee8ae0190571d9a75042cd7588122f484004de9021e2ebaf4c07a5c6,03665e3a1dff03db53a87927245a904435c8c1f2fd722e8fcefcacc98ca7b8f4,107212238a12c01357f9d701f6c72582,9074344,True,True,True,CARRO,PERSON,PV,PARCELA_BAIXA,005,R$ 299/MÊS; SEM ENTRADA; APROVA NEGATIVADO,dhash64:a303f8f89049c084/c8083f7df9c90cb8/dd810c3ef4c8e061,https://drive.google.com/file/d/1PqA8B17-Vbk0WxRemZCuynUIzihJmcxV/view?usp=drivesdk
7,01_READY,UNIQUE_READY,12tFjJT4zWIkAMndPQrC9e0LSU2opAxeN,4_62 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,1F_oqBlPEf1i4XvrNj_Z7QeREvVSRfhYf,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_NV_019.mp4,7f04555bee92f68e0c330d75d4b15d3e4adb78e8c08c403a1efe2a7b4de055e3,0f660cb3bdcb929ef635073194363242840bc9d2c40604f51159460c7b9e407d,e136e2893b8ba1cd8d0e04243ad1ad08,12452197,True,True,True,MOTO,NO_PERSON,NV,SEM_ENTRADA,019,MAIS DE 10 MIL MOTOS; SEM ENTRADA; ATÉ R$ 109/MÊS,dhash64:1b0ba8ccce86e6e6/fffeb8b8381986e0/cc4d3769ac4c8e8d,https://drive.google.com/file/d/1F_oqBlPEf1i4XvrNj_Z7QeREvVSRfhYf/view?usp=drivesdk
8,01_READY,UNIQUE_READY,1higYmGrs4B4N5cZS8-JMt-rkqQ2oq7O9,4_271 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,1gOI7BRgGn0V4Zpnk3PkAx2YMMRv2JTfR,CAR_BR_BR_VID_PARCELA_BAIXA_PV_006.mp4,0dbe9fbe2df3cebad9b68cfd2bfcbb9d16ce48fab9195f3073617c5b2a7c39a5,fcacf4a1c57626e29d798d94e199e0140ea19c8223056c2b00dc0941b170a9c4,27eec5c955b8902b1cf6f9c97e3b133e,8535399,True,True,True,CARRO,PERSON,PV,PARCELA_BAIXA,006,R$ 299/MÊS; IMPERDÍVEL,dhash64:87bbd0faf848e3cf/9c99fefcfff3f7bd/c3995a7c3c3ce3cf,https://drive.google.com/file/d/1gOI7BRgGn0V4Zpnk3PkAx2YMMRv2JTfR/view?usp=drivesdk
9,01_READY,UNIQUE_READY,1H38f6vsDb1tQSeeeKxgTQvmtgxEu0inV,5_67 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,15LT5msFLjjmxxSxZRjt-K17j4Ym3-yIM,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_021.mp4,533419488f162d44509e7e7774d60fb43df559e64533734add7e006b6b37c5e2,4d89d9fc011fe64299baeaaf0a4204c08913f7baf23cb1d3f5cbf3008d14b61f,fd16dfa3e7352f1b6ceaa81d49b8d7df,8053308,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,021,R$ 149 MENSAIS; SEM ENTRADA,dhash64:648727074deb979e/c91d4e27646979f8/8599292d85cbd9b8,https://drive.google.com/file/d/15LT5msFLjjmxxSxZRjt-K17j4Ym3-yIM/view?usp=drivesdk
10,01_READY,UNIQUE_READY,1Tfds-SYEmdpoTD2shX_Abr1pizMcTNc9,5_277 BR_CAR__BR_05-09 - IA - Story (BRASIL).mp4,11nm8SHuPJ4PLtunOjxwRyHj6p3BJwM7R,CAR_BR_BR_VID_SEM_ENTRADA_PV_130.mp4,14253fdd0672b856ac849cb0094856a18ab2b4f135fe4da5ad7b24c60bba62e3,16658750eb695b613f21604d174485bfd2e7f1a03b29be45368e1b05ab17ec85,ed6318cb1525cc66bcd4de783acde30e,9671374,True,True,True,CARRO,PERSON,PV,SEM_ENTRADA,130,GOL NA PROMOÇÃO; SEM ENTRADA,dhash64:f0d6d73fb86005c1/dfd7d8b0041043e0/c17b466f18d08a19,https://drive.google.com/file/d/11nm8SHuPJ4PLtunOjxwRyHj6p3BJwM7R/view?usp=drivesdk
11,01_READY,UNIQUE_READY,1RD4GgnEFMHEQGMveBEwNRxIsftQ0HbpJ,6_54 BR_CAR__BR_ MOTO 06-09 - IA - Story (BRASIL)) .mp4,1Yuo_gJ9tJLk4DaEd5i6X7_QgRBQA7Jd6,CAR_BR_BR_VID_MOTO_SEM_ENTRADA_PV_022.mp4,e3ea35ba7bde18b39dd51563ccc47a8077bff01167be3e0d5b6781587dd2226d,bed65d22560b47e32e868a193a8d54e99df07526da884e5517681e045efc06eb,502d507f5c75530ac429452d42a89380,12037857,True,True,True,MOTO,PERSON,PV,SEM_ENTRADA,022,MAIS DE 10 MIL MOTOS; SEM ENTRADA; ATÉ R$ 199/MÊS; PROCESSO ONLINE,dhash64:6533301763626363/394f4d8f4c4a5666/53946435a76dd1f9,https://drive.google.com/file/d/1Yuo_gJ9tJLk4DaEd5i6X7_QgRBQA7Jd6/view?usp=drivesdk
