drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1b9DWXBSkwvHzNfRU3cEafXU9VQzNgcfx,1_290 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/1_290 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,4668987,1080,1920,9:16,STORY,7999,12cdfa1039f30d3c57865bf4822788af,2026-09-09T19:58:51.304Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1onzW-GSAnPc-YYRggRZEgEOQDPegFSgs,2_299 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/2_299 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,4908069,1080,1920,9:16,STORY,7999,784ef05009e16a34a015225a266ed4ae,2026-09-09T19:58:54.219Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1dvWkR52jkQxvWU53s5GRMUKTs4P8xBDG,3_307 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_307 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9076399,1080,1920,9:16,STORY,9999,b41239b09b796aa40691e2dbd4081ab2,2026-09-09T19:59:00.778Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cZd5ev3PUxdUjkEfpB9JIo-h3kf45oDD,4_294 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_294 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5050120,1080,1920,9:16,STORY,7999,a2e3b9fc7001bfea6292f555e528f7d2,2026-09-09T19:59:19.404Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oUXFEHflFlptIcX8bqkTs7bePkTVmqi9,5_293 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_293 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,15586966,1080,1920,9:16,STORY,7999,7c722970a71bba64a96c094600879da1,2026-09-09T19:59:16.761Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_gN6nJN64JPcsNwUfwHl3WJZXy5YE0L6,6_304 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_304 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9939478,1080,1920,9:16,STORY,9999,d606e6994e83e181831d603ffa006d3b,2026-09-09T19:59:04.227Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bk3aycCZJK8YLLjvCKUY4o0wRVSsEUSk,7_300 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/7_300 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5014377,1080,1920,9:16,STORY,7999,0bab6358dca55dac2df46f2cd11cb1c4,2026-09-09T19:59:06.930Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
172tem8xEWDpD8KAcAm718HPjfQ2RlvfG,8_292 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/8_292 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5585027,1080,1920,9:16,STORY,7999,76f64ad8706a2f3ddd3f8874e953603c,2026-09-09T19:58:57.429Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QP6HABgST0v_GrvlvuK76ay5OgnN6Q72,9_306 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/9_306 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8732921,1080,1920,9:16,STORY,9999,a890b98b26bf8d80032d19dd7ffd9d24,2026-09-09T19:59:10.025Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1o28rv6fHfh4quQmKRz7EHqPB_zgiTx0Q,10_297 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/10_297 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5189703,1080,1920,9:16,STORY,7999,f77741d8dd7c05e49b6ab941df0c4987,2026-09-09T19:59:12.889Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JUXCteMmSWjbjTXtVMZu0iGW6NNTKy9r,11_296 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/11_296 BR_CAR__BR_09-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5460125,1080,1920,9:16,STORY,7999,c44207ad8b2c5ad3ad3c9dc23698a891,2026-09-09T19:59:22.207Z,2026-09-09T19:57:04.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
