drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1WLXswik8pyhSLY9sknliDYhKu2jJ1eQO,1_134 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_134 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5120176,1080,1920,9:16,STORY,9999,3882c512cc2111cffc38025b496b8c85,2026-09-10T16:09:40.270Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1s6Kimo9q3i-eMRFjYUjJPYiw-8C0V5D6,1_150 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_150 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4349260,1080,1920,9:16,STORY,9999,bc1de1d8cc2bc38e588a8fec057bf51b,2026-09-10T16:10:50.152Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1V0tfAS74OuXx-GNWVeH02hMyk1EYiQyf,2_132 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_132 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5820428,1080,1920,9:16,STORY,9999,7faf059dcbf28fb06f7ef591f7578a84,2026-09-10T16:10:06.358Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1YeuRcXJxivqhTLUGsz_X2129ATb88zXd,2_146 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_146 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4622315,1080,1920,9:16,STORY,9999,e1c2d11f1f9e1f06120bd82d4dcc7d25,2026-09-10T16:10:45.512Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1zRc-7l8wEleejW885AmRfkvC3XWRIdZC,3_128 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_128 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5400867,1080,1920,9:16,STORY,9999,ce751f711cda83634b4f3594a8710369,2026-09-10T16:10:16.584Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XAQoaA4ryqqVZY0ivO7wke96CttPb6QC,3_148 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_148 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4460447,1080,1920,9:16,STORY,9999,4f262a371e9374a94a32587e24d2f15b,2026-09-10T16:10:56.726Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oxQBiMHEHQodMGSt8fq4dbEJKuGDTybx,4_136 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_136 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4926745,1080,1920,9:16,STORY,9999,c0698022a71ce9e01f9159937bcc58f7,2026-09-10T16:10:10.778Z,2026-09-10T16:08:13.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KmVOBuWokutUzp1Mpv6cy5jipBLMXs6z,4_149 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_149 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4458248,1080,1920,9:16,STORY,9999,c2e97012599be9c7aee55b07d24f00f2,2026-09-10T16:10:54.523Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1FxRy4sVg1aezws-pDjOUb33IPzFojkTF,5_140 US_SHEIN_EN_10-09  - MASSAGEADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_140 US_SHEIN_EN_10-09  - MASSAGEADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4436729,1080,1920,9:16,STORY,9999,ac47e12df9863aa72a441372855b20a1,2026-09-10T16:10:08.810Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Y5ZmYS9aqv2RX_5I3s8RD3EHIqmn6S_t,5_145 US_SHEIN_EN_10-09  - MASSAGEADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_145 US_SHEIN_EN_10-09  - MASSAGEADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4372931,1080,1920,9:16,STORY,9999,1bc0ca949844a26ed1a07e4f12508aa5,2026-09-10T16:10:43.154Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18U-EDRknsImze7boe8V4ypYwKsRYb6v-,6_137 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_137 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5382451,1080,1920,9:16,STORY,9999,49b2cb7d6ab25c8360623477a099ce1e,2026-09-10T16:10:02.530Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bYtVx_y5RYcQgj7W1kQVsVrflv5pP5pW,6_151 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_151 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4466042,1080,1920,9:16,STORY,9999,74d4f33e89f90c790fe1ca6507b9a25c,2026-09-10T16:10:59.261Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1A5HWVbwxAH9-wFJ776nictzGZBWTcSlQ,7_139 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_139 US_SHEIN_EN_10-09  -MAQUINA DE CORTAR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4646575,1080,1920,9:16,STORY,9999,b9ba08582651f0baea5553b5a3b46872,2026-09-10T16:09:37.688Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1i28YXan_36G9sG6GDPVUSS5r-nHrsidi,7_152 US_SHEIN_EN_10-09 - MASCARA LED (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_152 US_SHEIN_EN_10-09 - MASCARA LED (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4058409,1080,1920,9:16,STORY,9999,a05f95574a92e732ff60811f6fe71fdf,2026-09-10T16:10:47.719Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XejxWHZwSM0zN6KUE_6YS0o6gehpM4sy,8_129 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_129 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5340120,1080,1920,9:16,STORY,9999,864bcbe9f1024a4c33eaf3c8154f7412,2026-09-10T16:09:35.175Z,2026-09-10T16:08:13.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DiW8gKaMYp3Zlms4h9KrFs8-QoX5P8Fq,8_147 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_147 US_SHEIN_EN_10-09  - MASCARA LED  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4848061,1080,1920,9:16,STORY,9999,29825efa3a6522afb7f97282d3ea72e8,2026-09-10T16:10:52.280Z,2026-09-10T16:08:25.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RYEQL1VZHVgMfF4wMAlibNpcq3qJkDSz,9_130 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_130 US_SHEIN_EN_10-09  - MALETA MAQUIAGEM (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6133979,1080,1920,9:16,STORY,9999,d3fe066afe220e3b28890f44e3c013bb,2026-09-10T16:10:20.183Z,2026-09-10T16:08:12.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
