drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1gafKtWLX66BG4SzgKmdIAqntVZxF667N,1_172 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_172 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5257671,1080,1920,9:16,STORY,9999,38280de0792c73dc4b6d015967159d41,2026-09-11T13:10:57.027Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1G9MdMESOpb7iwW05Nbucq4JKjevyGEMw,1_180 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_180 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5385553,1080,1920,9:16,STORY,9999,7d4cf09d3839dfd985ed30552c2dc9a5,2026-09-11T13:11:53.869Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11TNYnBJVb9whCP6OHPgzmNmzOP2y7E35,2_159 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_159 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4647378,1080,1920,9:16,STORY,9999,f844645fad3572375ae5597443022b2d,2026-09-11T13:11:04.851Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1jE_KKisOV5pHImcKYdemoi4gxXfPvhrx,2_184 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_184 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,3989227,1080,1920,9:16,STORY,9999,401928c46c5e1d558fcb79362ecb5934,2026-09-11T13:11:48.842Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
14njknJMhWcV8oQkq6O2gahCa0Pou2--O,3_166 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_166 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4432331,1080,1920,9:16,STORY,9999,33c6091a30e7e67b02768ed1b8ea7c64,2026-09-11T13:11:01.911Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KZL6HW3ujxF_7iT6sn11oVEk3DKPXPOT,3_182 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_182 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4540886,1080,1920,9:16,STORY,9999,9a291dc1893ddd878726b99de1aea9ea,2026-09-11T13:12:03.803Z,2026-09-11T13:09:17.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18w8uOU6CKEdxGKlLNVxFEcrUZ5w4MIwM,4_168 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_168 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5724783,1080,1920,9:16,STORY,9999,ec8176796185b57b4972ef7f56be22a4,2026-09-11T13:11:20.253Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KmTk92WldIcJ1lR1xUSFCLh-NEWHzjWw,4_174 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_174 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5799221,1080,1920,9:16,STORY,9999,5f2d41e46550138c8ce38d2cbaa9f901,2026-09-11T13:11:56.425Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-r9bGDb_eeO8y3VqTem2Se8XyBfSInXw,5_171 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_171 US_SHEIN_EN_11-09 - LIQUIDIFICADOR (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5655195,1080,1920,9:16,STORY,9999,43c275a3f33104568c164eb5afca6b21,2026-09-11T13:10:59.443Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1dj_Fm_S7DuCmVyrbKG6jKRv1iTayrn5D,5_178 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_178 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4883708,1080,1920,9:16,STORY,9999,838604732e1dd464ef063cf003d29768,2026-09-11T13:12:06.251Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1eOg7G2LxTkjH0e8SQyZ8McwztIZ6jW_7,6_155 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_155 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4933708,1080,1920,9:16,STORY,9999,d2bf81d74c2fbaaaa165cc19177e00fe,2026-09-11T13:11:17.838Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1fvbfSG3F0DRStSrITnWRo5-AmbTpwAtF,6_181 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_181 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4926963,1080,1920,9:16,STORY,9999,e6f41fb7499558b1775cdb4f1005b4d6,2026-09-11T13:11:58.770Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DCG2FqBrMxXcsv4Td8ITn2nNljLWxF_d,7_165 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_165 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4562032,1080,1920,9:16,STORY,9999,ea8ecbf5634a69da58d5d61881735c94,2026-09-11T13:11:12.565Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cD1Cib3-QVu1abY_Dx2oWqBNM4IJ9PIg,7_185 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_185 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5377719,1080,1920,9:16,STORY,9999,8ec0b9e297c23b6a8783cb17058d3601,2026-09-11T13:11:51.510Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1OXCTeBfJhnGbsZKH824W0iQVfQF-DVK8,8_162 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_162 US_SHEIN_EN_11-09 - LUMINARIA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4315550,1080,1920,9:16,STORY,9999,9fce0ecfb32e82a8d51eb3d375e420a6,2026-09-11T13:11:15.124Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XiGF-w6bQbEo-B7re481VPW81MlJPkF-,8_176 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_176 US_SHEIN_EN_11-09 - TRIPE CELULAR  (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4386857,1080,1920,9:16,STORY,9999,f200a5152511f655166bd95d0553a66a,2026-09-11T13:12:08.804Z,2026-09-11T13:09:16.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VrBPDFCAek6iK1szysxutBLcp5XRlnae,9_157 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_157 US_SHEIN_EN_11-09 - ESCOVA ELETRICA (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4982573,1080,1920,9:16,STORY,9999,760f0c0d277a953bee4dd85c41d30618,2026-09-11T13:11:09.801Z,2026-09-11T13:08:55.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
