drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
19a7nV-pub9Tap3w7XyS4ZCmaitr2TL7U,1_07_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/1_07_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,4772364,1080,1920,9:16,STORY,9999,0da5c8226121f77ad03a5347fef1de33,2026-09-14T15:47:12.084Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
197_QtWuScAKVqlvyWilJj9MA5G0HVMUi,2_09_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/2_09_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,4435214,1080,1920,9:16,STORY,9999,9eaebc83941fa2d78c0afc7cad3d9fe6,2026-09-14T15:47:36.156Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uMqKhq3lNHqXmcP4OzXQSRlcKUfbS3wN,3_08_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/3_08_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,5171012,1080,1920,9:16,STORY,9999,b4cfcd151486c543e198ac7f7b515e55,2026-09-14T15:47:25.740Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1hecLhGpINaiDaHeow32q4JW7Z0huhUhb,4_04_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/4_04_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,5492448,1080,1920,9:16,STORY,9999,d8c2821497564d5c5bc1523728d9ac89,2026-09-14T15:47:29.340Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10i34c0UDb8IhfIqkGGqKoCVngysPEtZZ,5_10_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/5_10_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,4110291,1080,1920,9:16,STORY,9999,e744e3e6ca209c0a3ef92961e1e4f981,2026-09-14T15:47:22.135Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DnVg1YdgB18rvSEHoy8kdqPrHF6aKUYt,6_05_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/6_05_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,5462790,1080,1920,9:16,STORY,9999,4da099894f950a524007c87af4e30a87,2026-09-14T15:47:18.665Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vCGhT4KVnSWXqg2XKpL-JWcKmV9G4dM4,7_01_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/7_01_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,4069771,1080,1920,9:16,STORY,7999,af85ac028085869324397d06d949c89d,2026-09-14T15:47:15.407Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VFbdrPldh_Q_39n7_B_ghofgPFsHcJNQ,8_03_us_cc_es_09_14.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/8_03_us_cc_es_09_14.mp4,7603717946560939386,video/mp4,mp4,VID,5046023,1080,1920,9:16,STORY,9999,1c45a557cfb4e3d6a3e3d60501a9a726,2026-09-14T15:47:04.829Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ggCGdQvs8Sx10UtICoutMFQA7bIF1TfA,9_06_us_cc_es_14_09.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/9_06_us_cc_es_14_09.mp4,7603717946560939386,video/mp4,mp4,VID,5666623,1080,1920,9:16,STORY,9999,4c8a0ebffd2748addb0995c12c824e5f,2026-09-14T15:47:32.909Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RNnXFfOwc_CrjHgtKPZHlFpUsL2CzNGU,10_02_us_cc_es_09_14.mp4,CRIATIVOS/UPLOAD MANUAL/7603717946560939386/10_02_us_cc_es_09_14.mp4,7603717946560939386,video/mp4,mp4,VID,3820460,1080,1920,9:16,STORY,7999,e4f533fccd9ec054217beee613d502e1,2026-09-14T15:47:08.931Z,2026-09-14T15:46:28.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
