drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1H_OPIqZQ_bjUzgaAPMmMc9Dvih6619SD,1_74 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/1_74 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,11216174,1080,1920,9:16,STORY,9999,24ac24c6ed961f69133647e746852ed3,2026-09-14T20:50:03.168Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1yCyB-maiz6IqkkfESi7PuOWR9wmNwB87,2_340  BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/2_340  BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,7127659,1080,1920,9:16,STORY,9999,da7f951a49e7a0cccda51bf7a7818b2b,2026-09-14T20:50:05.923Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
12B_fO5MskP-03fXSb_HJQBoHfLsotYrR,3_337 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_337 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8741701,1080,1920,9:16,STORY,9999,7b6c97b2eba9f2109eac55ef2f4d8980,2026-09-14T20:49:44.934Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1FE7GJR21SHDbiYYWlTgn5r0G--jEvaPn,4_330 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_330 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9788772,1080,1920,9:16,STORY,9999,4a303798fcaf7e2529574e4e793bb8a2,2026-09-14T20:49:54.839Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1u0ue-aKFvpn_8b3UYElYIVhCq411oSYx,5_329 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_329 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9580571,1080,1920,9:16,STORY,9999,ee317ea0867a3b73c61b57e5b5047df6,2026-09-14T20:49:48.210Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
12sRH1yLcxtQQLRPWnuIWbTLiYUe5yLLQ,6_341  BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_341  BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,7341076,1080,1920,9:16,STORY,9999,88d0ce82bcc4b80296caa3d0bae25bd5,2026-09-14T20:50:11.939Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vAlOrdnfmSEOeI6X7Mll1VX2ozodojVh,7_331 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/7_331 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9650876,1080,1920,9:16,STORY,9999,edd46f5601dd9d23401eb5b1f88198ce,2026-09-14T20:50:00.073Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1UJzGaASd2lZe8OK_Rqx_r2G3enVQv5uN,8_333 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/8_333 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8914612,1080,1920,9:16,STORY,9999,abf6d5f2d227400354619d75417edddc,2026-09-14T20:49:57.429Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1roB-WH7bLtkADAwlpvUe7yV79-Q1_qqr,9_335 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/9_335 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8079800,1080,1920,9:16,STORY,9999,2e64ae6b558f55a2fc5636548a5e1532,2026-09-14T20:50:09.565Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QXnGk8FFr-pnqDGiyIopB6tDgNHFIlIE,10_332 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/10_332 BR_CAR__BR_14-09 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9708690,1080,1920,9:16,STORY,9999,3c1648a395044c60be33400363807ae4,2026-09-14T20:49:51.684Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SOMbM_kwdTlKehUmCigNQaITHn7VH0HN,11_73 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/11_73 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10869992,1080,1920,9:16,STORY,9999,b5ebcd11ead257c5e86a5e1bf2ab4d88,2026-09-14T20:50:14.791Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1tdr5unUsAy7c_R3PKs89DdPNOiT4nk8b,12_70 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/12_70 BR_CAR__BR_ MOTO 14-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,11298959,1080,1920,9:16,STORY,9999,51c4e358e76a6c549dad7a5789fd3dd6,2026-09-14T20:50:40.290Z,2026-09-14T20:47:01.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
