drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1e0XVuxp62iqTmNk0oOiYx9FjiTAoCzvD,1_254 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_254 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5845131,1080,1920,9:16,STORY,9999,a1f7671da3df7c944d9ac0f6ee3b6ea7,2026-09-18T21:55:03.150Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13FJWKGNVEpXucigc2tBokB_TCZgaYlPq,2_262 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_262 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6564597,1080,1920,9:16,STORY,9999,10256ee04cd7577d7a936ba706dce3c6,2026-09-18T21:55:23.337Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uj_3qawiZGi41i5uBciDyrxHZ-2wYIKM,3_270 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_270 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6839518,1080,1920,9:16,STORY,9999,c8f6c1059552b94a9994b1b57855f00a,2026-09-18T21:55:05.876Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1cBznLjFLrq0XhRbitWk2wn6xSNWVaOHE,4_265 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_265 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6204098,1080,1920,9:16,STORY,9999,1f6aa5d6cd6ede109226ebc24623a5ad,2026-09-18T21:55:10.795Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1bn1AC5nT84hJqdbdC8omAiw517C0XT1r,5_271 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_271 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6019942,1080,1920,9:16,STORY,9999,da9d553d8bfbef16544c06867091e5ce,2026-09-18T21:55:08.457Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1OpVoMxLmen9pMXsoB8Qf2J7bEXRVu-GP,6_267 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_267 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6471994,1080,1920,9:16,STORY,9999,6ea417e8a70a72dedacde826ee5b460c,2026-09-18T21:55:18.171Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1kujRdG6LB5wreTH7xw7qEcji92EfTObs,7_273 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_273 US_SHEIN_EN_18-09 - CABIDE (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5964975,1080,1920,9:16,STORY,9999,c04e54115a8f457236c1718b533c514f,2026-09-18T21:55:20.688Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1yfY8ftyWWlDSNvckYjByKVMsJyogynAx,8_264 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_264 US_SHEIN_EN_18-09 - LOOK TREINO (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5816365,1080,1920,9:16,STORY,9999,bf0743b5900d30c31984876956cbf669,2026-09-18T21:55:25.718Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1sJsdRjF5bsPZU6lU7gB9xGWjCgph7-DA,9_260 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_260 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4737232,1080,1920,9:16,STORY,9999,1741731e2d82b3ba4f251d8dd80b412c,2026-09-18T21:55:13.242Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1gDsKHdUeNrxw4udnSOaYas_D1VrUp5Jg,10_253 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/10_253 US_SHEIN_EN_18-09 - OCULOS (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5768319,1080,1920,9:16,STORY,9999,88cb26f3bce1415dc723b0437a5512a6,2026-09-18T21:55:15.607Z,2026-09-18T21:51:28.000Z,SHEIN,medium,folder/name keyword,SHEIN,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
