drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1u1uFD_X4zxmw44jxgV5T2lNNcWgp6up8,1_39 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/1_39 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6708263,1080,1920,9:16,STORY,9999,e102cc98f60a6370e830c3e0bcbe0056,2026-09-03T17:50:33.875Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1scdyQUzZRWgVdtmH9dzMdMq2IqVgQKAp,2_38 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/2_38 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6633147,1080,1920,9:16,STORY,9566,5c33c671223bf74cf9a7055fbf1c8449,2026-09-03T17:50:40.964Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Hll0XdAsE2iM_L22VFk4-29ARYYMctVo,3_40 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/3_40 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6698444,1080,1920,9:16,STORY,9999,f191148766713a38f9b2727f0aa78bc8,2026-09-03T17:50:43.913Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NnV3-OJilmES7FE3nPwrIc--ZgpS8zgK,4_31 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/4_31 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,11516900,1080,1920,9:16,STORY,9699,785c212c6b1461fb943c1876771d07d1,2026-09-03T17:50:47.059Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1rcynkWE0UiV_LNnOavhT_1VsM3FOxfvg,5_30 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/5_30 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10556665,1080,1920,9:16,STORY,9733,1224836cfdf96ff72f3ed9800ff05366,2026-09-03T17:50:37.234Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GFC_0zXLjHVc5V5gSP0YPrfZUB-AW4yj,6_52 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/6_52 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8597220,1080,1920,9:16,STORY,9999,22ec0ef67a12d52ef77ada7ad31a4754,2026-09-03T17:50:30.403Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1G_MAYsD0oyqHI1Yv0Lhv00YzV-hDEfDc,7_48 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/7_48 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8564663,1080,1920,9:16,STORY,9999,786fe5eaae0f21948a37dc1a816a2abb,2026-09-03T17:50:53.666Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1msLjPzP6jpMTx8tBUytj3MrCNBFSoG1S,8_29 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/8_29 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,11402139,1080,1920,9:16,STORY,9866,272ad800ac7add25384c46cd5e0945ff,2026-09-03T17:50:50.469Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
17e1jaZynBF0o1LEpHy3W1hR-oFcM7FxE,9_42 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/9_42 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6708263,1080,1920,9:16,STORY,9999,75add6f0f524f9cbc308b5bfe2f05da2,2026-09-03T17:50:26.631Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Gz0y6gkjB01maOhySnNBbVFrylH7F2eC,10_44 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/10_44 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7277535,1080,1920,9:16,STORY,9999,674333aef8dace4789ada1b99acabbd7,2026-09-03T17:50:56.464Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Xpe3IbJz1UZvQNo2i_1pWXmSTkj0yibG,11_49 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/11_49 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7745411,1080,1920,9:16,STORY,9999,8f3dbf8950e72d625d4f6ef4b42f2ea4,2026-09-03T17:51:01.955Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1CWD0t_e8csfTmt-WB5dpbd4kipW6PNxF,12_47 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/12_47 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9874735,1080,1920,9:16,STORY,9999,237ddb27afc11c8b87ff4f720db87c1a,2026-09-03T17:51:08.712Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1rBaVnCN8pjhSOtArreME9o_euz9K6VQA,13_33 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/13_33 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10533164,1080,1920,9:16,STORY,9999,8e1e9e331ccf85c8f3dceca4771e947b,2026-09-03T17:51:05.856Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pOSe0J6v54ZUCcDkw6lrYLrjr8Wd8ert,14_36 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/14_36 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8172636,1080,1920,9:16,STORY,9999,86e8ce0ab82cfbf928005c3a41cbef10,2026-09-03T17:51:11.387Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13kEwMzF_OuMJIe7EbJTKRUI5ZtFmWE2g,15_51 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/15_51 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9203517,1080,1920,9:16,STORY,9999,15dab62205ff6525be2af1f64595e733,2026-09-03T17:50:59.262Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pGwKBy7uoTFkkx4AxLoPtXYCNVofVluc,16_43 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/16_43 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7510392,1080,1920,9:16,STORY,9999,2cf10f2e6d0226ec43ed6a9efd25c0c1,2026-09-03T17:51:20.285Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Mx1EqNJyWKPbs5b-C7b9UioreHwp3XAz,17_34 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/17_34 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6768358,1080,1920,9:16,STORY,9999,e3927c3885186897445f44bd8e47cc89,2026-09-03T17:51:27.911Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ZvCCZP_7wzeamthDHP2XUNk43vklAW-_,18_32 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/18_32 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10502828,1080,1920,9:16,STORY,9833,20637afe8fef7fecf286d91b3c93b7bf,2026-09-03T17:51:24.010Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ysQ7S059uX7c9Q67cz_j93ykpTETRLwB,19_46 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/19_46 BR_CAR__BR_ MOTO 03-09 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10218064,1080,1920,9:16,STORY,9999,f1118e4535cbc73e479222f73756306f,2026-09-03T17:51:14.430Z,2026-09-03T17:49:23.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
