drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1lzPJFWZwUxrKcr57QGf19JRRLMUa7uYU,1_02 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/1_02 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,7788698,1080,1920,9:16,STORY,15066,7806f8f60036698d22ff32656a2a99e3,2026-08-22T20:11:03.085Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QphbFodYY-PJloi-5heUBOmCfWPEIbfZ,2_08 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/2_08 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,4913896,1080,1920,9:16,STORY,15033,831196c832c9a680a109eea29b80e4c5,2026-08-22T20:10:56.234Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1IHzmKitt0REWbZSgExlvZsu23PihE5WU,3_05 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/3_05 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,7477440,1080,1920,9:16,STORY,15033,66d3044eb3915031bdfb935e985772e9,2026-08-22T20:11:16.061Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1CTp4hwOC2SBV5GcuVn9RFZtEv-Ifxihg,4_10 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/4_10 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,5907232,1080,1920,9:16,STORY,15066,f8d90391f1a0221aa909c181be884947,2026-08-22T20:11:22.347Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1M6eryDcy2w6_QaZKvR_3fX08s9RPe_Yf,5_04 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/5_04 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,7478379,1080,1920,9:16,STORY,15033,ab93f92f52b2f1b913615618288f7a0a,2026-08-22T20:11:30.851Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GmWuEEfm-ATrHjCl6i0eUm4CNMr3-cdE,6_06 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/6_06 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,7571628,1080,1920,9:16,STORY,15033,5ea8126cd3a0c70046c773f7752bc64a,2026-08-22T20:11:42.847Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uZd0yUblX25LO4UwuevnSDJ_9yvT9X58,7_11 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/7_11 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6099713,1080,1920,9:16,STORY,15033,38da432e26f39df009548387167739e9,2026-08-22T20:11:55.194Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1wcz8k1prer6jfzM_7z9yTUo95gv3EFqc,8_09 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/8_09 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6329227,1080,1920,9:16,STORY,15066,6e7fc472ced6a3b9e26754d857d4c36c,2026-08-22T20:11:36.271Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uMXrGfbHyvkOTYKMglz0W05T7bJRIDFs,9_03 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/9_03 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,7876617,1080,1920,9:16,STORY,15033,f46c1b1b244c64e40d34e74f8775fa6a,2026-08-22T20:11:49.405Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1yjlKq7ET5Zhb-69UQgeBDiLDGa_NfRbF,10_01 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/10_01 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6279346,1080,1920,9:16,STORY,15066,593ea7f91b25ed78b60a28940b753533,2026-08-22T20:11:09.762Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1fTTCqnL_kwxhNkSmuX0aYOKz7LwkfdhG,11_07 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/11_07 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6531660,1080,1920,9:16,STORY,15066,dde6085e43d468309c3f838f85ee603b,2026-08-22T20:12:01.295Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1zJ1-W_9sOGmNva315THpsiybnbbB9Ev7,12_12 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,CRIATIVOS/UPLOAD MANUAL/12_12 US_CC_EN_22-08 - IA - Story (INGLES) .mp4,ROOT,video/mp4,mp4,VID,6152394,1080,1920,9:16,STORY,15033,6e1f47e2ad2d4a3f121bc0274cb8083d,2026-08-22T20:12:07.112Z,2026-08-22T20:03:04.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
