drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1aQcjH8EidXjtNZLYTrbqwN0tWpdllX5-,1_212 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_212 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,7917884,1080,1920,9:16,STORY,9999,6d2a30fde24015a41b221e04569e3d12,2026-08-20T20:33:09.953Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10sedkD3DeIYtvttgQmPLY9tXhcUsV3oZ,2_213 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_213 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8234690,1080,1920,9:16,STORY,9999,40e230ca48c5dc22c1e08c5f9fa6678e,2026-08-20T20:33:30.279Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
17CxEwwKeeG_jcdCw-Wktpm0APZEBz-wx,3_217 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_217 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8563773,1080,1920,9:16,STORY,9999,3a5cbab364302062bac6c430b8072ae3,2026-08-20T20:33:57.450Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1IzTGwiB6PQC-biksxxKk_QNbGvbL4abn,4_223 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_223 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8603512,1080,1920,9:16,STORY,9999,8f9f993603f66bbb1b58da36ee8f0ed4,2026-08-20T20:34:12.256Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NV6oBpYVVAkgWXFV4wlxHxzQnjSpYSRa,5_222 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_222 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8763513,1080,1920,9:16,STORY,9999,a03dd51934925e0d818abc652bd976b4,2026-08-20T20:34:21.597Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KgNi6qTR_b8pSekYAPcYfbOmLEDbebaP,6_220 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_220 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8658108,1080,1920,9:16,STORY,9999,f051e620efcd9d4703a9d10cc4373e1c,2026-08-20T20:32:52.093Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1UDaqlN27NQHXoEiBQYweTZ9CyylWhNOO,7_219 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_219 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8685585,1080,1920,9:16,STORY,9999,effbc6add5ccc6f9a7e85212e119a45c,2026-08-20T20:33:19.791Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
14kJl8IiCYQb_QgQZTCTLoxP2-aLTYUKG,8_211 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/8_211 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9630877,1080,1920,9:16,STORY,9999,749be2e5b8e3eab3618febfbfa73c5d6,2026-08-20T20:33:46.575Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oFPU7E6ViN9gghVkuTnFt8XnJ7Yep-nk,9_218 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/9_218 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8561118,1080,1920,9:16,STORY,9999,e5f28e9236aa8b6dfe0c15481cc2f545,2026-08-20T20:32:59.254Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uNyMa20juOo5L_JwLFFLMLh01WXadjQd,10_216 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/10_216 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8561118,1080,1920,9:16,STORY,9999,9a94ea708a3f93436d4c9172dc977876,2026-08-20T20:34:32.684Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1qB47N_MD8FOzTK_aQOl9HdqjLb13Bqvn,11_215 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/11_215 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9714768,1080,1920,9:16,STORY,9999,a808f23f341a2733b3c9c4e508b10f5c,2026-08-20T20:34:42.021Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1s7eLcPrLY8JI9sfiQbmFF-SfF0w5-xGd,12_01 - Story ( ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/12_01 - Story ( ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,4435042,1080,1920,9:16,STORY,7999,b5b08463a7fa3002c9d2b0f5eeab1bdb,2026-08-20T20:35:11.130Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lZ34i_SfFB0DEkGd9fJ4uJzO4ZAtSdOY,13_221 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/13_221 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9967299,1080,1920,9:16,STORY,9999,83fae3102356bc8f0bd1f89c126edb52,2026-08-20T20:34:52.276Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1MZUsyZf6qCrJ16X8T1w_moZvBdD-xhdD,14_228 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/14_228 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9033678,1080,1920,9:16,STORY,9999,0ce13a6913b86e9dff4adb0248211d7c,2026-08-20T20:35:01.808Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1J5t9-DhqOYnPbCvt4EqrrBsNVTG2j7kR,15_229 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/15_229 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,9603836,1080,1920,9:16,STORY,9999,34c090f4c458f64eacf385bc374bfb21,2026-08-20T20:35:19.899Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1csr0NlkJQ5shQedStqrOALdVrXxQpm7v,16_227- Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/16_227- Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8587285,1080,1920,9:16,STORY,9999,870bafeea472b05ca19be72cb32ebb51,2026-08-20T20:35:44.789Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1CsokZIaxiVVbWJQq749CT_12th0Je8gU,17_226 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/17_226 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8455346,1080,1920,9:16,STORY,9999,f4a39ea2d46a4360e26cad095d0d58ff,2026-08-20T20:35:40.513Z,2026-08-20T20:29:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
