drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1mJwZjMU3BVPGUPQ7GBxRTdK-IigUlOxK,1_01 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/1_01 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10458955,1080,1920,9:16,STORY,9999,c4d6f20270930f582300bd5469c06b11,2026-08-26T01:03:07.359Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1urFimCLhmki4R6dFsSIkOvZybTAQiyTx,2_10 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/2_10 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9132375,1080,1920,9:16,STORY,9999,f1b230fea5e17b9fd3f33af998e33d1f,2026-08-26T01:38:13.246Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1g5JtGXxI6N0DWvmb_bFmShRTp5KZTMLo,3_11 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/3_11 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9225706,1080,1920,9:16,STORY,9999,a96aa5d3c013eed252327c550511e87d,2026-08-26T00:14:03.959Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1aU6v8tAMHfykbG0FSwF6tu48rEfIdI3T,4_06 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/4_06 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10456056,1080,1920,9:16,STORY,9999,e7fafd7bec49eff2ab7342d01d68c01e,2026-08-26T00:16:46.438Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1euqorSWmIjau3UdVwsegAPi9jH09wLte,5_04 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/5_04 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,10086348,1080,1920,9:16,STORY,9999,9f158f2e9c3133b902c0dc93da9b7a04,2026-08-26T01:38:01.395Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XSLAcFH3lrwDT3m8r1eBKlMD3pwt2Du8,6_05 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/6_05 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9962741,1080,1920,9:16,STORY,9999,b10c6f8f2e6c27aee7b5d808225dc5a2,2026-08-26T01:37:50.248Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18alQq8aWevit3AIgS4IB9pz8xWyE8UMN,7_08 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/7_08 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7454752,1080,1920,9:16,STORY,9999,4f4f0a2006bbf2a1878ad130ae182926,2026-08-26T01:37:39.623Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
19AwopyqfIZRS6T5TgD64JMNdDOcR_OCD,8_03 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/8_03 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9797185,1080,1920,9:16,STORY,9999,2ab6d834a63b19ca33b0414772231eec,2026-08-26T01:38:25.207Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
19YxI2KoxDFlH3rWA6a8-p8cVDl0i_UYK,9_02 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/9_02 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9793212,1080,1920,9:16,STORY,9999,414ea3fd6e8385afbf0c880fd8ca3775,2026-08-26T01:38:33.675Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oYrP7kLZdjVB88v_4c_uHWgpJvFVayZN,10_12 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/10_12 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8740441,1080,1920,9:16,STORY,9999,2cc29d05a57104e959d05f2f56af0f97,2026-08-26T01:38:42.544Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Epkqx0HbHjv_DQVG9BuTBBqslQFiOtPQ,11_07 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/11_07 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9175919,1080,1920,9:16,STORY,9999,6aac068e4668cbb4427e8ebd8e6600a9,2026-08-26T01:38:59.436Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1jlFFWE2CadSGDTBdiJeUQ_xrp9Ady8Qr,12_09 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/12_09 BR_CAR__BR_ MOTO 25-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7958755,1080,1920,9:16,STORY,9999,7ca45cfe47a4a20a2428180fe02347ef,2026-08-26T01:38:50.171Z,2026-08-25T22:52:10.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1YyhT5C7MemzqjYhWp0mmrwp06skFSNPU,1_2_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/1_2_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4497486,1080,1920,9:16,STORY,7999,c8621b056007122aa7f68bf6d35e9254,2026-08-25T15:14:00.627Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VjuRcFb2ZIYleGtvCB7foMEROgz2cCxl,2_8_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/2_8_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4410671,1080,1920,9:16,STORY,7999,38b182e2f0ed15ea307d687319e2ef4f,2026-08-25T15:13:57.586Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Bb9C1o0PcOCaGhsgsXAhiixUKDCCFe0v,3_10_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/3_10_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4706954,1080,1920,9:16,STORY,7999,9244df41d2f3c56d38a997fc71890018,2026-08-25T15:14:03.721Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
