drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1xtV79sIDzXaATs07pRBuwo6Xjcb61tm-,1_202  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/1_202  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9255384,1080,1920,9:16,STORY,9999,5cc18f89487ada665ac92c9c785aadb1,2026-08-28T19:16:41.984Z,2026-08-28T19:10:37.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oJJFwTD78EbeopkF8oLlXYcxPgNpAo5l,2_192  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/2_192  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,5980191,1080,1920,9:16,STORY,7999,3126d0bf648360a0c8615ad0de8a34f4,2026-08-28T19:15:25.182Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
14LvaO5S8Um7eFNQG6ZYSdgM_yG7k9m-6,3_188  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/3_188  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,7706676,1080,1920,9:16,STORY,9999,8b8472b3e69cdbdfeb2f8d031aaa91e2,2026-08-28T19:16:23.881Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1g_ZSmciIWxd_ASfgnGFLcFwhXea0rSxr,4_205  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/4_205  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,10270182,1080,1920,9:16,STORY,9999,45dd49d7145e020ef5c6105ca8e3785f,2026-08-28T19:15:09.285Z,2026-08-28T19:10:37.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Tm3vouFCyCO4_t4za9sIF3C7RaYeLTsF,5_196  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/5_196  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8858809,1080,1920,9:16,STORY,9999,7563a69a790c381b2d47d61b3c4550ff,2026-08-28T19:13:52.804Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1I48FZPNBUxb4oPX4ZN_qdFFmiaWU1F8o,6_193  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/6_193  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,7085062,1080,1920,9:16,STORY,9999,a3650d2b90a8077e11b46563ac87934e,2026-08-28T19:15:46.235Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
187dTAofYWIRv5pjvIKe4VKcgo4hoWqaP,7_199  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/7_199  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8264486,1080,1920,9:16,STORY,9999,a02862c2f0238a931f8473af76a39557,2026-08-28T19:16:03.393Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Rp6ssvoq8YxWEnXg2Qy61zF7-lRhWvtB,8_200  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/8_200  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,9097265,1080,1920,9:16,STORY,9999,4c6def42aa04cd1ada323feb7f700693,2026-08-28T19:14:36.813Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Dnf-Zxw0pEyoJ2077l3x1hwMWulkkytV,9_191  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/9_191  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,6896446,1080,1920,9:16,STORY,7999,e5ac85a202b588abd2b0f3ec3c192362,2026-08-28T19:16:53.916Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1iY10ZABn7er-mfllLLY07BpsCf7JlaLy,10_195  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,CRIATIVOS/UPLOAD MANUAL/10_195  BR_CAR__BR_28-08 - IA - Story (BRASIL).mp4,ROOT,video/mp4,mp4,VID,8888121,1080,1920,9:16,STORY,9999,660525c18805946fa00d24231bd0a38b,2026-08-28T19:17:04.602Z,2026-08-28T19:10:36.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
