drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1AhQHqTRGcflcFYvVAQym0t-wig_nu0D0,1_24 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/1_24 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,7964437,1080,1920,9:16,STORY,15066,9b6ec01bcc116902c87605b38ac0ced4,2026-08-21T19:06:00.010Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1xskBEsT6lubFxLnCJKbqI5zhPpfXEdP-,2_29 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/2_29 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,6956708,1080,1920,9:16,STORY,15033,e669f67aac8cc024dea89a83b6b11881,2026-08-21T19:05:44.108Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oxfI3cAuGcLlXRhBN-wHCjahfCYAn5M1,3_30 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/3_30 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,5950867,1080,1920,9:16,STORY,15033,29e5a223cbc9ec230d21aaa11bb6d321,2026-08-21T19:04:50.868Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1adnK93DC6ZkTBdPzvplcmKtifc6BY9bN,4_26 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/4_26 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,6149506,1080,1920,9:16,STORY,15066,430527f99d3d6546399ecb86ef39ea92,2026-08-21T19:05:24.855Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1iG76OywyXWGnGq_ETt1Rv-2YZrGLMIZ0,5_32 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/5_32 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,5921584,1080,1920,9:16,STORY,15066,601e600a1667a89f809b136fc81c9754,2026-08-21T19:05:51.331Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NlSmThma594akUE_ayf0DrQZPxTshpgM,6_27 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/6_27 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,6333290,1080,1920,9:16,STORY,15066,82b75a69123b7d2adb1320ff820d77f2,2026-08-21T19:05:35.209Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1b11exQen6K3_X5Fh1skLn2emJczWlYNY,7_21 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/7_21 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,7388299,1080,1920,9:16,STORY,15066,a1f99ff77f01f6c37edbbee3e88af50f,2026-08-21T19:06:38.650Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1WfaVarE3YU8j2Ak4ImezoOu1p1xp39jy,8_28 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/8_28 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,6143432,1080,1920,9:16,STORY,15033,6a033f8fe1f452697b0999466f5481f8,2026-08-21T19:06:08.590Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1IF7kv30ffsFNmBBo6wMpsjiLnEQ44TI6,9_31 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/9_31 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,6225238,1080,1920,9:16,STORY,15066,32b2932d04a6bfec9574e1d4980f97d8,2026-08-21T19:06:16.955Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Tg0bQMXbfIAtmE0cadcm6Oin8_Jjd_6f,10_23 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/10_23 US_CC_MEX_21-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,5861215,1080,1920,9:16,STORY,15033,e68691eca55fefa6e61d901627bdbee3,2026-08-21T19:06:29.538Z,2026-08-21T19:00:57.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
