drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1QBpa4Nxs5lFxTlxCupwVbZRj0C8EShBo,1_2_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/1_2_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4295784,1080,1920,9:16,STORY,7999,9d3b9b0e38c337190fbf7085ee79b20c,2026-08-24T15:18:20.558Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_x2cTFwc-77lMsASGyUcX_ki1D4tAiJX,1_08 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/1_08 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,6254655,,,,UNKNOWN,,0e338cf51a1b9e28c4bff1227bc31176,2026-08-24T15:47:46.247Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1UQw_G_wND0NEmlDSDYbAPokFLLzVVASC,2_01 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/2_01 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,7259892,,,,UNKNOWN,,58e0811321ed463b3f0c514d5d621cb1,2026-08-24T15:47:37.886Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18d3ho4XTxkJ68wCZPEhGJmeFBRZRpMn3,2_10_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/2_10_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4358382,1080,1920,9:16,STORY,7999,15a80fde4d5abd6323921080f7606d17,2026-08-24T15:18:04.108Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1RdexbjZT7EgK1ruh5rGIsW9J7rEQlmqc,3_06 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/3_06 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,7119480,1080,1920,9:16,STORY,15066,c1101fd83bfa0efcea6abddaeee5cf15,2026-08-24T15:45:13.984Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16_uFkv9CC_50O7O_FSDn_NeQQZV5lD6I,3_9_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/3_9_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4509690,1080,1920,9:16,STORY,7999,2ea04f7cc9c462c040bdd27ed202ed83,2026-08-24T15:18:10.447Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1IPrSbjFyRsPfRrZlvRjoJyLqd-1tGjAc,4_3_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/4_3_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4762774,1080,1920,9:16,STORY,7999,3d021c427dc3a98faefe36eb0866e1dc,2026-08-24T15:18:13.953Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SlTOYvLBfpRlIRnbRovxIkVhs7N6aGNA,4_04 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/4_04 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,5834728,1080,1920,9:16,STORY,15066,47054c83f1a8bf0cb94cb2a1753645b8,2026-08-24T15:47:10.297Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
17uXot5OjUWiHp_R9TFceGg_SC11FxgGJ,5_02 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/5_02 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,7301181,1080,1920,9:16,STORY,15033,58b6ff10c8bf0b52d8a56f6121062deb,2026-08-24T15:45:01.618Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lqpYBzWfsukFQDxXxg33HaulPu0ASS2E,5_8_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/5_8_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4396034,1080,1920,9:16,STORY,7999,d852eaea60ad31b0d3ebe771973d955f,2026-08-24T15:18:17.042Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pc9121y1A4vQ9HC-M4beoDAanvHEFf64,6_7_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/6_7_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,5345667,1080,1920,9:16,STORY,7999,6db54ac765871e491e8c30393dca4192,2026-08-24T15:18:00.756Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1zvcTYlsS0bF8Lcs-Qnjt3gbOy82tE4kw,6_09 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/6_09 US_CC_ES_24-08 - IA - Story (ESPANHOL) .mp4,ROOT,video/mp4,mp4,VID,7187658,1080,1920,9:16,STORY,15033,6035e448c6554faceedc3ecd8ad519ad,2026-08-24T15:46:39.922Z,2026-08-24T15:40:43.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1zdk8TpXj96W3-HkxK8ruzDdkojlP9gY4,7_1_us_cc_es_24_08.mp4,CRIATIVOS/UPLOAD MANUAL/7_1_us_cc_es_24_08.mp4,ROOT,video/mp4,mp4,VID,4446998,1080,1920,9:16,STORY,7999,bbf3a6d34cda69a27cdc1a1ddd51c2f4,2026-08-24T15:17:57.445Z,2026-08-24T15:16:35.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
