drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1dzPggzQ7pudy0reDrGc_6hNpGsGj9ArG,1_espanhol 01.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/1_espanhol 01.mp4,4551400740471040816,video/mp4,mp4,VID,4646149,1080,1920,9:16,STORY,7999,973e9560e0ce67d32b4f682608e48532,2026-08-20T19:37:49.692Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1uQm4BmZtpY9owN4mphCL3Gj0YUnnBL_c,2_espanhol 06.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/2_espanhol 06.mp4,4551400740471040816,video/mp4,mp4,VID,4583179,1080,1920,9:16,STORY,7999,42216ef4d711a918d4477c02c08330b9,2026-08-20T19:38:09.915Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1msnB6ojEu8e4x9ZXx9AO_iY9IqMqJDzK,3_espanhol 02.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/3_espanhol 02.mp4,4551400740471040816,video/mp4,mp4,VID,4334145,1080,1920,9:16,STORY,7999,f703ff4a9abf0fa09afd55e9b2b363c8,2026-08-20T19:37:53.916Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
19wxz3s_jJJcjr4I2N0PxagBq-goO6kYX,4_espanhol 07.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/4_espanhol 07.mp4,4551400740471040816,video/mp4,mp4,VID,4389208,1080,1920,9:16,STORY,7999,96fa605a64dcdf23134ec026708c18c1,2026-08-20T19:37:58.332Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
14cVBP3PzWOAlzcg7BFF0sy8LAqS0CC7d,5_espanhol 07.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/5_espanhol 07.mp4,4551400740471040816,video/mp4,mp4,VID,4376108,1080,1920,9:16,STORY,7999,fd64e30b15efda7c2acecfb3f1d4fb6e,2026-08-20T19:38:02.418Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ZYSVVFlOAZ_h52SSK428FYoNeItLiuFg,"6_$14,760.mp4","CRIATIVOS/UPLOAD MANUAL/4551400740471040816/6_$14,760.mp4",4551400740471040816,video/mp4,mp4,VID,4872347,1080,1920,9:16,STORY,7999,e7feec95e9eee187763911d14c53f797,2026-08-20T19:37:45.151Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10EWla63q15QXKaLm2836-hN0pz9GYEPw,7_espanol 03.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7_espanol 03.mp4,4551400740471040816,video/mp4,mp4,VID,4229679,1080,1920,9:16,STORY,7999,e20b9cde4dc5859d2f25da6e41ce8378,2026-08-20T19:38:13.691Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pxhPXSP6UPy5Ee_Pp1OUfa3rDmc-otVQ,8_espanhol 04.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/8_espanhol 04.mp4,4551400740471040816,video/mp4,mp4,VID,4267710,1080,1920,9:16,STORY,7999,1bee7493bad44e16bd98db2aa6fee552,2026-08-20T19:37:39.012Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1stuRf-KuG0f35FsX8YHJvBcLR2QC7Lqn,9_01 - Story ( ESPANHOL) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/9_01 - Story ( ESPANHOL) .mp4,4551400740471040816,video/mp4,mp4,VID,4435042,1080,1920,9:16,STORY,7999,2dbe75d4cb82c2b9a0fba3f2b693500b,2026-08-20T19:38:06.207Z,2026-08-20T19:35:33.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1iSz86FBxxVfvbApxHfyZEN2MPobcX2dZ,1_12 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/1_12 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,4677027,1080,1920,9:16,STORY,7999,5f1903ffe88dc0899b3f1a85e8fbeef0,2026-08-20T19:43:52.983Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
