drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1iSz86FBxxVfvbApxHfyZEN2MPobcX2dZ,1_12 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/1_12 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,4677027,1080,1920,9:16,STORY,7999,5f1903ffe88dc0899b3f1a85e8fbeef0,2026-08-20T19:43:52.983Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
19w9C_RrqQQhtm4_ytFvXsbbxazytDtwL,2_04 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/2_04 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,5383441,1080,1920,9:16,STORY,7999,764dad5354fba285753211c1f2de70ea,2026-08-20T19:43:59.075Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11bL5BxX3MeqLIbhKvjxW_q6KcSDOxnB_,3_15 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/3_15 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,5028848,1080,1920,9:16,STORY,7999,cc3d3a1b96403874760bfc1d7d629ecf,2026-08-20T19:44:08.292Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1QhuvHiYS-tN8gsxl_EMB8hkO2YFsj6w-,4_027 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/4_027 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,5284753,1080,1920,9:16,STORY,7999,f9f41b29526ae477ad9fd77e8b3024f5,2026-08-20T19:44:20.743Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_7un3CF56lN5B5A0jBFsBFr0VNCp4PyI,5_12 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/5_12 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,4882904,1080,1920,9:16,STORY,7999,b9441337a37a9ff4f5e641d87db02770,2026-08-20T19:44:17.632Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1mMgph30i4SNiM3iVGojWyi_5dbtwtkyS,6_10 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/6_10 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,4387317,1080,1920,9:16,STORY,7999,e432a662e173ec15f5e833d998433834,2026-08-20T19:43:56.086Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1z0K4O0bXoTD0TkntJBby0gLp3dezqG8W,7_11 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/7_11 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,5902223,1080,1920,9:16,STORY,9999,e8c29f5c1ba4311e93805613891fee80,2026-08-20T19:44:26.792Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Ys73l5NY7BfNzn6w-4s1mReDIkkcklNi,8_09 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/8_09 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,4227975,1080,1920,9:16,STORY,7999,715911b28147f004d920ae2132017591,2026-08-20T19:43:35.445Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1P9DcchjAXMet5qm4niP_uJuRVx_xWc3H,9_16 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/9_16 - Story ( ingles) .mp4,4551400740471040816,video/mp4,mp4,VID,5624194,1080,1920,9:16,STORY,9999,e039285cbf2f644f1099da2d96e5cc59,2026-08-20T19:43:43.300Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1pv3ldzOGJgfJF9pkVcjj7WWIPQAhE9Iu,10_límite disponible.mp4,CRIATIVOS/UPLOAD MANUAL/4551400740471040816/7511391594634607171/10_límite disponible.mp4,4551400740471040816,video/mp4,mp4,VID,4865980,1080,1920,9:16,STORY,7999,6921b3ac7e2a3379196c6d99408451e5,2026-08-20T19:43:49.605Z,2026-08-20T19:40:40.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
