drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1fZlGgF-31IxeZVKyuls08O9c6ZiFFFGZ,1_34 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/1_34 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,4335287,1080,1920,9:16,STORY,7999,8b4b9d288ba1195cbf35f7b8a4ab7957,2026-09-02T22:28:21.917Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SkbKW9-k_gf2bLWXIi4SQr503dd2Uv9l,2_40 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/2_40 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,4145392,1080,1920,9:16,STORY,7999,a93f34aeeb94a985163b6db3913caff3,2026-09-02T22:28:33.305Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1yq5iCLskuXzwSFxFdIX-2lkRBkbrfa98,3_39 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/3_39 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,3660035,1080,1920,9:16,STORY,7999,0b586ec829607c3adbfcd31ae02b760a,2026-09-02T22:28:38.865Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1j1dmZ8gIaokJ7eSbCOj5vBqLcYp8DOWu,4_33 US_CC_MEX_02-08 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/4_33 US_CC_MEX_02-08 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,3286354,1080,1920,9:16,STORY,7999,166f67508d768d949a76608bc6e4490c,2026-09-02T22:28:30.521Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KgBFXG_5lFVNTjtxLMuTR9CtmRchlnDz,5_36 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/5_36 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,4027895,1080,1920,9:16,STORY,7999,35bbcd04de28dd54cac5115e1bec6b4f,2026-09-02T22:28:24.775Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JhBbx1HUh_or3KvTtCKjd0Lwc69IVPvA,6_37 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/6_37 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,4071277,1080,1920,9:16,STORY,7999,6d35546dd1f1cfa17127421a3ed42b36,2026-09-02T22:28:27.796Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DPCtJk6XqrwWgza6fuknWS1_aj-hkaSk,7_42 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/7_42 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,3762596,1080,1920,9:16,STORY,7999,6b1a69f44677bd7d44ecb06548fd2cae,2026-09-02T22:28:18.929Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1qWb97xzXTAbvADf3ifkJbg0Yhd9dQmXO,8_44 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/8_44 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,3518204,1080,1920,9:16,STORY,7999,bd03fce73deaf8e0e6d1937dbd03a80f,2026-09-02T22:28:44.833Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NJk30rCGnAryZG1z9Cvhf25qWu9XKyTE,9_38 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/9_38 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,4280623,1080,1920,9:16,STORY,7999,1f0b4bf30df6a3802495f7f29f729959,2026-09-02T22:28:41.307Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1vqBcqdPAsX0N-FXTkIsyVXKWRGscQzkQ,10_35 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,CRIATIVOS/UPLOAD MANUAL/10_35 US_CC_MEX_02-09 - IA - Story (mexico) .mp4,ROOT,video/mp4,mp4,VID,3635698,1080,1920,9:16,STORY,7999,74153e6fec71f5d2d656addfea7d65f9,2026-09-02T22:28:47.936Z,2026-09-02T22:24:04.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
