drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1BxcgqJVA3JoF2_gAFOwaS47cP2dLCWIw,1_139 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/1_139 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7731326,1080,1920,9:16,STORY,9999,6c8b328c6c91150c21026ee40f6522ff,2026-08-21T22:41:18.435Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1lG1WYzzBfaOBeFd17sUt9CehrFcClQ9D,2_149 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/2_149 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7064341,1080,1920,9:16,STORY,9999,155ee1a0cb0425f3e70cd3d7d01b928d,2026-08-21T22:40:08.837Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1roG84hKPimpXn83ga966v2I6xnxrqwJ5,3_137 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/3_137 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8137031,1080,1920,9:16,STORY,9999,4605e59f44a322e3a65646aea1a137b3,2026-08-21T22:39:54.733Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
122R1iRbDYQdXA6pBeAJiixl8sFEO6U3D,4_138 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/4_138 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6957673,1080,1920,9:16,STORY,9599,fa75589dd4d28dab0e10d02db2d73214,2026-08-21T22:40:34.701Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1an5Lk0-YZYirA9jfZ1uPfN-InNtpwXei,5_135 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/5_135 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8016956,1080,1920,9:16,STORY,9999,497f0fde3d1f028be7e2a9ecf79deeec,2026-08-21T22:40:23.672Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GKwFkH3N3bhRjzQycSZ53OXP995yC59S,6_133 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/6_133 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,5981033,1080,1920,9:16,STORY,9999,7ab1e4528af811f0dd7b473eed22bb85,2026-08-21T22:41:02.981Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1TBaBF87wtOR2jLXy6FqtkMja7y2T_azU,7_144 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/7_144 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,9397792,1080,1920,9:16,STORY,9999,64c19851bc1089df1b06da5a999e609d,2026-08-21T22:37:57.128Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1l1mFVX0jmvMiEL14x3EI3E36tD47ob7n,8_141 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/8_141 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,4893067,1080,1920,9:16,STORY,8533,cf2ff810f45b2864d433217dcbef2c2e,2026-08-21T22:37:41.957Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1rHOHuZL1JJy30zRdJDcUkW5rpu_SEcJr,9_150 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/9_150 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,6709056,1080,1920,9:16,STORY,9999,d1aaf465263e6af35d79039d0847adb7,2026-08-21T22:40:50.536Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1LhMuJjie1fVq1vPwKmpVcC9Ihf25jz3t,10_145 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/10_145 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,8740772,1080,1920,9:16,STORY,9999,7b7943d1cb814e90f4e1f56562351f95,2026-08-21T22:38:12.315Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18xEbHD5seg76T95U0Z8T_aJZBs244FzJ,11_134 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,CRIATIVOS/UPLOAD MANUAL/11_134 BR_CAR__BR_21-08 - IA - Story (BRASIL)) .mp4,ROOT,video/mp4,mp4,VID,7542580,1080,1920,9:16,STORY,9999,1f1670967bfbf0442db6b6e84f6593e3,2026-08-21T22:41:34.090Z,2026-08-21T21:39:22.000Z,CAR,medium,folder/name keyword,CAR/AUTO,BR,medium,Brazilian Portuguese default/keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
