drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1wl6wuYW72-_ng-k-OGsuk57nM2x64OBY,9.mp4,CRIATIVOS/UPLOAD MANUAL/9.mp4,ROOT,video/mp4,mp4,VID,4633006,720,1280,9:16,STORY,9999,f46387395721354ed025aeef6d8fd255,2026-08-25T19:03:46.669Z,2026-08-25T19:03:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1R5VwXLXlJiRN6c0E_Xqw-QxkWJjgccXP,10.mp4,CRIATIVOS/UPLOAD MANUAL/10.mp4,ROOT,video/mp4,mp4,VID,4655649,720,1280,9:16,STORY,9999,307630dc95a177be3bea9d6df69af6a7,2026-08-25T19:03:43.928Z,2026-08-25T19:03:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1rPolJ4we-tYZTocJeqmHnIXilrOymjYK,11.mp4,CRIATIVOS/UPLOAD MANUAL/11.mp4,ROOT,video/mp4,mp4,VID,4641263,720,1280,9:16,STORY,9999,9cf61ce481844fd3aa5cbf586077ab58,2026-08-25T19:03:40.928Z,2026-08-25T19:03:27.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1YyhT5C7MemzqjYhWp0mmrwp06skFSNPU,1_2_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/1_2_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4497486,1080,1920,9:16,STORY,7999,c8621b056007122aa7f68bf6d35e9254,2026-08-25T15:14:00.627Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VjuRcFb2ZIYleGtvCB7foMEROgz2cCxl,2_8_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/2_8_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4410671,1080,1920,9:16,STORY,7999,38b182e2f0ed15ea307d687319e2ef4f,2026-08-25T15:13:57.586Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1Bb9C1o0PcOCaGhsgsXAhiixUKDCCFe0v,3_10_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/3_10_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4706954,1080,1920,9:16,STORY,7999,9244df41d2f3c56d38a997fc71890018,2026-08-25T15:14:03.721Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
15izwQbb28QByxeq1oElQJr50W6J6hbP-,4_1_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/4_1_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4685977,1080,1920,9:16,STORY,7999,865a24fcacb0d788a24891368df92ec6,2026-08-25T15:14:13.739Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
18q0q6mkt-94iebHBvVDys6UvjA1bgTcZ,5_4_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/5_4_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4833826,1080,1920,9:16,STORY,7999,3e67a5c9e7b80abb3c78a5535a75766b,2026-08-25T15:14:10.626Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-2HzmBQyXlMGWWYPOyGDUT0Qw3bRxtCl,6_9_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/6_9_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4618853,1080,1920,9:16,STORY,7999,eaecaa1341acbc9357244f347bf7d700,2026-08-25T15:13:44.301Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1LY9S45dQ6nSjOtZya69GmtBopXjG0oK8,7_6_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/7_6_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,5152312,1080,1920,9:16,STORY,7999,e2ea5b763b4d790dd71e87f337bcbe18,2026-08-25T15:13:54.481Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1abkbMMbWJI2s2iaRxfFHa7u3grarJ2XF,8_7_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/8_7_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4309893,1080,1920,9:16,STORY,7999,f9672f8b30dbf9f4a99108324debcb8c,2026-08-25T15:13:48.106Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HTvqve-QnLJiMLDLI8TSSSQBoMIgUF4F,9_2_us_cc_ig_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/9_2_us_cc_ig_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,4954439,1080,1920,9:16,STORY,7999,36723b337c17a49eaba409400c918077,2026-08-25T15:13:51.279Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GrWuC3sY4-o72c-a8FIg_4BZ_WLZ8bgi,10_5_us_cc_es_25_08.mp4,CRIATIVOS/UPLOAD MANUAL/7560931686759117135/10_5_us_cc_es_25_08.mp4,7560931686759117135,video/mp4,mp4,VID,5009699,1080,1920,9:16,STORY,7999,e7ec7ccc3d149ec39d47e9974d779d90,2026-08-25T15:14:07.545Z,2026-08-25T15:11:29.000Z,UNKNOWN,low,insufficient evidence,,ES,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
