id,name,path,parent_id,depth,mimeType,kind,size_bytes,md5Checksum,driveId,trashed,createdTime,modifiedTime,ownedByMe,owners,canDownload,canEdit,canMoveItemWithinDrive,canMoveItemOutOfDrive,canTrash,canDelete,canRemoveChildren,canShare
1UkS1t1mWUwlZV9yoQ5dRpujub_nycWcH,CAR_BR_BR,MGS-AGENTS/CRIATIVOS/CAR_BR_BR,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:10:42.833Z,2026-05-27T18:10:52.221Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1C0YLZTt_ltNXcANXfiCOzOIfuI8mvw3L,CAR_US_EN,MGS-AGENTS/CRIATIVOS/CAR_US_EN,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-06-16T23:19:38.128Z,2026-06-16T23:27:27.554Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1usfZNQ4veWzjx-yfIoyLLHLe6MEfmRk2,CC_AR_ES,MGS-AGENTS/CRIATIVOS/CC_AR_ES,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:09:50.441Z,2026-05-27T18:09:57.337Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1bpwI_CRP5ynZiPu2_UR-FZObU0k_JYm9,CC_CA_EN,MGS-AGENTS/CRIATIVOS/CC_CA_EN,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:10:58.596Z,2026-05-27T18:11:06.006Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1qJq4VMJ95ZHU7D5M9e5N9hTgabiNZb2A,CC_CA_FR,MGS-AGENTS/CRIATIVOS/CC_CA_FR,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:11:07.051Z,2026-05-27T18:11:13.187Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1xNrSZTV0-hxjR8Ogb03f6s0AKDqGhkyg,CC_DE_DE,MGS-AGENTS/CRIATIVOS/CC_DE_DE,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:09:25.937Z,2026-05-27T18:09:32.499Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1xSRNc20TXKRTPN3yKygQnyl02uawhUY3,CC_ES_ES,MGS-AGENTS/CRIATIVOS/CC_ES_ES,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:08:58.175Z,2026-05-27T18:09:06.986Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
16WjdmQTi23Rxcv_UuS3P4ze_J9PBCqw_,CC_GB_EN,MGS-AGENTS/CRIATIVOS/CC_GB_EN,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:08:41.524Z,2026-05-27T18:08:55.479Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
1Y6LwscYhW_THD4CEnqFgj-G0HRB9dRhk,CC_MX_ES,MGS-AGENTS/CRIATIVOS/CC_MX_ES,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:09:14.336Z,2026-07-12T20:54:03.037Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
194FuXpXvcDWixBgv9BZ-ynStGkjjVxXb,CC_TR_TR,MGS-AGENTS/CRIATIVOS/CC_TR_TR,1NLaOKK6n4fMF5u1Assgq8FKim76NI--i,1,application/vnd.google-apps.folder,FOLDER,0,,,False,2026-05-27T18:10:22.067Z,2026-05-27T18:10:29.942Z,True,Rodolfo Mattei,True,True,True,True,True,True,True,True
