source_drive_id,source_filename,status,old_folder,new_folder,ready_drive_id,ready_filename
1qfQd_tfztuQ9Y901iJbeZMVPKRtWgcB0,1_02  - IA - Story Financiamento(Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1eA0ozY9H2frfF-WXbiltHrodVFT-Z73k,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_001.mp4
1jKQIJNmHbXrZyjtaBdr7lijR3vy8OFy1,2_19 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1yWtKop0B3zTnXJR7yAEroiacTZiH-yBm,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_002.mp4
1ANGvu3Z6uUTinZE3nH1spDresC-1-MQV,3_13 - IA - KELLY - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1jLoVcJntX2b2xa12XmEipXHyJqEH3hSc,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_003.mp4
1Lng2_SA6z2DBCRpsjanUC4zQV73tu91d,4_05 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1aJDVxn_clrx8m2lfMWePUFft1JTAyUYi,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_004.mp4
1o-GPmyNR93fKTPSiShBMoz6lyUB2AW7C,5_10 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1K3SO33PRoL3FLdjcWNEc0b2ezyAwvCKP,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_005.mp4
18782BlHM1UwvkZd_WyK9CV0KlqIiYAMU,6_18 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1rOW8XTp6yW1wQSxhLulRYSHeIBnmP4NN,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_006.mp4
1RoQOr5kU4hoc6OMiPX0pSoHXHvX7te8_,7_16 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1srhvDvav0JqrKcfySbMqJyORt7rqH5X_,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_007.mp4
1d2PHfO1u_kHOfTXWrvr8o1LEx9IO9mi-,8_15 - IA - KELLY - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1uQl86lspcgXfFrZ2UILRyf_WJt3H4AFc,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_008.mp4
1gYsM0HRutHm-6QVrSai-d7tfDXS3V2DX,9_20 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1o8KhJ9bOHHv9XZ8q5UnUO3P2yasAnP1A,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_009.mp4
1oq_--OP8B6LU8f4-eiCAlIiTZKD1XsVx,10_14 - IA - KELLY - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1sjnB3Y3sPP0gfGRmoCOEak76sTn825ut,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_010.mp4
1-QArCDv2b2_Mh5psnUx67Ax5C4fQD_Gr,11_01  - IA - Story Financiamento(Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1UGew6tOMI8cQBsikSqMUt7n495sHuH-G,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_011.mp4
1UFptUVBiojHXrURIpUV4WQMyry3qGcAl,12_23 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,18n_vHp47AzMcAo6pqsdCNYvLcbeio6Mu,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_012.mp4
1LjDC-Jfg557dd1spPaC4LYyOiRhC3q9X,13_06 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1S7SpjUdNj0M9NU3dTrNjoIYkN4GMNZQT,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_013.mp4
1KiWGfcqenumHv7VTRzLxMpR5L3kuftWg,14_04  - IA - Story Financiamento(Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1g6sIms2603Bxl6A5sUfF9315UE7IoHjL,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_014.mp4
1oa6jA0x19jXBKQYPGOvN35t8hqasLtix,15_21 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1hZbq2Z95KIJD09cLtt3lmKINL4RH9htI,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_015.mp4
119wysqbfRId3d8MihRiYOcWathdZmjul,16_17 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1bi8_EYHd60rkwRUldRn2c3dcugInxQMi,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_016.mp4
1RLRs50XVbu0KctI5_JyvabNZNNCVSH4m,17_22 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1oX-INi9BrPVFM5tVtyxZQOtzq8-55m7K,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_017.mp4
1VXeB_p7GgQC8mB5UvNxVAOczBwgvyiRQ,18_03  - IA - Story Financiamento(Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1m5NyeeDjcHrgKgBPaFuDkKBSCTkqKVp6,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_018.mp4
1f55MGtmaUFjjYUD9bzQVrJOkZccLPtps,19_11 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1DDOPUV3EzQ1aPxYMowhzewa1E5nFXcjH,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_019.mp4
1fNTq3m_pazbfr70fM6GXsiMS88QHfNJJ,20_12 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1Xiddpd300hRI3sAElSm6z_3YjzSYbHtc,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_020.mp4
1bKIuBiUsg86kN2fNgJoXiSB4bwHAFf-W,21_07 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1ycObgrPF5y027Kj9c4rzXQWnFUrAMGdo,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_021.mp4
1DJ9anmAstxxKapILjB0_3XvP4u41ydpm,22_08 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,13sNvg4jaGCAKJT4KD8ETyY2Q1zOOxs88,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_022.mp4
1eSgnAgox5g6Ckophv5yZ2Joy3yAceq_k,23_09 - IA - Story Financiamento (Brasil).mp4,WOULD_MOVE_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1JKm5ViJu5UNhMQly6qR5eVHe3-Nfx58E,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_023.mp4
