source_drive_id,source_filename,status,source_path,destination_path,destination_drive_id,destination_filename
18VRIWEvGbUInz6GFxBGZUM9KwvkYva4I,1_176 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1YRXzuMnXL_N_5gBoeJ2YD0KTgDBIQTt-,CAR_BR_BR_VID_SCORE_BAIXO_PV_005.mp4
1NesRbihHmptnQr0JMQvBzQ3VhxmuNS7h,1_177 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1_R7Hftf6vqsGE4nlVc1BtamxTXAIfAx3,CAR_BR_BR_VID_SEM_ENTRADA_PV_026.mp4
1Ob3w7-JhWxxM87hKWHSIgc5sLWPSI2hX,2_166 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,10G2-6_lFH15GxttgDdLGOLBPEWrVLx-7,CAR_BR_BR_VID_SCORE_BAIXO_PV_006.mp4
1V04RMib96J7x6iDYG4CdbOm3q39hyfXt,2_179 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1ksP7JS1OYcUFBzO-Lqrf4dOi8MJpNi_n,CAR_BR_BR_VID_SEM_ENTRADA_PV_027.mp4
1bPimzbbe5QthlM8il68mpGl9imcf_8OU,3_169 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1namVpJMLPw1KOM5sTN2hh_Q7TpAS-0bC,CAR_BR_BR_VID_SCORE_BAIXO_PV_007.mp4
1CpopURdxh3ZSNZC-qakPvdvhPF9B4lCi,3_178 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1ISl3k2KBBiJuBBqT2_JFG5UXv-2AUofb,CAR_BR_BR_VID_SEM_ENTRADA_PV_028.mp4
1tB1cimSkHrgDuCLwCY9hJ-O4-M7_t8IE,4_174 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1WO7rpJ6Aqjo7Zd9HvGW9uqIH0U1fCgWD,CAR_BR_BR_VID_SCORE_BAIXO_PV_008.mp4
1IY1X4wYS3-nXoeoHR04Gh-_rGkJartpf,4_180 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1ewYcr8lrsc4xthvickLhHJeHl5VT2cT3,CAR_BR_BR_VID_SEM_ENTRADA_PV_029.mp4
1PduyCVlrbyNrmMujdX9eAGN5w1440We_,5_170 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1jscd98mqe54VYs2VCYuaf2nwZfWjsfgY,CAR_BR_BR_VID_SCORE_BAIXO_PV_009.mp4
1gRVivWe_ISSIfut0K2Ck8ES5P7COVyVa,5_183 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1NJwrTJzzseEljZzWLV50cdR8cyBk3vpf,CAR_BR_BR_VID_SEM_ENTRADA_PV_030.mp4
