drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1FhrsJGwVylyeghHDmbirH2VtO_lMvHoC,1_26 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/1_26 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,8200928,1080,1920,9:16,STORY,15066,77c88fd811163ed3ab4f0e8d3bc6fb37,2026-07-15T20:21:04.269Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1z_TPEKQwqaxDTMI4lGufq2gfNIISHsCw,2_20 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/2_20 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,5898484,1080,1920,9:16,STORY,15066,0310b0b5aab2a91e4935f97417fb86d3,2026-07-15T20:21:26.526Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1JrBniwYtZhPuvOr8z-8tMvxsW-VjWph9,3_23 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/3_23 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,6589488,1080,1920,9:16,STORY,15066,11a690af92cb0d7619c1114c9320bc37,2026-07-15T20:21:40.094Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_Cpi0Z_R2LO1SlX8zdD8f4KgxWwFoa7l,4_29 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/4_29 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,7507793,1080,1920,9:16,STORY,15066,68f8e2cd0ff7422fdd11d2fd493f7374,2026-07-15T20:21:57.409Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XuwYBqq5liUVvcZRYG2MmGVdmop-JNdq,5_24 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/5_24 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,8156982,1080,1920,9:16,STORY,15066,96c807d5e11c7cea46a9dfb221b54b7e,2026-07-15T20:22:19.143Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XAUcy5IlNUN85j0Wt7Ac88PCU9-9DB5Y,6_27 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/6_27 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,6228173,1080,1920,9:16,STORY,15066,b763c893084c405e3f89adaa465b932a,2026-07-15T20:22:34.576Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VI44n4DPWSy2YwcawEY4IDZNASQn0i8W,7_28 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/7_28 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,7265938,1080,1920,9:16,STORY,15066,ed7a15c4c90b8c5ff4da533ac9da814e,2026-07-15T20:22:49.036Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GaS-HqG7syAdPhd0WZCdskUxU3NRia-u,8_25 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/8_25 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,8200272,1080,1920,9:16,STORY,15066,b07e431c61c4a0f27b0e1f2adfeec048,2026-07-15T20:23:07.769Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
15kfOfVkHImTavSl3xAY4gbuc2qyqYrc4,9_19 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/9_19 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,6078717,1080,1920,9:16,STORY,15066,bd187dcee5c2a980b07f2bed9f3991c4,2026-07-15T20:23:20.836Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1l8F-C8VADKx0duSVe96jv9ljf2Zecabi,10_22 - Story ( ingles) .mp4,CRIATIVOS/UPLOAD MANUAL/10_22 - Story ( ingles) .mp4,ROOT,video/mp4,mp4,VID,8862522,1080,1920,9:16,STORY,15066,d05609a968043a8cf9cb3e23868c205d,2026-07-15T20:23:41.204Z,2026-07-15T20:16:10.000Z,UNKNOWN,low,insufficient evidence,,EN,medium,folder/name keyword,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
