drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,language_guess,language_confidence,language_reason,status,proposed_action,notes
1dO98RRsY22Ai6-1LF6gA1MazBIRGZMHU,1_70 - Story KELLY Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/1_70 - Story KELLY Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8487267,1080,1920,9:16,STORY,15066,88b538dae5c54a0597eebf29a332c8a1,2026-07-14T17:52:33.425Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1oYuhfLgyqapqhWhaHYZV_PQtbnmi4QXm,2_61 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/2_61 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,11083957,1080,1920,9:16,STORY,15066,3d49321798cb1fd2adbed06270de6ed7,2026-07-14T17:52:43.399Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
13uxBL--KWzTGqGBFeDr1QOjkEP0dYuyO,3_60 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/3_60 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,6751513,1080,1920,9:16,STORY,15066,8b08b230bbf5dd2cce84c60f898f7052,2026-07-14T17:52:49.628Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1_jdGWGdgSqR-u-RxwdtRbtwmlGR633Z7,4_59 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/4_59 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,12282952,1080,1920,9:16,STORY,15066,84f23e59aa1ad06e18c2772cdb1dacd2,2026-07-14T17:53:03.387Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SRQpCRVCd00veCmKUQhZdj_qWhecscca,5_69 - Story KELLY Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/5_69 - Story KELLY Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,13718072,1080,1920,9:16,STORY,15066,65d0d69e40aa512a76e790308bd59ca6,2026-07-14T17:53:32.097Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
181VC5olQn5cx_52aBNDSB_39c3B2-Wq_,6_63 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/6_63 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,11501390,1080,1920,9:16,STORY,15066,695e0ea8ddd7043aab9560633ce46189,2026-07-14T17:53:46.014Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1aaohKlMOR4zYp2qryOyJ7--TAlwDr6iO,7_67 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/7_67 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8931617,1080,1920,9:16,STORY,15066,9529c6134f991482e5386bc7aeff0bc1,2026-07-14T17:53:57.541Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1NhdL_feTh2NfWE1x5golA3cL4--oIJp8,8_Design sem nome.mp4,CRIATIVOS/UPLOAD MANUAL/8_Design sem nome.mp4,ROOT,video/mp4,mp4,VID,17936,1920,1080,16:9,LANDSCAPE,4999,b45cd3f7ac896b26d7438ab689a38a0f,2026-07-14T17:52:26.483Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1BauDeIQsSQL5QQoh44oGmGJgdjG4MyKY,9_64 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/9_64 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,66087865,1080,1920,9:16,STORY,90433,651193f25fe8bd1aa1a9004e25d40eb1,2026-07-14T17:54:41.696Z,2026-07-14T17:42:21.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1ClOL8_ILnOHlkTa-udQzDVJVZVo5dUol,10_66 - Story Financiamento (Brasil).mp4,CRIATIVOS/UPLOAD MANUAL/10_66 - Story Financiamento (Brasil).mp4,ROOT,video/mp4,mp4,VID,8796100,1080,1920,9:16,STORY,15066,72e7293e6a24da0e350b9d15e5507e51,2026-07-14T17:54:52.461Z,2026-07-14T17:42:20.000Z,UNKNOWN,low,insufficient evidence,,UNKNOWN,low,insufficient evidence,RAW_IN_UPLOAD_MANUAL,INVENTORY_ONLY_NO_DRIVE_CHANGE,
