index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,webViewLink
1,01_READY,1Oi_FO5troyeM4wQtoDyZ94_AYlIM4SO0,1_143 - Story Financiamento (Brasil).mp4,1rx-ZUWW_xnO_HOX_EzGQ1kY1NM5ZzAnt,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_008.mp4,2644356fd09746dcb28036924f6720685a059c714e4505aaaecafb2de02c96aa,d050afbaefe86bea7af9971d1e2d0cfd44acc7465898ab716045d0d48f3f75e6,13017532,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,008,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1rx-ZUWW_xnO_HOX_EzGQ1kY1NM5ZzAnt/view?usp=drivesdk
2,01_READY,1n965HUYhDbayaCl1AZO3SVrH-4x0qFPD,2_135 - Story Financiamento (Brasil).mp4,1i-fGJxbia7D4kpp1U5LG8VpDbNaG7LEH,CAR_BR_BR_VID_SUPER_OFERTA_NV_016.mp4,9a79c9e527b0b86247b7ceba5992f8cf236b780b7ef91eb3a46e80121d2da7fb,28651ed5fa317b3bed541db352d596d862a24f675649ee94de29170ed8f47a70,11806336,True,True,True,NO_PERSON,NV,SUPER_OFERTA,016,OFERTA IMPERDÍVEL; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1i-fGJxbia7D4kpp1U5LG8VpDbNaG7LEH/view?usp=drivesdk
3,01_READY,1RqdNboQFZLJXJ86TE-YL55djGxCBBtQx,3_137 - Story Financiamento (Brasil).mp4,1kxtvrqMBLw-c_7Yt-WyHEcO4AINiDNLZ,CAR_BR_BR_VID_SUPER_OFERTA_NV_017.mp4,2553396dfe05b06f5e57d6d4970f0988b0b940826dacb8305026fdb548299e6e,a76f7413d68591139e475dcba72457269fa1be01751def561cd9b38a46368399,13563330,True,True,True,NO_PERSON,NV,SUPER_OFERTA,017,OFERTA IMPERDÍVEL; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1kxtvrqMBLw-c_7Yt-WyHEcO4AINiDNLZ/view?usp=drivesdk
4,01_READY,18lW5yC3W0R1Xgb2JJ0MehlGYcMof7Lb2,4_148 - Story Financiamento (Brasil).mp4,189ig4fit_GlHAzf-ne-CESu4HjjCTtap,CAR_BR_BR_VID_SEM_ENTRADA_NV_043.mp4,dd92cd7bc3d8b20762bf447f243eb4ba8f59b1b1955b63fc3de9fda66130ed8e,8bbe0d37d042f87e17b51bea491661c732db457f52ee891888734c2c322a2a04,13130826,True,True,True,NO_PERSON,NV,SEM_ENTRADA,043,R$349/MÊS; SEM ENTRADA,https://drive.google.com/file/d/189ig4fit_GlHAzf-ne-CESu4HjjCTtap/view?usp=drivesdk
5,01_READY,1pRn7eBTGqm2kiaVU4AImy_mTMLVsZMOU,5_141 - Story Financiamento (Brasil).mp4,123u4Ov4tbld6LWowUdrROIIfBwdo2czB,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_009.mp4,e5de773f26bdad116c48a105a36593e817d06638b882a7d495ce35fbe3ea9a84,07222a47cac03b6055b6d590481c073cfd2b609005b266ba3aa3f1750a326b48,11801394,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,009,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/123u4Ov4tbld6LWowUdrROIIfBwdo2czB/view?usp=drivesdk
6,01_READY,16q1k1PRihdON2c5Y66zJhRV6x0CU-Z_X,6_147 - Story Financiamento (Brasil).mp4,1G-QGofQFdvQSKREF8pU0ZCsLRLO4s9KH,CAR_BR_BR_VID_SEM_ENTRADA_NV_044.mp4,8c2b25c26b6a8e5a4ae122e19f35a1daddf6b8d19e6a6f498565b0045a4d7b7b,14051ecedd01e932b5b9f24f21400cfb8e0470fc233a65686047c6332a24df82,13546656,True,True,True,NO_PERSON,NV,SEM_ENTRADA,044,R$349/MÊS; SEM ENTRADA,https://drive.google.com/file/d/1G-QGofQFdvQSKREF8pU0ZCsLRLO4s9KH/view?usp=drivesdk
7,01_READY,1EFS46Zr_FmWy9WbuBu7ffw5SNPCcCjOj,7_138 - Story Financiamento (Brasil).mp4,1Yt_dMtW6u5QLCLOxLebjJ6F3lwYEEvMv,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_010.mp4,503b8720cedddbdc6fee92c7f5058ccdf10e031813d11bb5b4f966722beae30a,0300b117e31ff3cfb89a91c6d65a4744da5ffc0554bfe9731eaddba39a335c43,10371860,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,010,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1Yt_dMtW6u5QLCLOxLebjJ6F3lwYEEvMv/view?usp=drivesdk
8,01_READY,1qnTvKlO3DRgrBSLr6n6GA3Qgh16L5uYA,8_136 - Story Financiamento (Brasil).mp4,1XqUNjcaWH99pyTl9kx2jmHLjUZqBZ3tT,CAR_BR_BR_VID_SUPER_OFERTA_NV_018.mp4,cde5ef6eb90191f8bc5fc587fa38b68fa5f729e40853daec1c77360f7b5c76c8,23709b57ac31684721ad49534cfc7c0ba85283eb3ae6571f92b9f1950f9183be,13999069,True,True,True,NO_PERSON,NV,SUPER_OFERTA,018,OFERTA IMPERDÍVEL; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1XqUNjcaWH99pyTl9kx2jmHLjUZqBZ3tT/view?usp=drivesdk
9,01_READY,16j0IVLt_GP1YEBIlUwQRmwssAUIRGxEo,9_144 - Story Financiamento (Brasil).mp4,11tNoX930Ou7NyiWw2Gs5l9fJpmdEZP9N,CAR_BR_BR_VID_SEM_ENTRADA_NV_045.mp4,538f6ad1ed717853b8d99d4ae37598b76ea86365a849a98536ca4ec870601ef1,71075b276043bac1f36fdace98a44543eeb565e7260e234e30fe68da93882778,13403604,True,True,True,NO_PERSON,NV,SEM_ENTRADA,045,R$349/MÊS; SEM ENTRADA,https://drive.google.com/file/d/11tNoX930Ou7NyiWw2Gs5l9fJpmdEZP9N/view?usp=drivesdk
10,01_READY,1ma6npGPB0vGv0wmp93vc1tI85CuvERtH,10_145 - Story Financiamento (Brasil).mp4,1mJQPKALfyYtqGIu3ifN0UrpnMyMgv43w,CAR_BR_BR_VID_SEM_ENTRADA_NV_046.mp4,1c2184d74a97c2e5e92da1f7055cc173e72ac2cc50844fe19dac5547560351e4,8d7306c204d91e88f23436bd7eeaecd2fa8482cee182d245ea82f0b2ab04b4d8,13312381,True,True,True,NO_PERSON,NV,SEM_ENTRADA,046,R$349/MÊS; SEM ENTRADA,https://drive.google.com/file/d/1mJQPKALfyYtqGIu3ifN0UrpnMyMgv43w/view?usp=drivesdk
11,01_READY,1wop1of8q6spHVJ_eT5YVyVnnauOw51Ym,11_142 - Story Financiamento (Brasil).mp4,1JyzamLyyf7qG_IwfZCyf5U_X096mxdua,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_011.mp4,ea008e7e7df94766bb03729ea33eb063a12e164866b43bb9c887a9d2bb4140b4,07222a47cac03b6055b6d590481c073cfd2b609005b266ba3aa3f1750a326b48,11801394,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,011,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1JyzamLyyf7qG_IwfZCyf5U_X096mxdua/view?usp=drivesdk
12,01_READY,1n3J3dHvmrnsLdwwSQwQmQjbHSqzL7weH,12_146 - Story Financiamento (Brasil).mp4,11nDQUTct-kYv0folbfLt1nSEE3Enwbfm,CAR_BR_BR_VID_SEM_ENTRADA_NV_047.mp4,b816625806b3c36d2fd38db3367d0be8be05be01ff6ff2000802cd1ba0e89df6,ecbc7c563c61ea18121f833eb6ec665cf3643a9f2d03e1e7ed452fa15b2063eb,13118998,True,True,True,NO_PERSON,NV,SEM_ENTRADA,047,R$349/MÊS; SEM ENTRADA,https://drive.google.com/file/d/11nDQUTct-kYv0folbfLt1nSEE3Enwbfm/view?usp=drivesdk
13,01_READY,1XXCce1F5zaKetEpV9BfqWXbzR2ntxgnG,13_140 - Story Financiamento (Brasil).mp4,1QuGYYYZx8g598ZXL2tWKQgueCWL1YSIv,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_012.mp4,8c57a199065696a4f676223b1bf32a61a1b43ddcc31afc0a92d396d657f0c4bd,5f9197c0e8a9f2802c8245edd7334752902d6f27252e065063808900283dec0a,12768692,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,012,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1QuGYYYZx8g598ZXL2tWKQgueCWL1YSIv/view?usp=drivesdk
14,01_READY,1AOkUO7nc_ZtxXSPayY24MAOlM4BWHfE7,14_142 - Story Financiamento (Brasil).mp4,1oYafukIxNeAOxXV2AYPmRZ-KVYFLtF9S,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_013.mp4,85b26b7744679ee0c70356d4d9e4f7f6e6e93bb82af663676aacfd7034d81082,eae3c6a4d08b8be0bcf055f1da2f792fd2ff4dd20a0cb5f8318f54aa8aa99291,12976716,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,013,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1oYafukIxNeAOxXV2AYPmRZ-KVYFLtF9S/view?usp=drivesdk
15,01_READY,1xVsMTwk3WwuBPVYfCqAgMfyvBQyZzQpX,15_139 - Story Financiamento (Brasil).mp4,1hj6m7D7brxbP1ALs_liepM8LeXvODl9U,CAR_BR_BR_VID_PARCELAS_BAIXAS_NV_014.mp4,3814533324e27af72397d4e993051c45a684be4b0eecc7c384bc355e9fdd054f,6aa81022ae36bc68271d603101f7095522f1fd6c74b52ff74b731e5b17ebdea7,13590177,True,True,True,NO_PERSON,NV,PARCELAS_BAIXAS,014,APROVEITE; R$349/MÊS; CARRO ELÉTRICO,https://drive.google.com/file/d/1hj6m7D7brxbP1ALs_liepM8LeXvODl9U/view?usp=drivesdk
