index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,18VRIWEvGbUInz6GFxBGZUM9KwvkYva4I,1_176 - Story Financiamento (Brasil).mp4,1YRXzuMnXL_N_5gBoeJ2YD0KTgDBIQTt-,CAR_BR_BR_VID_SCORE_BAIXO_PV_005.mp4,60641169ec6d54255213561659b0b8e93be9d519b8ab66cfc33761b3965ca995,2e5fc6476d060d7b711bc62e546842669b9a94a77d66171912cacfad1ede3ce4,8a96df6fbe9a2bda088feb5c28a85abc,9041390,True,True,True,PERSON,PV,SCORE_BAIXO,005,APROVA NEGATIVADO; PARCELAS DE R$299; SEM ENTRADA,dhash64:8f948293c4b07068/163484e98b726cbc/460c71f007892870,https://drive.google.com/file/d/1YRXzuMnXL_N_5gBoeJ2YD0KTgDBIQTt-/view?usp=drivesdk
2,01_READY,1NesRbihHmptnQr0JMQvBzQ3VhxmuNS7h,1_177 - Story Financiamento (Brasil).mp4,1_R7Hftf6vqsGE4nlVc1BtamxTXAIfAx3,CAR_BR_BR_VID_SEM_ENTRADA_PV_026.mp4,d37427aa3b9034ff5d262d4e32a6beb427c9d4a61bb87b574fa06a53bf1a7201,cea88926cad469f060d008386ba820bbafaf730c118d9fe4082fec187c7309f9,627d4a18fccbcf4f7c69182a01cac48f,7935215,True,True,True,PERSON,PV,SEM_ENTRADA,026,BYD DOLPHIN MINI; SEM ENTRADA; PARCELAS DE R$299,dhash64:27167263b07040e1/0b1b71e0222700c0/c4a8ba9878303010,https://drive.google.com/file/d/1_R7Hftf6vqsGE4nlVc1BtamxTXAIfAx3/view?usp=drivesdk
3,01_READY,1Ob3w7-JhWxxM87hKWHSIgc5sLWPSI2hX,2_166 - Story Financiamento (Brasil).mp4,10G2-6_lFH15GxttgDdLGOLBPEWrVLx-7,CAR_BR_BR_VID_SCORE_BAIXO_PV_006.mp4,6db199fbb8ed78f77ba13ef484975de1711482ba34f58d623697dbf8bc9838d2,97c62f5f5991bda008ecac0e4958b171fca119df134e84be229d715b0541d032,9a71561c58e3305560bf4fb319ae137f,8869882,True,True,True,PERSON,PV,SCORE_BAIXO,006,APROVA NEGATIVADO; PARCELAS DE R$299,dhash64:b3ce5713ccfc4389/b9cf726239d1393c/eb3175757579e0cc,https://drive.google.com/file/d/10G2-6_lFH15GxttgDdLGOLBPEWrVLx-7/view?usp=drivesdk
7,01_READY,1tB1cimSkHrgDuCLwCY9hJ-O4-M7_t8IE,4_174 - Story Financiamento (Brasil).mp4,1WO7rpJ6Aqjo7Zd9HvGW9uqIH0U1fCgWD,CAR_BR_BR_VID_SCORE_BAIXO_PV_008.mp4,3138f11494a606a66b18a190cc9748cb08bc0780893358180eafa41d1b3a31b9,78ebd41015ad5d9814762954cb3d8302ad596b449c90938e1783cdecde38b93a,d195f492e29697987731e831179bfe65,9546194,True,True,True,PERSON,PV,SCORE_BAIXO,008,APROVA NEGATIVADO; PARCELAS DE R$299,dhash64:8ba0908770799393/4800b9f979deced4/08011cbcf89f9bda,https://drive.google.com/file/d/1WO7rpJ6Aqjo7Zd9HvGW9uqIH0U1fCgWD/view?usp=drivesdk
8,01_READY,1IY1X4wYS3-nXoeoHR04Gh-_rGkJartpf,4_180 - Story Financiamento (Brasil).mp4,1ewYcr8lrsc4xthvickLhHJeHl5VT2cT3,CAR_BR_BR_VID_SEM_ENTRADA_PV_029.mp4,29ecbfeab661894ac955822f8a5d46c125bd380d8050a5a8486604be31b28d82,139e9ae3a3e831d5706ff7819f11ce946b8e89cdeb69b6c51e6ca3f8b70940b0,7dde303e1115f3e73dda4ead6116be55,8607827,True,True,True,PERSON,PV,SEM_ENTRADA,029,BYD DOLPHIN MINI; SEM ENTRADA,dhash64:1e1e2d680288c093/2372556558b0e079/e8c30303077e5f3d,https://drive.google.com/file/d/1ewYcr8lrsc4xthvickLhHJeHl5VT2cT3/view?usp=drivesdk
9,01_READY,1PduyCVlrbyNrmMujdX9eAGN5w1440We_,5_170 - Story Financiamento (Brasil).mp4,1jscd98mqe54VYs2VCYuaf2nwZfWjsfgY,CAR_BR_BR_VID_SCORE_BAIXO_PV_009.mp4,0a9cfd15b75e82f25347a18c9900cc5d01420d7bbd29688f85847d7acc4b93f9,273d68c6c6a7f50f3a01ddcb100b132049b9350c633322899c5831159734c505,aee7fd8c0fe71154f09d0b59c737175c,9162224,True,True,True,PERSON,PV,SCORE_BAIXO,009,APROVA NEGATIVADO; PARCELAS DE R$299; SEM ENTRADA,dhash64:98808039a6707806/30c010e89d1bca98/70808c5e6ca999c0,https://drive.google.com/file/d/1jscd98mqe54VYs2VCYuaf2nwZfWjsfgY/view?usp=drivesdk
10,01_READY,1gRVivWe_ISSIfut0K2Ck8ES5P7COVyVa,5_183 - Story Financiamento (Brasil).mp4,1NJwrTJzzseEljZzWLV50cdR8cyBk3vpf,CAR_BR_BR_VID_SEM_ENTRADA_PV_030.mp4,74131b18228aeea0ccf843ccb7f3f472391f621035827335abbae3deb574ecce,bd7ad9594a497e32983664787e3806c231cdc9eb36a5751631dcffad4b3f6991,80c5a37903ad5cae03f414e8566a273e,10947866,True,True,True,PERSON,PV,SEM_ENTRADA,030,CARRO ELÉTRICO; SEM ENTRADA; R$349/MÊS,dhash64:62d9692279f1c1af/0ae97dcc88e12ffc/92d85943aedcc004,https://drive.google.com/file/d/1NJwrTJzzseEljZzWLV50cdR8cyBk3vpf/view?usp=drivesdk
12,01_READY,1-9R2-G7MO7Gcn7eAh3td9NO0PgQZWCQ3,6_182 - Story Financiamento (Brasil).mp4,15ThulSrFWCrSlMC8PYhONxp_QjUhlBQn,CAR_BR_BR_VID_SEM_ENTRADA_PV_031.mp4,7a7283d78baf3fef79f7ef99d071efe96561a9aafe2aeb20c2dd212bb2c9fb1e,787ac8d6e81b6e9299a8cdbabf24ba502592c8304c5cfabac3a6359eacdcaa91,6775ad9bd5ca7a2cdddd7d0ef4a67456,11008603,True,True,True,PERSON,PV,SEM_ENTRADA,031,CARRO ELÉTRICO; SEM ENTRADA; R$349/MÊS,dhash64:62c9452279e1c1bb/0ae97dcc88d10ffc/92d83143aedcc004,https://drive.google.com/file/d/15ThulSrFWCrSlMC8PYhONxp_QjUhlBQn/view?usp=drivesdk
13,01_READY,1m-YpuYOQ8cHb2_H24tWM7Ca_cOhN2pW4,7_162 - Story Financiamento (Brasil).mp4,1fbpYrEORMJsFIvOg0MsWlp2VeaKPPv0i,CAR_BR_BR_VID_SEM_ENTRADA_PV_032.mp4,fffd9782fcda44559c6968479fd23e8acbe765811d0311d94183b152cf631b2f,f8375dfa58d081d97f0dda5943bdaf48a1d6943c9db5b814ae665b94075480ad,c6b6bdda904770b0d9c8f410b9e66d3d,10709251,True,True,True,PERSON,PV,SEM_ENTRADA,032,CARRO ELÉTRICO; OPORTUNIDADE; R$349/MÊS; SEM ENTRADA,dhash64:791f583fc2c4fcef/0f29bc7b8ec6dcf9/9e1f86022578e884,https://drive.google.com/file/d/1fbpYrEORMJsFIvOg0MsWlp2VeaKPPv0i/view?usp=drivesdk
14,01_READY,1OLypygOQ0VHfpHuOk-9yUrsaScRgsivr,7_181 - Story Financiamento (Brasil).mp4,18hrVNdYvad075O3z2UjldSr-TMQFFvJH,CAR_BR_BR_VID_SEM_ENTRADA_PV_033.mp4,e4e1c6ed3ac466ffde135f6f50a5c86fa4e6c79a08ded00546126aec9f7d6160,d86a1f190a2910f4bd8b2dadfb12db5ac4925cf38c6d0e23c0e9e2329760de53,0f82a13c94d1af3c7fe2fc761fc47286,8061968,True,True,True,PERSON,PV,SEM_ENTRADA,033,BYD ELÉTRICO ECONÔMICO; SEM ENTRADA; R$299/MÊS,dhash64:f662b9b3a068c30f/b1b939286c648e00/f0b63080c8c0ced0,https://drive.google.com/file/d/18hrVNdYvad075O3z2UjldSr-TMQFFvJH/view?usp=drivesdk
