index,status,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink
1,01_READY,1e9qBPQTNJDu4hj1HKiUDCw6iuFZeMUdj,1_196 - Story Financiamento (Brasil).mp4,1L1q6EppReIaVZeSMcEWcWLC0FytUosW5,CAR_BR_BR_VID_SEM_ENTRADA_PV_037.mp4,65af92008c90dfeb1b982e9f7fc64bc54ca532137e4c0d105e6a8af0892a2e0d,df85e63862eaaf19781a277725142eabb2ebc07234b1bb8ec87a87bed74729f8,40a6f5bd6dfa886f3865c864d06eba2b,7152901,True,True,True,PERSON,PV,SEM_ENTRADA,037,CARRO APROVADO SEM ENTRADA; APROVAÇÃO FACILITADA; PRIMEIRA PARCELA EM 120 DIAS; R$399/MÊS,dhash64:e0e367c9882fc2c3/64676d6dcd4d0f13/c0cfc7d3919b8b83,https://drive.google.com/file/d/1L1q6EppReIaVZeSMcEWcWLC0FytUosW5/view?usp=drivesdk
2,01_READY,1jie8owkMCQqFsZhgH3D2-ItxSBb-TCgR,1_200 - Story Financiamento (Brasil).mp4,1hsAicxBtf_YHdu9BCOY6mPVpCshV15Ed,CAR_BR_BR_VID_SCORE_BAIXO_PV_016.mp4,1ab7a59c8c9f299a848974d1627333f945947f940bc8c2e16b231750d39905bf,d28d077efb9ad377e5a077607ba5c82a0a1fa566bb26214294986e42d87b0999,df813aada07a0ad927fb518ff9438372,8715035,True,True,True,PERSON,PV,SCORE_BAIXO,016,APROVA NEGATIVADO; PARCELAS DE R$299; SEM ENTRADA,dhash64:40b394138de459cc/29683b712c311f38/131b3ebcb9d87f7b,https://drive.google.com/file/d/1hsAicxBtf_YHdu9BCOY6mPVpCshV15Ed/view?usp=drivesdk
3,01_READY,1Q1Ix6fsfmErZGFpYqy5yEMarT_9DisNp,2_191 - Story Financiamento (Brasil).mp4,1BtSFChV8lv4wnopOl1Jg0FU9BA0FMw4V,CAR_BR_BR_VID_SEM_ENTRADA_PV_038.mp4,71835b11c734422f77cbfb86cb236195f944f42a84d9c645b8ff7f8b486b86ad,bb42d456c1bf09d87bfc1be472ad385ee7276f8c3903344fe2c5b8e81c3fa589,5697bc82ea1393f957e4e5419f434cd3,8158997,True,True,True,PERSON,PV,SEM_ENTRADA,038,CARRO ELÉTRICO; SEM ENTRADA; R$349/MÊS,dhash64:f8abad8ee4f0acc4/cffa7376bcf7defc/639ff3e931c42e6f,https://drive.google.com/file/d/1BtSFChV8lv4wnopOl1Jg0FU9BA0FMw4V/view?usp=drivesdk
4,01_READY,1KwYtvwk3B1jJmGV2lKxOpKmUnlVXzx8M,2_202 - Story Financiamento (Brasil).mp4,1qe1ogypoZSVJHBc2gqhiim8d5_U0NMH1,CAR_BR_BR_VID_SCORE_BAIXO_PV_017.mp4,1211a5dd5b72d5c5c3edfe323355343e7b36511bf20fd6a07dcf733861418229,2034998127c701bd29661117901d78c3859cae925b5e400f558bf2a1b92bced4,e09bcdc4ba7013a0990e6d5eca3b5a06,8330348,True,True,True,PERSON,PV,SCORE_BAIXO,017,RESTRIÇÃO; APROVA NEGATIVADO; PARCELAS DE R$299,dhash64:fff89a3b6cb29323/50687cfcdb057372/e991dcb8beba7343,https://drive.google.com/file/d/1qe1ogypoZSVJHBc2gqhiim8d5_U0NMH1/view?usp=drivesdk
5,01_READY,1Yiu3um2thoXAwuur582_W3nZxf3YrLsp,3_189 - Story Financiamento (Brasil).mp4,1_x3XuICdoTM6TLegSdJGrT0h94eka9v1,CAR_BR_BR_VID_SEM_ENTRADA_PV_039.mp4,af2fbff09368562e12e5c2b26544e616c6a2f3e37e3da1eda5693dc03aecf9b9,11be5eb6e5f9ee2594d867883c015e617bc91da7cecaaa86e952c467fee8e4c5,3d3f80cd1bc91812e673972e34b15b86,6546338,True,True,True,PERSON,PV,SEM_ENTRADA,039,CARRO ELÉTRICO; SEM ENTRADA; R$349/MÊS,dhash64:208868f0e0b06105/7fecf98d6d0f030f/fe736fd2bcf5f2ff,https://drive.google.com/file/d/1_x3XuICdoTM6TLegSdJGrT0h94eka9v1/view?usp=drivesdk
6,01_READY,1DAVmNE3RaCVOHk9TV9ARynmBU0rE5aRf,3_206 - Story Financiamento (Brasil).mp4,1cLxFs1oDkdU7p5pQnqUvgZFiKao-U54A,CAR_BR_BR_VID_SEM_ENTRADA_PV_040.mp4,412bc89e43b77803351f702dcc13a26a6e5acd215137e0586849f9803f79464a,6207e4cfa449200dd6e80a7a86d81e62ad6e3e849ec0c74b0e316352a082a51d,29592b30d9d5c884745c21f9ee74ace1,7832499,True,True,True,PERSON,PV,SEM_ENTRADA,040,MAIS DE 10 MIL CARROS; SEM ENTRADA; PARCELAS ATÉ R$499,dhash64:3fc7c7b672d39399/846d6a4a6b24616b/09d34a8828232676,https://drive.google.com/file/d/1cLxFs1oDkdU7p5pQnqUvgZFiKao-U54A/view?usp=drivesdk
7,01_READY,1U9whxigkug0N6iFoNoOnKDQz08BqlWsO,4_198 - Story Financiamento (Brasil).mp4,1fdjP5hNPZly3oy4Dla--5gfO9KEngr9Z,CAR_BR_BR_VID_SCORE_BAIXO_PV_018.mp4,bee6140b36caede53bceaeb0c9ab8ba960210f3167ea530626d41abb601d6fa1,17204580b4e503ea92fa3f7786fcfa59f9bdb7b42c237fcbc706104a8ea525d3,c838be4650a23921852760acb6342314,9322640,True,True,True,PERSON,PV,SCORE_BAIXO,018,APROVA NEGATIVADO; PARCELAS DE R$299; SEM ENTRADA,dhash64:e09293c3e770c623/32a008914e7523c2/48338e7c783e3db5,https://drive.google.com/file/d/1fdjP5hNPZly3oy4Dla--5gfO9KEngr9Z/view?usp=drivesdk
8,01_READY,1b4KnDAVVUEcM1CS50KQXa-NKExYBU4XO,4_207 - Story Financiamento (Brasil).mp4,1YRfjSNiC6Kx7cEk1_zzh8D5zIzyfuAwI,CAR_BR_BR_VID_SEM_ENTRADA_PV_041.mp4,74f555cf85fc5fac5faf807ecf385d9625afd4eefa430de48a944cf4a39ab114,a5aafc9d2c40390cf7d5ac96c1bf7c1f186c20fb612d6d76bdc259542cd4b989,4eadee02fa38ada90273261b9c9d5310,7973700,True,True,True,PERSON,PV,SEM_ENTRADA,041,MAIS DE 10 MIL CARROS; SEM ENTRADA; PARCELAS ATÉ R$499,dhash64:4a2b565391113018/006323e44341e4c4/00f467c4c042c1c6,https://drive.google.com/file/d/1YRfjSNiC6Kx7cEk1_zzh8D5zIzyfuAwI/view?usp=drivesdk
9,01_READY,1abjAk1mX-21f5MisNGLI_9MYBBKLhMIC,5_188 - Story Financiamento (Brasil).mp4,1qy3L6VctDLC3L_Cl6Otl8c6AkbW-rY0g,CAR_BR_BR_VID_SEM_ENTRADA_PV_042.mp4,8650f6f498bf2055264c984847d462b93e9749fb161691a748dc27f947c1c748,a0f9b1146f425e70277c6e13181e5ca7f6c7dbeb72f3f7c0fae802f715486726,191e345eccef1dff6b2bf19a4aa27b36,8367036,True,True,True,PERSON,PV,SEM_ENTRADA,042,CARRO ELÉTRICO; SEM ENTRADA; R$349/MÊS,dhash64:6bf7343ee8c8fcfc/58387238993169a5/276afc79ebebed78,https://drive.google.com/file/d/1qy3L6VctDLC3L_Cl6Otl8c6AkbW-rY0g/view?usp=drivesdk
10,01_READY,1r5eOMc74OUoAuMXfKt4ftEGSilRuOCAo,5_201 - Story Financiamento (Brasil).mp4,1oclFo_s0lfKRxBGQHYr7uMpWI82-uP88,CAR_BR_BR_VID_SCORE_BAIXO_PV_019.mp4,902235b13c74a23f6d31845af806b804ebc245e3eb677643d4b4743fd1ab0626,5fb4c0aab355ebf3d9f3e4ff98b8df49de86206e1744daabbf151c15335e2e34,4fb7db9a11cc8e2b70bcc02c941e3515,9089452,True,True,True,PERSON,PV,SCORE_BAIXO,019,RESTRIÇÃO; APROVA NEGATIVADO; PARCELAS DE R$299,dhash64:f91f923bcc6c63ce/f24bb8fc85cf80e3/944d7ffcf8f909ec,https://drive.google.com/file/d/1oclFo_s0lfKRxBGQHYr7uMpWI82-uP88/view?usp=drivesdk
